onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	12.0	0.0	53	-1	F	0.0	2	4	2.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
0.0	18.0	0.0	69	3	A	0.0	2	4	1.0	1.0	3/16	True	-1	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
0.0	18.0	0.0	72	0	C	0.0	2	4	1.0	1.0	3/16	True	-1	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
12.0	12.0	0.5	41	-1	F	0.0	2	4	2.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	2	1/2	False	False				False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
18.0	3.0	0.75	74	2	D	0.0	2	4	1.0	1.0	1/32	True	-1	1.0	1.0	1.0	1a	5	3/4	False	False				False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	3	3	3	False	False	False
21.0	3.0	0.875	76	4	E	0.0	2	4	1.0	1.0	1/32	True	-1	1.0	1.0	1.0	1a	5	7/8	False	False				False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	5	5	5	False	False	False
24.0	12.0	1.0	77	-1	F	0.0	2	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	5	1	False	False				False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
36.0	12.0	1.5	79	1	G	0.0	2	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	5	3/2	False	False				False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	2	2	2	False	False	False
48.0	12.0	2.0	81	3	A	0.0	2	4	1.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	5	2	False	False				False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
60.0	12.0	2.5	77	-1	F	0.0	2	4	1.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	5	5/2	False	False				False	0	F.I{		F	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
72.0	24.0	3.0	58	-2	B	-1.0	2	4	2.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	3	3	False	True				False	1	IV		F	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	-1	-1	-1	-1	-1	-1	True	True	True
72.0	24.0	3.0	74	2	D	0.0	2	4	1.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	5	3	False	True				False	1	IV		F	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	-1	-1	-1	3	3	3	True	False	False
96.0	24.0	4.0	55	1	G	0.0	2	4	2.0	1.0	1/4	True	-1	3.0	3.0	3.0	3a	3	4	False	True				False	2	ii		F	I		ii		ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	-1	-1	-1	2	2	2	True	True	True
96.0	24.0	4.0	70	-2	B	-1.0	2	4	1.0	1.0	1/4	True	-1	3.0	3.0	3.0	3a	4	4	False	True				False	2	ii		F	I		ii		ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	-1	-1	-1	-1	-1	-1	True	False	False
120.0	24.0	5.0	52	4	E	0.0	2	4	2.0	1.0	1/4	True	-1	3.0	3.0	3.0	3a	3	5	False	True				False	3	viio		F	I		viio		vii	o				o	False	False	(5, 2, -1)	()	5	5	major	major	I	I, major	vii		I	I	False	viio	viio, major		viio, major		vii	-1	-1	-1	5	5	5	True	True	True
120.0	24.0	5.0	67	1	G	0.0	2	4	1.0	1.0	1/4	True	-1	3.0	3.0	3.0	3a	4	5	False	True				False	3	viio		F	I		viio		vii	o				o	False	False	(5, 2, -1)	()	5	5	major	major	I	I, major	vii		I	I	False	viio	viio, major		viio, major		vii	-1	-1	-1	2	2	2	True	False	False
