onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	8.0	0.0	45	3	A	0.0	2	4	2.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	2	0	True	True			{	False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
0.0	48.0	0.0	73	7	C	1.0	2	4	1.0	1.0	1/4	True	3	1.0	1.0	1.0	1a	5	0	True	True			{	False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
0.0	48.0	0.0	76	4	E	0.0	2	4	1.0	1.0	1/4	True	3	1.0	1.0	1.0	1a	5	0	True	True			{	False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
0.0	48.0	0.0	81	3	A	0.0	2	4	1.0	1.0	1/4	True	3	1.0	1.0	1.0	1a	5	0	True	True			{	False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
8.0	8.0	0.167	49	7	C	1.0	2	4	2.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	3	1/6	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
16.0	8.0	0.333	52	4	E	0.0	2	4	2.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	3	1/3	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
24.0	8.0	0.5	57	3	A	0.0	2	4	2.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	3	1/2	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
32.0	8.0	0.667	52	4	E	0.0	2	4	2.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	3	2/3	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
40.0	8.0	0.833	49	7	C	1.0	2	4	2.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	3	5/6	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
48.0	24.0	1.0	45	3	A	0.0	2	4	2.0	1.0	1/8	True	3	1.0	1.0	1.0	1a	2	1	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
48.0	8.0	1.0	81	3	A	0.0	2	4	1.0	1.0	1/24	False	3	1.0	1.0	1.0	1a	5	1	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
56.0	8.0	1.167	85	7	C	1.0	2	4	1.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	6	7/6	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
64.0	8.0	1.333	80	8	G	1.0	2	4	1.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	5	4/3	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	5	5	5	False	False	False
72.0	8.0	1.5	81	3	A	0.0	2	4	1.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	5	3/2	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
80.0	8.0	1.667	76	4	E	0.0	2	4	1.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	5	5/3	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
88.0	8.0	1.833	73	7	C	1.0	2	4	1.0	1.0	1/24	True	3	1.0	1.0	1.0	1a	5	11/6	False	False				False	0		A.I{		A	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
96.0	8.0	2.0	45	3	A	0.0	2	4	2.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	2	2	False	True				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	0	0	0	True	False	True
96.0	48.0	2.0	69	3	A	0.0	2	4	1.0	1.0	1/4	True	3	2.0	2.0	2.0	2a	4	2	False	True				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	0	0	0	True	False	True
96.0	48.0	2.0	74	2	D	0.0	2	4	1.0	1.0	1/4	True	3	2.0	2.0	2.0	2a	5	2	False	True				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	-1	-1	-1	True	True	False
96.0	48.0	2.0	78	6	F	1.0	2	4	1.0	1.0	1/4	True	3	2.0	2.0	2.0	2a	5	2	False	True				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	3	3	3	True	False	False
104.0	8.0	2.167	50	2	D	0.0	2	4	2.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	3	13/6	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	-1	-1	-1	True	True	False
112.0	8.0	2.333	54	6	F	1.0	2	4	2.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	3	7/3	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	3	3	3	True	False	False
120.0	8.0	2.5	57	3	A	0.0	2	4	2.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	3	5/2	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	0	0	0	True	False	True
128.0	8.0	2.667	54	6	F	1.0	2	4	2.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	3	8/3	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	3	3	3	True	False	False
136.0	8.0	2.833	50	2	D	0.0	2	4	2.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	3	17/6	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	-1	-1	-1	True	True	False
144.0	24.0	3.0	45	3	A	0.0	2	4	2.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	2	3	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	0	0	0	True	False	True
144.0	8.0	3.0	78	6	F	1.0	2	4	1.0	1.0	1/24	False	3	2.0	2.0	2.0	2a	5	3	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	3	3	3	True	False	False
152.0	8.0	3.167	73	7	C	1.0	2	4	1.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	5	19/6	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	4	4	4	False	False	False
160.0	8.0	3.333	74	2	D	0.0	2	4	1.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	5	10/3	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	-1	-1	-1	True	True	False
168.0	8.0	3.5	81	3	A	0.0	2	4	1.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	5	7/2	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	0	0	0	True	False	True
176.0	8.0	3.667	78	6	F	1.0	2	4	1.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	5	11/3	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	3	3	3	True	False	False
184.0	8.0	3.833	74	2	D	0.0	2	4	1.0	1.0	1/24	True	3	2.0	2.0	2.0	2a	5	23/6	False	False				False	1		IV64		A	I		IV64		IV		64			M	False	False	(0, -1, 3)	()	-1	0	major	major	I	I, major	IV		I	I	False	IV64	IV64, major		IV64, major		IV	3	3	3	-1	-1	-1	True	True	False
192.0	8.0	4.0	76	4	E	0.0	2	4	1.0	1.0	1/24	True	3	3.0	3.0	3.0	3a	5	4	False	True				False	2		I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	1	1	1	True	False	False
200.0	8.0	4.167	72	12	B	1.0	2	4	1.0	1.0	1/24	True	3	3.0	3.0	3.0	3a	4	25/6	False	False				False	2		I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	9	9	9	False	False	False
208.0	8.0	4.333	73	7	C	1.0	2	4	1.0	1.0	1/24	True	3	3.0	3.0	3.0	3a	5	13/3	False	False				False	2		I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	4	4	4	True	False	True
216.0	8.0	4.5	81	3	A	0.0	2	4	1.0	1.0	1/24	True	3	3.0	3.0	3.0	3a	5	9/2	False	False				False	2		I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	0	0	0	True	True	False
224.0	8.0	4.667	76	4	E	0.0	2	4	1.0	1.0	1/24	True	3	3.0	3.0	3.0	3a	5	14/3	False	False				False	2		I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	1	1	1	True	False	False
232.0	8.0	4.833	73	7	C	1.0	2	4	1.0	1.0	1/24	True	3	3.0	3.0	3.0	3a	5	29/6	False	False				False	2		I6		A	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	3	3	3	4	4	4	True	False	True
