onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
1320.0	24.0	27.5	59	5	B	0.0	2	2	2.0	1.0	1/4	True	0	14.0	14.0	14.0	14a	3	55	False	True				False	42	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
1320.0	24.0	27.5	67	1	G	0.0	2	2	1.0	2.0	1/4	True	0	14.0	14.0	14.0	14a	4	55	False	True				False	42	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
1320.0	24.0	27.5	76	4	E	0.0	2	2	1.0	1.0	1/4	True	0	14.0	14.0	14.0	14a	5	55	False	True				False	42	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
1344.0	24.0	28.0	64	4	E	0.0	2	2	1.0	2.0	1/4	True	0	15.0	15.0	15.0	15a	4	56	False	False				False	42	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
1344.0	24.0	28.0	71	5	B	0.0	2	2	1.0	2.0	1/4	True	0	15.0	15.0	15.0	15a	4	56	False	False				False	42	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
1356.0	12.0	28.25	79	1	G	0.0	2	2	1.0	1.0	1/8	True	0	15.0	15.0	15.0	15a	5	113/2	False	False				False	42	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
1368.0	0.0	28.5	78	6	F	1.0	2	2	1.0	1.0	0	True	0	15.0	15.0	15.0	15a	5	57	False	True				False	43	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	2	2	2	True	False	False
1368.0	0.0	28.5	81	3	A	0.0	2	2	1.0	1.0	0	True	0	15.0	15.0	15.0	15a	5	57	False	True				False	43	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	-1	-1	-1	False	False	False
1368.0	24.0	28.5	62	2	D	0.0	2	2	1.0	2.0	1/4	True	0	15.0	15.0	15.0	15a	4	57	False	True				False	43	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	-2	-2	-2	True	False	True
1368.0	24.0	28.5	71	5	B	0.0	2	2	1.0	2.0	1/4	True	0	15.0	15.0	15.0	15a	4	57	False	True				False	43	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	1	1	1	True	True	False
1368.0	12.0	28.5	79	1	G	0.0	2	2	1.0	1.0	1/8	True	0	15.0	15.0	15.0	15a	5	57	False	True				False	43	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	-3	-3	-3	False	False	False
1380.0	12.0	28.75	78	6	F	1.0	2	2	1.0	1.0	1/8	True	0	15.0	15.0	15.0	15a	5	115/2	False	False				False	43	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	2	2	2	True	False	False
1392.0	24.0	29.0	61	7	C	1.0	2	2	1.0	2.0	1/4	True	0	15.0	15.0	15.0	15a	4	58	False	True				False	44	v.#viio6	e	v		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	v	v, minor	#vii		v	v	True	#viio6	#viio6, minor		#viio6, minor		#vii	4	5	5	3	2	2	True	False	True
1392.0	24.0	29.0	70	10	A	1.0	2	2	1.0	2.0	1/4	True	0	15.0	15.0	15.0	15a	4	58	False	True				False	44	v.#viio6	e	v		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	v	v, minor	#vii		v	v	True	#viio6	#viio6, minor		#viio6, minor		#vii	4	5	5	6	5	5	True	True	False
1404.0	12.0	29.25	76	4	E	0.0	2	2	1.0	1.0	1/8	True	0	15.0	15.0	15.0	15a	5	117/2	False	False				False	44	v.#viio6	e	v		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	v	v, minor	#vii		v	v	True	#viio6	#viio6, minor		#viio6, minor		#vii	4	5	5	0	-1	-1	True	False	False
1416.0	24.0	29.5	59	5	B	0.0	2	2	2.0	1.0	1/4	True	0	15.0	15.0	15.0	15a	3	59	False	True				False	45	i	e	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	4	5	5	1	0	0	True	True	True
1416.0	24.0	29.5	71	5	B	0.0	2	2	1.0	2.0	1/4	True	0	15.0	15.0	15.0	15a	4	59	False	True				False	45	i	e	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	4	5	5	1	0	0	True	True	True
1416.0	6.0	29.5	76	4	E	0.0	2	2	1.0	1.0	1/16	True	0	15.0	15.0	15.0	15a	5	59	False	True				False	45	i	e	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	4	5	5	0	-1	-1	False	False	False
1422.0	6.0	29.625	73	7	C	1.0	2	2	1.0	1.0	1/16	True	0	15.0	15.0	15.0	15a	5	237/4	False	False				False	45	i	e	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	4	5	5	3	2	2	False	False	False
1428.0	6.0	29.75	74	2	D	0.0	2	2	1.0	1.0	1/16	True	0	15.0	15.0	15.0	15a	5	119/2	False	False				False	45	i	e	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	4	5	5	-2	-3	-3	True	False	False
1434.0	6.0	29.875	78	6	F	1.0	2	2	1.0	1.0	1/16	True	0	15.0	15.0	15.0	15a	5	239/4	False	False				False	45	i	e	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	4	5	5	2	1	1	True	False	False
1440.0	0.0	30.0	76	4	E	0.0	2	2	1.0	1.0	0	True	0	16.0	16.0	16.0	16a	5	60	False	True			}	True	46	V(64)}	e	v		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V(64), minor		V	4	5	5	0	-1	-1	False	False	False
1440.0	48.0	30.0	54	6	F	1.0	2	2	2.0	1.0	1/2	True	0	16.0	16.0	16.0	16a	3	60	False	True			}	True	46	V(64)}	e	v		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V(64), minor		V	4	5	5	2	1	1	True	True	True
1440.0	24.0	30.0	71	5	B	0.0	2	2	1.0	2.0	1/4	True	0	16.0	16.0	16.0	16a	4	60	False	True			}	True	46	V(64)}	e	v		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V(64), minor		V	4	5	5	1	0	0	True	False	False
1440.0	24.0	30.0	74	2	D	0.0	2	2	1.0	1.0	1/4	True	0	16.0	16.0	16.0	16a	5	60	False	True			}	True	46	V(64)}	e	v		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V(64), minor		V	4	5	5	-2	-3	-3	True	False	False
1464.0	24.0	30.5	70	10	A	1.0	2	2	1.0	2.0	1/4	True	0	16.0	16.0	16.0	16a	4	61	False	True	HC	HC		False	47	V|HC	e	v		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V, minor		V	4	5	5	6	5	5	True	False	False
1464.0	24.0	30.5	73	7	C	1.0	2	2	1.0	1.0	1/4	True	0	16.0	16.0	16.0	16a	5	61	False	True	HC	HC		False	47	V|HC	e	v		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	v	v, minor	V		v	v	True	V	V, minor		V, minor		V	4	5	5	3	2	2	True	False	False
1488.0	24.0	31.0	66	6	F	1.0	2	2	1.0	1.0	1/4	True	0	16.0	16.0	16.0	16a	4	62	False	False			{	False	48	{	e	v		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	v	v, minor	V		v	v	True		, minor		V, minor		V	4	5	5	2	1	1	True	True	True
1512.0	24.0	31.5	52	4	E	0.0	2	2	2.0	1.0	1/4	True	0	16.0	16.0	16.0	16a	3	63	False	True				False	49	V2	e	v		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	v	v, minor	V		v	v	True	V2	V2, minor		V2, minor		V	4	5	5	0	-1	-1	True	False	True
1512.0	24.0	31.5	58	10	A	1.0	2	2	2.0	1.0	1/4	True	0	16.0	16.0	16.0	16a	3	63	False	True				False	49	V2	e	v		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	v	v, minor	V		v	v	True	V2	V2, minor		V2, minor		V	4	5	5	6	5	5	True	False	False
1512.0	18.0	31.5	66	6	F	1.0	2	2	1.0	1.0	3/16	False	0	16.0	16.0	16.0	16a	4	63	False	True				False	49	V2	e	v		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	v	v, minor	V		v	v	True	V2	V2, minor		V2, minor		V	4	5	5	2	1	1	True	True	False
1530.0	3.0	31.875	73	7	C	1.0	2	2	1.0	1.0	1/32	True	0	16.0	16.0	16.0	16a	5	255/4	False	False				False	49	V2	e	v		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	v	v, minor	V		v	v	True	V2	V2, minor		V2, minor		V	4	5	5	3	2	2	True	False	False
1533.0	3.0	31.938	70	10	A	1.0	2	2	1.0	1.0	1/32	True	0	16.0	16.0	16.0	16a	4	511/8	False	False				False	49	V2	e	v		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	v	v, minor	V		v	v	True	V2	V2, minor		V2, minor		V	4	5	5	6	5	5	True	False	False
1536.0	24.0	32.0	66	6	F	1.0	2	2	1.0	1.0	1/4	True	0	17.0	17.0	17.0	17a	4	64	False	False				False	49	V2	e	v		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	v	v, minor	V		v	v	True	V2	V2, minor		V2, minor		V	4	5	5	2	1	1	True	True	False
1560.0	24.0	32.5	50	2	D	0.0	2	2	2.0	1.0	1/4	True	0	17.0	17.0	17.0	17a	3	65	False	True				False	50	i6	e	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	4	5	5	-2	-3	-3	True	False	True
1560.0	24.0	32.5	59	5	B	0.0	2	2	2.0	1.0	1/4	True	0	17.0	17.0	17.0	17a	3	65	False	True				False	50	i6	e	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	4	5	5	1	0	0	True	True	False
1560.0	18.0	32.5	66	6	F	1.0	2	2	1.0	1.0	3/16	False	0	17.0	17.0	17.0	17a	4	65	False	True				False	50	i6	e	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	4	5	5	2	1	1	True	False	False
1578.0	3.0	32.875	74	2	D	0.0	2	2	1.0	1.0	1/32	True	0	17.0	17.0	17.0	17a	5	263/4	False	False				False	50	i6	e	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	4	5	5	-2	-3	-3	True	False	True
1581.0	3.0	32.938	71	5	B	0.0	2	2	1.0	1.0	1/32	True	0	17.0	17.0	17.0	17a	4	527/8	False	False				False	50	i6	e	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	4	5	5	1	0	0	True	True	False
1584.0	24.0	33.0	66	6	F	1.0	2	2	1.0	1.0	1/4	True	0	17.0	17.0	17.0	17a	4	66	False	False				False	50	i6	e	v		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	v	v, minor	i		v	v	True	i6	i6, minor		i6, minor		i	4	5	5	2	1	1	True	False	False
