onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	3.0	0.0	43	1	G	0.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	2	0	True	True			{	False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
3.0	3.0	0.062	46	-2	B	-1.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	2	1/16	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
6.0	3.0	0.125	50	2	D	0.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	3	1/8	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
9.0	3.0	0.188	55	1	G	0.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	3	3/16	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
12.0	3.0	0.25	58	-2	B	-1.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	3	1/4	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
15.0	3.0	0.312	62	2	D	0.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	4	5/16	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
18.0	3.0	0.375	67	1	G	0.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	4	3/8	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
21.0	3.0	0.438	55	1	G	0.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	3	7/16	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
24.0	3.0	0.5	58	-2	B	-1.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	3	1/2	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
27.0	3.0	0.562	62	2	D	0.0	4	4	2.0	1.0	1/64	True	-2	1.0	1.0	1.0	1a	4	9/16	False	False				False	0	g.i{		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
