onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	180.0	0.0	41	-1	F	0.0	4	4	2.0	1.0	3/16	True	-1	1.0	1.0	1.0	1a	2	0	True	True			{	False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
0.0	480.0	0.0	69	3	A	0.0	4	4	1.0	1.0	1/2	True	-1	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
0.0	480.0	0.0	72	0	C	0.0	4	4	1.0	1.0	1/2	True	-1	1.0	1.0	1.0	1a	5	0	True	True			{	False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
180.0	30.0	0.75	45	3	A	0.0	4	4	2.0	1.0	1/32	True	-1	1.0	1.0	1.0	1a	2	3/4	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
210.0	30.0	0.875	48	0	C	0.0	4	4	2.0	1.0	1/32	True	-1	1.0	1.0	1.0	1a	3	7/8	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
240.0	90.0	1.0	53	-1	F	0.0	4	4	2.0	1.0	3/32	True	-1	1.0	1.0	1.0	1a	3	1	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
330.0	30.0	1.375	48	0	C	0.0	4	4	2.0	1.0	1/32	True	-1	1.0	1.0	1.0	1a	3	11/8	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
360.0	90.0	1.5	45	3	A	0.0	4	4	2.0	1.0	3/32	True	-1	1.0	1.0	1.0	1a	2	3/2	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
450.0	30.0	1.875	41	-1	F	0.0	4	4	2.0	1.0	1/32	True	-1	1.0	1.0	1.0	1a	2	15/8	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
480.0	240.0	2.0	53	-1	F	0.0	4	4	2.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	3	2	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
480.0	120.0	2.0	69	3	A	0.0	4	4	1.0	1.0	1/8	False	-1	1.0	1.0	1.0	1a	4	2	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
480.0	120.0	2.0	72	0	C	0.0	4	4	1.0	1.0	1/8	False	-1	1.0	1.0	1.0	1a	5	2	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
600.0	120.0	2.5	74	2	D	0.0	4	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	5	5/2	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	3	3	3	False	False	False
600.0	120.0	2.5	77	-1	F	0.0	4	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	5	5/2	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
720.0	120.0	3.0	72	0	C	0.0	4	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	5	3	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
720.0	120.0	3.0	76	4	E	0.0	4	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	5	3	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	5	5	5	False	False	False
840.0	120.0	3.5	70	-2	B	-1.0	4	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	4	7/2	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	-1	-1	-1	False	False	False
840.0	120.0	3.5	74	2	D	0.0	4	4	1.0	1.0	1/8	True	-1	1.0	1.0	1.0	1a	5	7/2	False	False				False	0	F.I{		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	3	3	3	False	False	False
960.0	0.0	4.0	72	0	C	0.0	4	4	1.0	1.0	0	True	-1	2.0	2.0	2.0	2a	5	4	False	True				False	1	vii%7		F	I		vii%7	vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	-1	-1	-1	1	1	1	False	False	False
960.0	120.0	4.0	69	3	A	0.0	4	4	1.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	4	4	False	True				False	1	vii%7		F	I		vii%7	vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	-1	-1	-1	4	4	4	False	False	False
960.0	120.0	4.0	72	0	C	0.0	4	4	1.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	5	4	False	True				False	1	vii%7		F	I		vii%7	vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	-1	-1	-1	1	1	1	False	False	False
1080.0	240.0	4.5	70	-2	B	-1.0	4	4	1.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	4	9/2	False	False				False	1	vii%7		F	I		vii%7	vii	%	7			%7	False	False	(5, 2, -1, 3)	()	5	5	major	major	I	I, major	vii		I	I	False	vii%7	vii%7, major		vii%7, major		vii	-1	-1	-1	-1	-1	-1	True	False	False
