onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1	39	-3	E	-1	4	4	2	1	True	1.0	-3	1	1	1	1a	0	1/16	True	2	True			{	False	0	Eb.I{		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
1	1	75	-3	E	-1	4	4	1	1	True	1.25	-3	1	1	1	1a	1/4	1/16	False	5	False				False	0	Eb.I{		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
2	1	67	1	G	0	4	4	1	1	True	1.5	-3	1	1	1	1a	1/2	1/16	False	4	False				False	0	Eb.I{		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
3	1	72	0	C	0	4	4	1	1	True	1.75	-3	1	1	1	1a	3/4	1/16	False	5	False				False	0	Eb.I{		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	3	3	3	False	False	False
4	2	67	1	G	0	4	4	2	1	True	2.0	-3	1	1	1	1a	1	1/8	False	4	True				False	1	I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	4	4	4	True	False	True
4	1	70	-2	B	-1	4	4	1	1	True	2.0	-3	1	1	1	1a	1	1/16	False	4	True				False	1	I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	1	1	1	True	False	False
5	1	82	-2	B	-1	4	4	1	1	True	2.25	-3	1	1	1	1a	5/4	1/16	False	5	False				False	1	I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	1	1	1	True	False	False
6	2	65	-1	F	0	4	4	2	1	True	2.5	-3	1	1	1	1a	3/2	1/8	False	4	True				False	2	viio6		Eb	I		viio6		vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-3	-3	-3	2	2	2	True	False	True
6	1	74	2	D	0	4	4	1	1	True	2.5	-3	1	1	1	1a	3/2	1/16	False	5	True				False	2	viio6		Eb	I		viio6		vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-3	-3	-3	5	5	5	True	True	False
7	1	80	-4	A	-1	4	4	1	1	True	2.75	-3	1	1	1	1a	7/4	1/16	False	5	False				False	2	viio6		Eb	I		viio6		vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-3	-3	-3	-1	-1	-1	True	False	False
8	2	63	-3	E	-1	4	4	2	1	True	3.0	-3	1	1	1	1a	2	1/8	False	4	True				False	3	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
8	1	70	-2	B	-1	4	4	1	1	True	3.0	-3	1	1	1	1a	2	1/16	False	4	True				False	3	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
9	1	79	1	G	0	4	4	1	1	True	3.25	-3	1	1	1	1a	9/4	1/16	False	5	False				False	3	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
10	2	56	-4	A	-1	4	4	2	1	True	3.5	-3	1	1	1	1a	5/2	1/8	False	3	True				False	4	ii6		Eb	I		ii6		ii		6			m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii6	ii6, major		ii6, major		ii	-3	-3	-3	-1	-1	-1	True	False	True
10	1	68	-4	A	-1	4	4	1	1	True	3.5	-3	1	1	1	1a	5/2	1/16	False	4	True				False	4	ii6		Eb	I		ii6		ii		6			m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii6	ii6, major		ii6, major		ii	-3	-3	-3	-1	-1	-1	True	False	True
11	1	77	-1	F	0	4	4	1	1	True	3.75	-3	1	1	1	1a	11/4	1/16	False	5	False				False	4	ii6		Eb	I		ii6		ii		6			m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii6	ii6, major		ii6, major		ii	-3	-3	-3	2	2	2	True	True	False
12	2	58	-2	B	-1	4	4	2	1	True	4.0	-3	1	1	1	1a	3	1/8	False	3	True				False	5	V(64)		Eb	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	-3	-3	-3	1	1	1	True	True	True
12	1	67	1	G	0	4	4	1	1	True	4.0	-3	1	1	1	1a	3	1/16	False	4	True				False	5	V(64)		Eb	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	-3	-3	-3	4	4	4	True	False	False
13	1	75	-3	E	-1	4	4	1	1	True	4.25	-3	1	1	1	1a	13/4	1/16	False	5	False				False	5	V(64)		Eb	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	-3	-3	-3	0	0	0	True	False	False
14	2	46	-2	B	-1	4	4	2	1	True	4.5	-3	1	1	1	1a	7/2	1/8	False	2	True				False	6	V		Eb	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-3	-3	-3	1	1	1	True	True	True
14	1	65	-1	F	0	4	4	1	1	True	4.5	-3	1	1	1	1a	7/2	1/16	False	4	True				False	6	V		Eb	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-3	-3	-3	2	2	2	True	False	False
15	1	74	2	D	0	4	4	1	1	True	4.75	-3	1	1	1	1a	15/4	1/16	False	5	False				False	6	V		Eb	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-3	-3	-3	5	5	5	True	False	False
16	1	39	-3	E	-1	4	4	2	1	True	1.0	-3	2	2	2	2a	4	1/16	False	2	True				False	7	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
17	1	75	-3	E	-1	4	4	1	1	True	1.25	-3	2	2	2	2a	17/4	1/16	False	5	False				False	7	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
18	1	67	1	G	0	4	4	1	1	True	1.5	-3	2	2	2	2a	9/2	1/16	False	4	False				False	7	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
19	1	72	0	C	0	4	4	1	1	True	1.75	-3	2	2	2	2a	19/4	1/16	False	5	False				False	7	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	3	3	3	False	False	False
20	2	67	1	G	0	4	4	2	1	True	2.0	-3	2	2	2	2a	5	1/8	False	4	True				False	8	I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	4	4	4	True	False	True
20	1	70	-2	B	-1	4	4	1	1	True	2.0	-3	2	2	2	2a	5	1/16	False	4	True				False	8	I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	1	1	1	True	False	False
21	1	82	-2	B	-1	4	4	1	1	True	2.25	-3	2	2	2	2a	21/4	1/16	False	5	False				False	8	I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	1	1	1	True	False	False
22	2	65	-1	F	0	4	4	2	1	True	2.5	-3	2	2	2	2a	11/2	1/8	False	4	True				False	9	viio6		Eb	I		viio6		vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-3	-3	-3	2	2	2	True	False	True
22	1	74	2	D	0	4	4	1	1	True	2.5	-3	2	2	2	2a	11/2	1/16	False	5	True				False	9	viio6		Eb	I		viio6		vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-3	-3	-3	5	5	5	True	True	False
23	1	80	-4	A	-1	4	4	1	1	True	2.75	-3	2	2	2	2a	23/4	1/16	False	5	False				False	9	viio6		Eb	I		viio6		vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-3	-3	-3	-1	-1	-1	True	False	False
24	2	63	-3	E	-1	4	4	2	1	True	3.0	-3	2	2	2	2a	6	1/8	False	4	True				False	10	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
24	1	70	-2	B	-1	4	4	1	1	True	3.0	-3	2	2	2	2a	6	1/16	False	4	True				False	10	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
25	1	79	1	G	0	4	4	1	1	True	3.25	-3	2	2	2	2a	25/4	1/16	False	5	False				False	10	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
26	2	56	-4	A	-1	4	4	2	1	True	3.5	-3	2	2	2	2a	13/2	1/8	False	3	True				False	11	ii6		Eb	I		ii6		ii		6			m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii6	ii6, major		ii6, major		ii	-3	-3	-3	-1	-1	-1	True	False	True
26	1	68	-4	A	-1	4	4	1	1	True	3.5	-3	2	2	2	2a	13/2	1/16	False	4	True				False	11	ii6		Eb	I		ii6		ii		6			m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii6	ii6, major		ii6, major		ii	-3	-3	-3	-1	-1	-1	True	False	True
27	1	77	-1	F	0	4	4	1	1	True	3.75	-3	2	2	2	2a	27/4	1/16	False	5	False				False	11	ii6		Eb	I		ii6		ii		6			m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii6	ii6, major		ii6, major		ii	-3	-3	-3	2	2	2	True	True	False
28	2	58	-2	B	-1	4	4	2	1	True	4.0	-3	2	2	2	2a	7	1/8	False	3	True				False	12	V(64)		Eb	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	-3	-3	-3	1	1	1	True	True	True
28	1	67	1	G	0	4	4	1	1	True	4.0	-3	2	2	2	2a	7	1/16	False	4	True				False	12	V(64)		Eb	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	-3	-3	-3	4	4	4	True	False	False
29	1	75	-3	E	-1	4	4	1	1	True	4.25	-3	2	2	2	2a	29/4	1/16	False	5	False				False	12	V(64)		Eb	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	-3	-3	-3	0	0	0	True	False	False
30	2	46	-2	B	-1	4	4	2	1	True	4.5	-3	2	2	2	2a	15/2	1/8	False	2	True				False	13	V		Eb	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-3	-3	-3	1	1	1	True	True	True
30	1	65	-1	F	0	4	4	1	1	True	4.5	-3	2	2	2	2a	15/2	1/16	False	4	True				False	13	V		Eb	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-3	-3	-3	2	2	2	True	False	False
31	1	74	2	D	0	4	4	1	1	True	4.75	-3	2	2	2	2a	31/4	1/16	False	5	False				False	13	V		Eb	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-3	-3	-3	5	5	5	True	False	False
32	4	39	-3	E	-1	4	4	2	1	True	1.0	-3	3	3	3	3a	8	1/4	False	2	True	PAC	PAC	}{	True	14	I|PAC}{		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
