onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	8	50	2	D	0	3	8	2	1	True	1.0	-1	1	1	1	1a	0	1/4	True	3	True			{	False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
0	2	69	3	A	0	3	8	1	1	True	1.0	-1	1	1	1	1a	0	1/16	True	4	True			{	False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
2	2	74	2	D	0	3	8	1	1	True	1.5	-1	1	1	1	1a	1/4	1/16	False	5	False				False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
4	2	77	-1	F	0	3	8	1	1	True	2.0	-1	1	1	1	1a	1/2	1/16	False	5	False				False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
6	2	69	3	A	0	3	8	1	1	True	2.5	-1	1	1	1	1a	3/4	1/16	False	4	False				False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
8	4	52	4	E	0	3	8	2	1	True	3.0	-1	1	1	1	1a	1	1/8	False	3	True				False	1	#viio6	iio	d	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	2	2	2	2	2	2	True	False	True
8	2	67	1	G	0	3	8	1	1	True	3.0	-1	1	1	1	1a	1	1/16	False	4	True				False	1	#viio6	iio	d	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	2	2	2	-1	-1	-1	True	False	False
10	2	76	4	E	0	3	8	1	1	True	3.5	-1	1	1	1	1a	5/4	1/16	False	5	False				False	1	#viio6	iio	d	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	2	2	2	2	2	2	True	False	True
12	4	53	-1	F	0	3	8	2	1	True	1.0	-1	2	2	2	2a	3/2	1/8	False	3	True				False	2	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
12	2	65	-1	F	0	3	8	1	1	True	1.0	-1	2	2	2	2a	3/2	1/16	False	4	True				False	2	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
