onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1	67	1	G	0	4	4	1	1	True	1.0	-2	1	1	1	1a	0	1/16	True	4	True			{	False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
1	1	62	2	D	0	4	4	1	1	True	1.25	-2	1	1	1	1a	1/4	1/16	False	4	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
2	1	70	-2	B	-1	4	4	1	1	True	1.5	-2	1	1	1	1a	1/2	1/16	False	4	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
3	1	69	3	A	0	4	4	1	1	True	1.75	-2	1	1	1	1a	3/4	1/16	False	4	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	2	2	2	False	False	False
4	1	67	1	G	0	4	4	1	1	True	2.0	-2	1	1	1	1a	1	1/16	False	4	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
5	1	62	2	D	0	4	4	1	1	True	2.25	-2	1	1	1	1a	5/4	1/16	False	4	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
6	1	74	2	D	0	4	4	1	1	True	2.5	-2	1	1	1	1a	3/2	1/16	False	5	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
7	1	72	0	C	0	4	4	1	1	True	2.75	-2	1	1	1	1a	7/4	1/16	False	5	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-1	-1	-1	False	False	False
8	1	70	-2	B	-1	4	4	1	1	True	3.0	-2	1	1	1	1a	2	1/16	False	4	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
9	1	67	1	G	0	4	4	1	1	True	3.25	-2	1	1	1	1a	9/4	1/16	False	4	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
10	1	79	1	G	0	4	4	1	1	True	3.5	-2	1	1	1	1a	5/2	1/16	False	5	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
11	1	77	-1	F	0	4	4	1	1	True	3.75	-2	1	1	1	1a	11/4	1/16	False	5	False				False	0		g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-2	-2	-2	False	False	False
12	1	75	-3	E	-1	4	4	1	1	True	4.0	-2	1	1	1	1a	3	1/16	False	5	True				False	1		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-4	-4	-4	True	False	False
13	1	79	1	G	0	4	4	1	1	True	4.25	-2	1	1	1	1a	13/4	1/16	False	5	False				False	1		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	0	0	0	True	False	False
14	1	72	0	C	0	4	4	1	1	True	4.5	-2	1	1	1	1a	7/2	1/16	False	5	False				False	1		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-1	-1	-1	True	True	True
15	1	75	-3	E	-1	4	4	1	1	True	4.75	-2	1	1	1	1a	15/4	1/16	False	5	False				False	1		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-4	-4	-4	True	False	False
16	1	69	3	A	0	4	4	1	1	True	1.0	-2	2	2	2	2a	4	1/16	False	4	True				False	2		#viio		g	i		#viio	#vii	o				o	True	True	(5, 2, -1)	()	5	5	minor	minor	i	i, minor	#vii		i	i	True	#viio	#viio, minor		#viio, minor		#vii	1	1	1	2	2	2	True	False	False
17	1	72	0	C	0	4	4	1	1	True	1.25	-2	2	2	2	2a	17/4	1/16	False	5	False				False	2		#viio		g	i		#viio	#vii	o				o	True	True	(5, 2, -1)	()	5	5	minor	minor	i	i, minor	#vii		i	i	True	#viio	#viio, minor		#viio, minor		#vii	1	1	1	-1	-1	-1	True	False	False
18	1	66	6	F	1	4	4	1	1	True	1.5	-2	2	2	2	2a	9/2	1/16	False	4	False				False	2		#viio		g	i		#viio	#vii	o				o	True	True	(5, 2, -1)	()	5	5	minor	minor	i	i, minor	#vii		i	i	True	#viio	#viio, minor		#viio, minor		#vii	1	1	1	5	5	5	True	True	True
19	1	69	3	A	0	4	4	1	1	True	1.75	-2	2	2	2	2a	19/4	1/16	False	4	False				False	2		#viio		g	i		#viio	#vii	o				o	True	True	(5, 2, -1)	()	5	5	minor	minor	i	i, minor	#vii		i	i	True	#viio	#viio, minor		#viio, minor		#vii	1	1	1	2	2	2	True	False	False
20	1	62	2	D	0	4	4	1	1	True	2.0	-2	2	2	2	2a	5	1/16	False	4	True				False	3		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	1	1	1	True	True	True
21	1	72	0	C	0	4	4	1	1	True	2.25	-2	2	2	2	2a	21/4	1/16	False	5	False				False	3		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	-1	-1	-1	True	False	False
22	1	70	-2	B	-1	4	4	1	1	True	2.5	-2	2	2	2	2a	11/2	1/16	False	4	False				False	3		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	-3	-3	-3	False	False	False
23	1	69	3	A	0	4	4	1	1	True	2.75	-2	2	2	2	2a	23/4	1/16	False	4	False				False	3		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	2	2	2	True	False	False
24	1	55	1	G	0	4	4	2	1	True	3.0	-2	2	2	2	2a	6	1/16	False	3	True				False	4		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
24	2	70	-2	B	-1	4	4	1	1	True	3.0	-2	2	2	2	2a	6	1/8	False	4	True				False	4		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
25	1	50	2	D	0	4	4	2	1	True	3.25	-2	2	2	2	2a	25/4	1/16	False	3	False				False	4		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
26	1	58	-2	B	-1	4	4	2	1	True	3.5	-2	2	2	2	2a	13/2	1/16	False	3	False				False	4		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
26	4	67	1	G	0	4	4	1	1	True	3.5	-2	2	2	2	2a	13/2	1/4	False	4	False				False	4		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
27	1	57	3	A	0	4	4	2	1	True	3.75	-2	2	2	2	2a	27/4	1/16	False	3	False				False	4		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	2	2	2	False	False	False
28	1	55	1	G	0	4	4	2	1	True	4.0	-2	2	2	2	2a	7	1/16	False	3	False				False	4		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
29	1	50	2	D	0	4	4	2	1	True	4.25	-2	2	2	2	2a	29/4	1/16	False	3	False				False	4		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
30	1	62	2	D	0	4	4	2	1	True	4.5	-2	2	2	2	2a	15/2	1/16	False	4	True				False	5		V2	V	g	i		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	i	i, minor	V		i	i	True	V2	V2, minor		V2, minor		V	1	1	1	1	1	1	True	True	False
30	2	66	6	F	1	4	4	1	1	True	4.5	-2	2	2	2	2a	15/2	1/8	False	4	True				False	5		V2	V	g	i		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	i	i, minor	V		i	i	True	V2	V2, minor		V2, minor		V	1	1	1	5	5	5	True	False	False
31	1	60	0	C	0	4	4	2	1	True	4.75	-2	2	2	2	2a	31/4	1/16	False	4	False				False	5		V2	V	g	i		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	i	i, minor	V		i	i	True	V2	V2, minor		V2, minor		V	1	1	1	-1	-1	-1	True	False	True
32	1	58	-2	B	-1	4	4	2	1	True	1.0	-2	3	3	3	3a	8	1/16	False	3	True				False	6		i6	i	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-3	-3	-3	True	False	True
32	2	67	1	G	0	4	4	1	1	True	1.0	-2	3	3	3	3a	8	1/8	False	4	True				False	6		i6	i	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
33	1	55	1	G	0	4	4	2	1	True	1.25	-2	3	3	3	3a	33/4	1/16	False	3	False				False	6		i6	i	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
34	1	67	1	G	0	4	4	2	1	True	1.5	-2	3	3	3	3a	17/2	1/16	False	4	False				False	6		i6	i	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
34	4	70	-2	B	-1	4	4	1	1	True	1.5	-2	3	3	3	3a	17/2	1/4	False	4	False				False	6		i6	i	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-3	-3	-3	True	False	True
35	1	65	-1	F	0	4	4	2	1	True	1.75	-2	3	3	3	3a	35/4	1/16	False	4	False				False	6		i6	i	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-2	-2	-2	False	False	False
36	1	63	-3	E	-1	4	4	2	1	True	2.0	-2	3	3	3	3a	9	1/16	False	4	True				False	7		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-4	-4	-4	True	False	False
37	1	67	1	G	0	4	4	2	1	True	2.25	-2	3	3	3	3a	37/4	1/16	False	4	False				False	7		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	0	0	0	True	False	False
38	1	60	0	C	0	4	4	2	1	True	2.5	-2	3	3	3	3a	19/2	1/16	False	4	False				False	7		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-1	-1	-1	True	True	True
38	4	72	0	C	0	4	4	1	1	True	2.5	-2	3	3	3	3a	19/2	1/4	False	5	False				False	7		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-1	-1	-1	True	True	True
