onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
39	1	63	-3	E	-1	4	4	2	1	True	2.75	-2	3	3	3	3a	39/4	1/16	False	4	False				False	7		iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-4	-4	-4	True	False	False
40	1	57	3	A	0	4	4	2	1	True	3.0	-2	3	3	3	3a	10	1/16	False	3	True				False	8		#viio		g	i		#viio	#vii	o				o	True	True	(5, 2, -1)	()	5	5	minor	minor	i	i, minor	#vii		i	i	True	#viio	#viio, minor		#viio, minor		#vii	1	1	1	2	2	2	True	False	False
41	1	60	0	C	0	4	4	2	1	True	3.25	-2	3	3	3	3a	41/4	1/16	False	4	False				False	8		#viio		g	i		#viio	#vii	o				o	True	True	(5, 2, -1)	()	5	5	minor	minor	i	i, minor	#vii		i	i	True	#viio	#viio, minor		#viio, minor		#vii	1	1	1	-1	-1	-1	True	False	False
42	1	54	6	F	1	4	4	2	1	True	3.5	-2	3	3	3	3a	21/2	1/16	False	3	True				False	9		V6		g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	5	5	5	True	False	True
42	4	74	2	D	0	4	4	1	1	True	3.5	-2	3	3	3	3a	21/2	1/4	False	5	True				False	9		V6		g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	1	1	1	True	True	False
43	1	57	3	A	0	4	4	2	1	True	3.75	-2	3	3	3	3a	43/4	1/16	False	3	False				False	9		V6		g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	2	2	2	True	False	False
44	1	50	2	D	0	4	4	2	1	True	4.0	-2	3	3	3	3a	11	1/16	False	3	True				False	10		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	1	1	1	True	True	True
45	1	60	0	C	0	4	4	2	1	True	4.25	-2	3	3	3	3a	45/4	1/16	False	4	False				False	10		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	-1	-1	-1	True	False	False
46	1	58	-2	B	-1	4	4	2	1	True	4.5	-2	3	3	3	3a	23/2	1/16	False	3	False				False	10		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	-3	-3	-3	False	False	False
46	2	66	6	F	1	4	4	1	1	True	4.5	-2	3	3	3	3a	23/2	1/8	False	4	False				False	10		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	5	5	5	True	False	False
47	1	57	3	A	0	4	4	2	1	True	4.75	-2	3	3	3	3a	47/4	1/16	False	3	False				False	10		V7		g	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	1	1	1	2	2	2	True	False	False
48	1	58	-2	B	-1	4	4	2	1	True	1.0	-2	4	4	4	4a	12	1/16	False	3	True				False	11		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
48	3	67	1	G	0	4	4	1	1	True	1.0	-2	4	4	4	4a	12	3/16	False	4	True				False	11		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
49	1	57	3	A	0	4	4	2	1	True	1.25	-2	4	4	4	4a	49/4	1/16	False	3	False				False	11		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	2	2	2	False	False	False
50	2	55	1	G	0	4	4	2	1	True	1.5	-2	4	4	4	4a	25/2	1/8	False	3	False				False	11		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
51	1	79	1	G	0	4	4	1	1	True	1.75	-2	4	4	4	4a	51/4	1/16	False	5	False				False	11		i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
52	0	77	-1	F	0	4	4	1	1	True	2.0	-2	4	4	4	4a	13	0	False	5	True				False	12		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	-2	-2	-2	False	False	False
52	2	60	0	C	0	4	4	2	1	True	2.0	-2	4	4	4	4a	13	1/8	False	4	True				False	12		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	-1	-1	-1	True	False	True
52	1	75	-3	E	-1	4	4	1	1	True	2.0	-2	4	4	4	4a	13	1/16	False	5	True				False	12		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	-4	-4	-4	True	False	False
53	1	74	2	D	0	4	4	1	1	True	2.25	-2	4	4	4	4a	53/4	1/16	False	5	False				False	12		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	1	1	1	False	False	False
54	2	66	6	F	1	4	4	2	1	True	2.5	-2	4	4	4	4a	27/2	1/8	False	4	False				False	12		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	5	5	5	True	True	False
54	1	72	0	C	0	4	4	1	1	True	2.5	-2	4	4	4	4a	27/2	1/16	False	5	False				False	12		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	-1	-1	-1	True	False	True
55	1	81	3	A	0	4	4	1	1	True	2.75	-2	4	4	4	4a	55/4	1/16	False	5	False				False	12		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	2	2	2	True	False	False
56	0	72	0	C	0	4	4	1	1	True	3.0	-2	4	4	4	4a	14	0	False	5	True				False	13		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-1	-1	-1	False	False	False
56	2	67	1	G	0	4	4	2	1	True	3.0	-2	4	4	4	4a	14	1/8	False	4	True				False	13		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
56	1	70	-2	B	-1	4	4	1	1	True	3.0	-2	4	4	4	4a	14	1/16	False	4	True				False	13		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-3	-3	-3	True	False	True
57	1	69	3	A	0	4	4	1	1	True	3.25	-2	4	4	4	4a	57/4	1/16	False	4	False				False	13		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	2	2	2	False	False	False
58	2	58	-2	B	-1	4	4	2	1	True	3.5	-2	4	4	4	4a	29/2	1/8	False	3	False				False	13		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-3	-3	-3	True	False	True
58	1	67	1	G	0	4	4	1	1	True	3.5	-2	4	4	4	4a	29/2	1/16	False	4	False				False	13		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
59	1	79	1	G	0	4	4	1	1	True	3.75	-2	4	4	4	4a	59/4	1/16	False	5	False				False	13		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
60	0	77	-1	F	0	4	4	1	1	True	4.0	-2	4	4	4	4a	15	0	False	5	True				False	14		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	-2	-2	-2	False	False	False
60	2	60	0	C	0	4	4	2	1	True	4.0	-2	4	4	4	4a	15	1/8	False	4	True				False	14		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	-1	-1	-1	True	False	True
60	1	75	-3	E	-1	4	4	1	1	True	4.0	-2	4	4	4	4a	15	1/16	False	5	True				False	14		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	-4	-4	-4	True	False	False
61	1	74	2	D	0	4	4	1	1	True	4.25	-2	4	4	4	4a	61/4	1/16	False	5	False				False	14		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	1	1	1	False	False	False
62	2	66	6	F	1	4	4	2	1	True	4.5	-2	4	4	4	4a	31/2	1/8	False	4	False				False	14		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	5	5	5	True	True	False
62	1	72	0	C	0	4	4	1	1	True	4.5	-2	4	4	4	4a	31/2	1/16	False	5	False				False	14		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	-1	-1	-1	True	False	True
63	1	81	3	A	0	4	4	1	1	True	4.75	-2	4	4	4	4a	63/4	1/16	False	5	False				False	14		#viio43		g	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	1	1	1	2	2	2	True	False	False
64	0	72	0	C	0	4	4	1	1	True	1.0	-2	5	5	5	5a	16	0	False	5	True				False	15		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-1	-1	-1	False	False	False
64	2	67	1	G	0	4	4	2	1	True	1.0	-2	5	5	5	5a	16	1/8	False	4	True				False	15		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
64	1	70	-2	B	-1	4	4	1	1	True	1.0	-2	5	5	5	5a	16	1/16	False	4	True				False	15		i6		g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-3	-3	-3	True	False	True
