onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	54	6	F	1	4	4	2	1	True	1.0	3	1	1	1	1a	0	1/4	True	3	True			{	False	0	f#.i{	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
1	1	66	6	F	1	4	4	1	1	True	1.25	3	1	1	1	1a	1/4	1/16	False	4	False				False	0	f#.i{	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
2	1	69	3	A	0	4	4	1	1	True	1.5	3	1	1	1	1a	1/2	1/16	False	4	False				False	0	f#.i{	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	-3	-3	-3	True	False	False
3	1	66	6	F	1	4	4	1	1	True	1.75	3	1	1	1	1a	3/4	1/16	False	4	False				False	0	f#.i{	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
4	1	73	7	C	1	4	4	1	1	True	2.0	3	1	1	1	1a	1	1/16	False	5	True				False	1	V	f#	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	6	6	6	1	1	1	True	True	True
5	1	73	7	C	1	4	4	1	1	True	2.25	3	1	1	1	1a	5/4	1/16	False	5	False				False	1	V	f#	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	6	6	6	1	1	1	True	True	True
6	1	77	11	E	1	4	4	1	1	True	2.5	3	1	1	1	1a	3/2	1/16	False	5	False				False	1	V	f#	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	6	6	6	5	5	5	True	False	False
7	1	73	7	C	1	4	4	1	1	True	2.75	3	1	1	1	1a	7/4	1/16	False	5	False				False	1	V	f#	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	6	6	6	1	1	1	True	True	True
8	1	78	6	F	1	4	4	1	1	True	3.0	3	1	1	1	1a	2	1/16	False	5	True				False	2	i	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
9	1	66	6	F	1	4	4	1	1	True	3.25	3	1	1	1	1a	9/4	1/16	False	4	False				False	2	i	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
10	1	69	3	A	0	4	4	1	1	True	3.5	3	1	1	1	1a	5/2	1/16	False	4	False				False	2	i	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	-3	-3	-3	True	False	False
11	1	66	6	F	1	4	4	1	1	True	3.75	3	1	1	1	1a	11/4	1/16	False	4	False				False	2	i	f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
12	1	73	7	C	1	4	4	1	1	True	4.0	3	1	1	1	1a	3	1/16	False	5	True				False	3	V	f#	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	6	6	6	1	1	1	True	True	True
13	1	61	7	C	1	4	4	1	1	True	4.25	3	1	1	1	1a	13/4	1/16	False	4	False				False	3	V	f#	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	6	6	6	1	1	1	True	True	True
14	1	65	11	E	1	4	4	1	1	True	4.5	3	1	1	1	1a	7/2	1/16	False	4	False				False	3	V	f#	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	6	6	6	5	5	5	True	False	False
