onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1	38	2	D	0	4	4	2	1	True	1.0	-1	1	1	1	1a	0	1/16	True	2	True			{	False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
1	1	62	2	D	0	4	4	1	1	True	1.25	-1	1	1	1	1a	1/4	1/16	False	4	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
2	1	65	-1	F	0	4	4	1	1	True	1.5	-1	1	1	1	1a	1/2	1/16	False	4	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
3	1	69	3	A	0	4	4	1	1	True	1.75	-1	1	1	1	1a	3/4	1/16	False	4	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
4	1	77	-1	F	0	4	4	1	2	True	2.0	-1	1	1	1	1a	1	1/16	False	5	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
4	4	77	-1	F	0	4	4	1	1	True	2.0	-1	1	1	1	1a	1	1/4	False	5	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
5	1	45	3	A	0	4	4	2	1	True	2.25	-1	1	1	1	1a	5/4	1/16	False	2	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
6	1	50	2	D	0	4	4	2	1	True	2.5	-1	1	1	1	1a	3/2	1/16	False	3	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
7	1	53	-1	F	0	4	4	2	1	True	2.75	-1	1	1	1	1a	7/4	1/16	False	3	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
8	4	57	3	A	0	4	4	2	1	True	3.0	-1	1	1	1	1a	2	1/4	False	3	True				False	1		V(64)		d	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	2	2	2	1	1	1	True	True	True
8	4	69	3	A	0	4	4	1	2	True	3.0	-1	1	1	1	1a	2	1/4	False	4	True				False	1		V(64)		d	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	2	2	2	1	1	1	True	True	True
8	1	77	-1	F	0	4	4	1	1	False	3.0	-1	1	1	1	1a	2	1/16	False	5	True				False	1		V(64)		d	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	2	2	2	-3	-3	-3	True	False	False
9	1	76	4	E	0	4	4	1	1	True	3.25	-1	1	1	1	1a	9/4	1/16	False	5	False				False	1		V(64)		d	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	2	2	2	2	2	2	False	False	False
10	1	77	-1	F	0	4	4	1	1	True	3.5	-1	1	1	1	1a	5/2	1/16	False	5	False				False	1		V(64)		d	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	2	2	2	-3	-3	-3	True	False	False
11	1	74	2	D	0	4	4	1	1	True	3.75	-1	1	1	1	1a	11/4	1/16	False	5	False				False	1		V(64)		d	i		V(64)	V			64		M	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(64), minor		V	2	2	2	0	0	0	True	False	False
12	4	55	1	G	0	4	4	2	1	True	4.0	-1	1	1	1	1a	3	1/4	False	3	True				False	2		#viio43		d	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	2	2	2	-1	-1	-1	True	False	True
12	4	70	-2	B	-1	4	4	1	2	True	4.0	-1	1	1	1	1a	3	1/4	False	4	True				False	2		#viio43		d	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	2	2	2	-4	-4	-4	True	False	False
12	1	76	4	E	0	4	4	1	1	True	4.0	-1	1	1	1	1a	3	1/16	False	5	True				False	2		#viio43		d	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	2	2	2	2	2	2	True	False	False
13	1	74	2	D	0	4	4	1	1	True	4.25	-1	1	1	1	1a	13/4	1/16	False	5	False				False	2		#viio43		d	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	2	2	2	0	0	0	False	False	False
14	1	76	4	E	0	4	4	1	1	True	4.5	-1	1	1	1	1a	7/2	1/16	False	5	False				False	2		#viio43		d	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	2	2	2	2	2	2	True	False	False
15	1	73	7	C	1	4	4	1	1	True	4.75	-1	1	1	1	1a	15/4	1/16	False	5	False				False	2		#viio43		d	i		#viio43	#vii	o	43			o7	True	True	(-1, -4, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio43	#viio43, minor		#viio43, minor		#vii	2	2	2	5	5	5	True	True	False
16	1	74	2	D	0	4	4	1	2	True	1.0	-1	2	2	2	2a	4	1/16	False	5	True				False	3		i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
16	3	74	2	D	0	4	4	1	1	True	1.0	-1	2	2	2	2a	4	3/16	False	5	True				False	3		i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
17	1	53	-1	F	0	4	4	1	2	True	1.25	-1	2	2	2	2a	17/4	1/16	False	3	False				False	3		i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
18	2	62	2	D	0	4	4	1	2	True	1.5	-1	2	2	2	2a	9/2	1/8	False	4	False				False	3		i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
19	1	69	3	A	0	4	4	1	1	True	1.75	-1	2	2	2	2a	19/4	1/16	False	4	False				False	3		i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	1	1	1	True	False	False
20	1	62	2	D	0	4	4	1	2	False	2.0	-1	2	2	2	2a	5	1/16	False	4	True				False	4		V64		d	i		V64	V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	2	2	2	0	0	0	False	False	False
20	3	76	4	E	0	4	4	1	1	True	2.0	-1	2	2	2	2a	5	3/16	False	5	True				False	4		V64		d	i		V64	V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	2	2	2	2	2	2	True	False	True
21	1	52	4	E	0	4	4	1	2	True	2.25	-1	2	2	2	2a	21/4	1/16	False	3	False				False	4		V64		d	i		V64	V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	2	2	2	2	2	2	True	False	True
22	2	61	7	C	1	4	4	1	2	True	2.5	-1	2	2	2	2a	11/2	1/8	False	4	False				False	4		V64		d	i		V64	V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	2	2	2	5	5	5	True	False	False
23	1	69	3	A	0	4	4	1	1	True	2.75	-1	2	2	2	2a	23/4	1/16	False	4	False				False	4		V64		d	i		V64	V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor		V64, minor		V	2	2	2	1	1	1	True	True	False
24	2	50	2	D	0	4	4	2	1	True	3.0	-1	2	2	2	2a	6	1/8	False	3	True				False	5		i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
24	1	77	-1	F	0	4	4	1	2	True	3.0	-1	2	2	2	2a	6	1/16	False	5	True				False	5		i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
24	3	77	-1	F	0	4	4	1	1	True	3.0	-1	2	2	2	2a	6	3/16	False	5	True				False	5		i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
25	1	69	3	A	0	4	4	1	2	True	3.25	-1	2	2	2	2a	25/4	1/16	False	4	False				False	5		i		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
26	2	67	1	G	0	4	4	2	1	True	3.5	-1	2	2	2	2a	13/2	1/8	False	4	True				False	6		iio6		d	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	2	2	2	-1	-1	-1	True	False	True
26	2	70	-2	B	-1	4	4	1	2	True	3.5	-1	2	2	2	2a	13/2	1/8	False	4	True				False	6		iio6		d	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	2	2	2	-4	-4	-4	True	False	False
27	1	76	4	E	0	4	4	1	1	True	3.75	-1	2	2	2	2a	27/4	1/16	False	5	False				False	6		iio6		d	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	2	2	2	2	2	2	True	True	False
28	2	65	-1	F	0	4	4	2	1	True	4.0	-1	2	2	2	2a	7	1/8	False	4	True				False	7		i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
28	1	74	2	D	0	4	4	1	2	True	4.0	-1	2	2	2	2a	7	1/16	False	5	True				False	7		i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
