onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	50	2	D	0	3	4	2	2	True	1.0	-1	1	1	1	1a	0	1/4	True	3	True			{	False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
0	4	53	-1	F	0	3	4	2	1	True	1.0	-1	1	1	1	1a	0	1/4	True	3	True			{	False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
0	4	74	2	D	0	3	4	1	2	True	1.0	-1	1	1	1	1a	0	1/4	True	5	True			{	False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
4	4	50	2	D	0	3	4	2	2	True	2.0	-1	1	1	1	1a	1	1/4	False	3	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
4	4	69	3	A	0	3	4	1	2	True	2.0	-1	1	1	1	1a	1	1/4	False	4	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
7	1	53	-1	F	0	3	4	2	1	True	2.75	-1	1	1	1	1a	7/4	1/16	False	3	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
7	1	77	-1	F	0	3	4	1	1	True	2.75	-1	1	1	1	1a	7/4	1/16	False	5	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
8	4	43	1	G	0	3	4	2	2	True	3.0	-1	1	1	1	1a	2	1/4	False	2	True				False	1		iio6		d	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	2	2	2	-1	-1	-1	True	False	True
8	4	70	-2	B	-1	3	4	1	2	True	3.0	-1	1	1	1	1a	2	1/4	False	4	True				False	1		iio6		d	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	2	2	2	-4	-4	-4	True	False	False
8	3	76	4	E	0	3	4	1	1	True	3.0	-1	1	1	1	1a	2	3/16	False	5	True				False	1		iio6		d	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	2	2	2	2	2	2	True	True	False
11	1	55	1	G	0	3	4	2	1	True	3.75	-1	1	1	1	1a	11/4	1/16	False	3	False				False	1		iio6		d	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	2	2	2	-1	-1	-1	True	False	True
11	1	74	2	D	0	3	4	1	1	True	3.75	-1	1	1	1	1a	11/4	1/16	False	5	False				False	1		iio6		d	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	2	2	2	0	0	0	False	False	False
12	8	45	3	A	0	3	4	2	2	True	1.0	-1	2	2	2	2a	3	1/2	False	2	True				False	2		V7(9)		d	i		V7(9)	V		7	9		Mm7	True	True	(1, 5, 2, -1)	(-4,)	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7(9), minor		V	2	2	2	1	1	1	True	True	True
12	3	55	1	G	0	3	4	2	1	False	1.0	-1	2	2	2	2a	3	3/16	False	3	True				False	2		V7(9)		d	i		V7(9)	V		7	9		Mm7	True	True	(1, 5, 2, -1)	(-4,)	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7(9), minor		V	2	2	2	-1	-1	-1	True	False	False
12	3	70	-2	B	-1	3	4	1	2	False	1.0	-1	2	2	2	2a	3	3/16	False	4	True				False	2		V7(9)		d	i		V7(9)	V		7	9		Mm7	True	True	(1, 5, 2, -1)	(-4,)	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7(9), minor		V	2	2	2	-4	-4	-4	False	False	False
12	4	73	7	C	1	3	4	1	1	True	1.0	-1	2	2	2	2a	3	1/4	False	5	True				False	2		V7(9)		d	i		V7(9)	V		7	9		Mm7	True	True	(1, 5, 2, -1)	(-4,)	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7(9), minor		V	2	2	2	5	5	5	True	False	False
15	1	55	1	G	0	3	4	2	1	True	1.75	-1	2	2	2	2a	15/4	1/16	False	3	False				False	2		V7(9)		d	i		V7(9)	V		7	9		Mm7	True	True	(1, 5, 2, -1)	(-4,)	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7(9), minor		V	2	2	2	-1	-1	-1	True	False	False
15	1	70	-2	B	-1	3	4	1	2	True	1.75	-1	2	2	2	2a	15/4	1/16	False	4	False				False	2		V7(9)		d	i		V7(9)	V		7	9		Mm7	True	True	(1, 5, 2, -1)	(-4,)	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7(9), minor		V	2	2	2	-4	-4	-4	False	False	False
16	3	53	-1	F	0	3	4	2	1	True	2.0	-1	2	2	2	2a	4	3/16	False	3	True				False	3		V(6)		d	i		V(6)	V			6		M	True	True	(1, 5, -3)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(6), minor		V	2	2	2	-3	-3	-3	True	False	False
