onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	48	0	C	0	12	8	1	1	True	1.0	-3	1	1	1	1a	0	1/8	True	3	True			{	False	0		c.i{	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
4	2	72	0	C	0	12	8	1	1	True	1.333	-3	1	1	1	1a	1/2	1/16	False	5	False				False	0		c.i{	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
6	2	74	2	D	0	12	8	1	1	True	1.5	-3	1	1	1	1a	3/4	1/16	False	5	False				False	0		c.i{	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	2	2	2	False	False	False
8	2	75	-3	E	-1	12	8	1	1	True	1.667	-3	1	1	1	1a	1	1/16	False	5	False				False	0		c.i{	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	-3	-3	-3	True	False	False
10	1	77	-1	F	0	12	8	1	1	True	1.833	-3	1	1	1	1a	5/4	1/32	False	5	False				False	0		c.i{	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	-1	-1	-1	False	False	False
11	1	79	1	G	0	12	8	1	1	True	1.917	-3	1	1	1	1a	11/8	1/32	False	5	False				False	0		c.i{	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
12	4	80	-4	A	-1	12	8	1	1	True	2.0	-3	1	1	1	1a	3/2	1/8	False	5	True				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	-4	-4	-4	False	False	False
16	4	79	1	G	0	12	8	1	1	True	2.333	-3	1	1	1	1a	2	1/8	False	5	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	1	1	1	True	True	True
20	4	74	2	D	0	12	8	1	1	True	2.667	-3	1	1	1	1a	5/2	1/8	False	5	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	2	2	2	True	False	False
24	4	75	-3	E	-1	12	8	1	1	True	3.0	-3	1	1	1	1a	3	1/8	False	5	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	-3	-3	-3	False	False	False
28	4	74	2	D	0	12	8	1	1	True	3.333	-3	1	1	1	1a	7/2	1/8	False	5	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	2	2	2	True	False	False
32	4	67	1	G	0	12	8	1	1	True	3.667	-3	1	1	1	1a	4	1/8	False	4	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	1	1	1	True	True	True
36	4	68	-4	A	-1	12	8	1	1	True	4.0	-3	1	1	1	1a	9/2	1/8	False	4	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	-4	-4	-4	False	False	False
40	4	67	1	G	0	12	8	1	1	True	4.333	-3	1	1	1	1a	5	1/8	False	4	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	1	1	1	True	True	True
44	4	62	2	D	0	12	8	1	1	True	4.667	-3	1	1	1	1a	11/2	1/8	False	4	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	2	2	2	True	False	False
48	4	63	-3	E	-1	12	8	1	1	True	1.0	-3	2	2	2	2a	6	1/8	False	4	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	-3	-3	-3	False	False	False
52	4	62	2	D	0	12	8	1	1	True	1.333	-3	2	2	2	2a	13/2	1/8	False	4	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	2	2	2	True	False	False
56	4	55	1	G	0	12	8	1	1	True	1.667	-3	2	2	2	2a	7	1/8	False	3	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	1	1	1	True	True	True
60	4	56	-4	A	-1	12	8	2	1	True	2.0	-3	2	2	2	2a	15/2	1/8	False	3	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	-4	-4	-4	False	False	False
64	4	55	1	G	0	12	8	2	1	True	2.333	-3	2	2	2	2a	8	1/8	False	3	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	1	1	1	True	True	True
68	4	43	1	G	0	12	8	2	1	True	2.667	-3	2	2	2	2a	17/2	1/8	False	2	False				False	1		V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	1	1	1	True	True	True
