onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	1	81	3	A	0	12	8	1	1	True	1.0	0	1	1	1	1a	0	1/8	True	5	True			{	False	0		a.i{		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
1	1	76	4	E	0	12	8	1	1	True	1.333	0	1	1	1	1a	1/2	1/8	False	5	False				False	0		a.i{		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	1	1	1	True	False	False
2	1	72	0	C	0	12	8	1	1	True	1.667	0	1	1	1	1a	1	1/8	False	5	False				False	0		a.i{		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	-3	-3	-3	True	False	False
3	1	69	3	A	0	12	8	1	1	True	2.0	0	1	1	1	1a	3/2	1/8	False	4	False				False	0		a.i{		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
4	1	71	5	B	0	12	8	1	1	True	2.333	0	1	1	1	1a	2	1/8	False	4	True				False	1		#viio6		a	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	3	3	3	2	2	2	True	False	True
5	1	80	8	G	1	12	8	1	1	True	2.667	0	1	1	1	1a	5/2	1/8	False	5	False				False	1		#viio6		a	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	3	3	3	5	5	5	True	True	False
6	1	81	3	A	0	12	8	1	1	True	3.0	0	1	1	1	1a	3	1/8	False	5	True				False	2		i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
7	1	76	4	E	0	12	8	1	1	True	3.333	0	1	1	1	1a	7/2	1/8	False	5	False				False	2		i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	1	1	1	True	False	False
8	1	72	0	C	0	12	8	1	1	True	3.667	0	1	1	1	1a	4	1/8	False	5	False				False	2		i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	-3	-3	-3	True	False	False
9	1	69	3	A	0	12	8	1	1	True	4.0	0	1	1	1	1a	9/2	1/8	False	4	False				False	2		i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
10	1	71	5	B	0	12	8	1	1	True	4.333	0	1	1	1	1a	5	1/8	False	4	True				False	3		#viio6		a	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	3	3	3	2	2	2	True	False	True
11	1	80	8	G	1	12	8	1	1	True	4.667	0	1	1	1	1a	11/2	1/8	False	5	False				False	3		#viio6		a	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	3	3	3	5	5	5	True	True	False
12	1	81	3	A	0	12	8	1	1	True	1.0	0	2	2	2	2a	6	1/8	False	5	True			}	True	4		i}		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
13	1	76	4	E	0	12	8	1	1	True	1.333	0	2	2	2	2a	13/2	1/8	False	5	False				False	4		i}		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	1	1	1	True	False	False
14	1	72	0	C	0	12	8	1	1	True	1.667	0	2	2	2	2a	7	1/8	False	5	False				False	4		i}		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	-3	-3	-3	True	False	False
15	1	69	3	A	0	12	8	1	1	True	2.0	0	2	2	2	2a	15/2	1/8	False	4	False				False	4		i}		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
16	1	71	5	B	0	12	8	1	1	True	2.333	0	2	2	2	2a	8	1/8	False	4	True				False	5		#viio6		a	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	3	3	3	2	2	2	True	False	True
17	1	74	2	D	0	12	8	1	1	True	2.667	0	2	2	2	2a	17/2	1/8	False	5	False				False	5		#viio6		a	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	3	3	3	-1	-1	-1	True	False	False
18	2	72	0	C	0	12	8	1	1	True	3.0	0	2	2	2	2a	9	1/4	False	5	True				False	6		i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	-3	-3	-3	True	False	False
20	1	71	5	B	0	12	8	1	1	True	3.667	0	2	2	2	2a	10	1/8	False	4	False				False	6		i		a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	2	2	2	False	False	False
