onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	66	6	F	1	2	4	1	1	True	1.0	3	1	1	1	1a	0	1/16	True	4	True			{	False	0	f#.i{		f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
2	2	69	3	A	0	2	4	1	1	True	1.25	3	1	1	1	1a	1/4	1/16	False	4	False				False	0	f#.i{		f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	-3	-3	-3	True	False	False
4	2	68	8	G	1	2	4	1	1	True	1.5	3	1	1	1	1a	1/2	1/16	False	4	False				False	0	f#.i{		f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	2	2	2	False	False	False
6	2	69	3	A	0	2	4	1	1	True	1.75	3	1	1	1	1a	3/4	1/16	False	4	False				False	0	f#.i{		f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	-3	-3	-3	True	False	False
8	2	66	6	F	1	2	4	1	1	True	2.0	3	1	1	1	1a	1	1/16	False	4	False				False	0	f#.i{		f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
10	2	61	7	C	1	2	4	1	1	True	2.25	3	1	1	1	1a	5/4	1/16	False	4	False				False	0	f#.i{		f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	1	1	1	True	False	False
12	2	71	5	B	0	2	4	1	1	True	2.5	3	1	1	1	1a	3/2	1/16	False	4	True				False	1	iio		f#	i		iio	ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	6	6	6	-1	-1	-1	True	False	False
14	2	68	8	G	1	2	4	1	1	True	2.75	3	1	1	1	1a	7/4	1/16	False	4	False				False	1	iio		f#	i		iio	ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	6	6	6	2	2	2	True	True	True
16	2	69	3	A	0	2	4	1	1	True	1.0	3	2	2	2	2a	2	1/16	False	4	True				False	2	i		f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	-3	-3	-3	True	False	False
18	2	66	6	F	1	2	4	1	1	True	1.25	3	2	2	2	2a	9/4	1/16	False	4	False				False	2	i		f#	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	6	6	6	0	0	0	True	True	True
