onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	60	0	C	0	3	4	2	1	True	1.0	-3	1	1	1	1a	0	1/2	True	4	True			{	False	0	c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
0	4	63	-3	E	-1	3	4	2	1	True	1.0	-3	1	1	1	1a	0	1/2	True	4	True			{	False	0	c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	-3	-3	-3	True	False	False
0	1	72	0	C	0	3	4	1	1	True	1.0	-3	1	1	1	1a	0	1/8	True	5	True			{	False	0	c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
1	1	79	1	G	0	3	4	1	1	True	1.5	-3	1	1	1	1a	1/2	1/8	False	5	False				False	0	c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
2	2	72	0	C	0	3	4	1	1	True	2.0	-3	1	1	1	1a	1	1/4	False	5	False				False	0	c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
4	2	62	2	D	0	3	4	2	1	True	3.0	-3	1	1	1	1a	2	1/4	False	4	True				False	1	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	2	2	2	True	False	True
4	2	65	-1	F	0	3	4	2	1	True	3.0	-3	1	1	1	1a	2	1/4	False	4	True				False	1	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	-1	-1	-1	True	False	False
4	2	71	5	B	0	3	4	1	1	True	3.0	-3	1	1	1	1a	2	1/4	False	4	True				False	1	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	5	5	5	True	True	False
6	4	63	-3	E	-1	3	4	2	1	True	1.0	-3	2	2	2	2a	3	1/2	False	4	True				False	2	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	-3	-3	-3	True	False	True
6	4	67	1	G	0	3	4	2	1	True	1.0	-3	2	2	2	2a	3	1/2	False	4	True				False	2	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	1	1	1	True	False	False
6	1	72	0	C	0	3	4	1	1	True	1.0	-3	2	2	2	2a	3	1/8	False	5	True				False	2	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	0	0	0	True	True	False
7	1	80	-4	A	-1	3	4	1	1	True	1.5	-3	2	2	2	2a	7/2	1/8	False	5	False				False	2	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	-4	-4	-4	False	False	False
8	2	72	0	C	0	3	4	1	1	True	2.0	-3	2	2	2	2a	4	1/4	False	5	False				False	2	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	0	0	0	True	True	False
10	2	62	2	D	0	3	4	2	1	True	3.0	-3	2	2	2	2a	5	1/4	False	4	True				False	3	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	2	2	2	True	False	True
10	2	65	-1	F	0	3	4	2	1	True	3.0	-3	2	2	2	2a	5	1/4	False	4	True				False	3	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	-1	-1	-1	True	False	False
10	2	71	5	B	0	3	4	1	1	True	3.0	-3	2	2	2	2a	5	1/4	False	4	True				False	3	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	5	5	5	True	True	False
12	4	60	0	C	0	3	4	2	1	True	1.0	-3	3	3	3	3a	6	1/2	False	4	True				False	4	i	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
12	4	63	-3	E	-1	3	4	2	1	True	1.0	-3	3	3	3	3a	6	1/2	False	4	True				False	4	i	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	-3	-3	-3	True	False	False
12	1	72	0	C	0	3	4	1	1	True	1.0	-3	3	3	3	3a	6	1/8	False	5	True				False	4	i	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
13	1	79	1	G	0	3	4	1	1	True	1.5	-3	3	3	3	3a	13/2	1/8	False	5	False				False	4	i	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
14	2	72	0	C	0	3	4	1	1	True	2.0	-3	3	3	3	3a	7	1/4	False	5	False				False	4	i	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
16	2	62	2	D	0	3	4	2	1	True	3.0	-3	3	3	3	3a	8	1/4	False	4	True				False	5	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	2	2	2	True	False	True
16	2	65	-1	F	0	3	4	2	1	True	3.0	-3	3	3	3	3a	8	1/4	False	4	True				False	5	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	-1	-1	-1	True	False	False
16	2	71	5	B	0	3	4	1	1	True	3.0	-3	3	3	3	3a	8	1/4	False	4	True				False	5	#viio6	c	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	0	0	0	5	5	5	True	True	False
18	2	63	-3	E	-1	3	4	2	1	True	1.0	-3	4	4	4	4a	9	1/4	False	4	True				False	6	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	-3	-3	-3	True	False	True
18	2	67	1	G	0	3	4	2	1	True	1.0	-3	4	4	4	4a	9	1/4	False	4	True				False	6	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	1	1	1	True	False	False
18	1	72	0	C	0	3	4	1	1	True	1.0	-3	4	4	4	4a	9	1/8	False	5	True				False	6	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	0	0	0	True	True	False
19	1	80	-4	A	-1	3	4	1	1	True	1.5	-3	4	4	4	4a	19/2	1/8	False	5	False				False	6	i6(+6)	c	i		i6(+6)	i		6	+6		m	True	True	(-3, 1, 0)	(-4,)	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6(+6), minor		i	0	0	0	-4	-4	-4	False	False	False
20	2	62	2	D	0	3	4	2	1	True	2.0	-3	4	4	4	4a	10	1/4	False	4	True				False	7	V43	c	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	0	0	0	2	2	2	True	False	True
20	2	65	-1	F	0	3	4	2	1	True	2.0	-3	4	4	4	4a	10	1/4	False	4	True				False	7	V43	c	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	0	0	0	-1	-1	-1	True	False	False
