onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	50	2	D	0	4	4	2	2	True	1.0	-1	1	1	1	1a	0	1/8	True	3	True			{	False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
0	6	62	2	D	0	4	4	2	1	True	1.0	-1	1	1	1	1a	0	3/8	True	4	True			{	False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
0	6	65	-1	F	0	4	4	1	1	True	1.0	-1	1	1	1	1a	0	3/8	True	4	True			{	False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
0	6	74	2	D	0	4	4	1	1	True	1.0	-1	1	1	1	1a	0	3/8	True	5	True			{	False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
2	2	58	-2	B	-1	4	4	2	2	True	1.5	-1	1	1	1	1a	1/2	1/8	False	3	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-4	-4	-4	False	False	False
4	2	57	3	A	0	4	4	2	2	True	2.0	-1	1	1	1	1a	1	1/8	False	3	False				False	0		d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
6	2	55	1	G	0	4	4	2	2	True	2.5	-1	1	1	1	1a	3/2	1/8	False	3	True				False	1		#viio64		d	i		#viio64	#vii	o	64			o	True	True	(-1, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio64	#viio64, minor		#viio64, minor		#vii	2	2	2	-1	-1	-1	True	False	True
6	2	67	1	G	0	4	4	1	1	True	2.5	-1	1	1	1	1a	3/2	1/8	False	4	True				False	1		#viio64		d	i		#viio64	#vii	o	64			o	True	True	(-1, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio64	#viio64, minor		#viio64, minor		#vii	2	2	2	-1	-1	-1	True	False	True
6	2	73	7	C	1	4	4	1	1	True	2.5	-1	1	1	1	1a	3/2	1/8	False	5	True				False	1		#viio64		d	i		#viio64	#vii	o	64			o	True	True	(-1, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio64	#viio64, minor		#viio64, minor		#vii	2	2	2	5	5	5	True	True	False
6	2	76	4	E	0	4	4	1	1	True	2.5	-1	1	1	1	1a	3/2	1/8	False	5	True				False	1		#viio64		d	i		#viio64	#vii	o	64			o	True	True	(-1, 5, 2)	()	5	-1	minor	minor	i	i, minor	#vii		i	i	True	#viio64	#viio64, minor		#viio64, minor		#vii	2	2	2	2	2	2	True	False	False
