onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
2.0	4.0	0.25	52	4	E	0.0	1.25	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	1/4	False	False				False																																										
2.0	4.0	0.25	57	3	A	0.0	1.25	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	1/4	False	False				False																																										
2.0	4.0	0.25	61	7	C	1.0	1.25	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	1/4	False	False				False																																										
2.0	4.0	0.25	64	4	E	0.0	1.25	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	1/4	False	False				False																																										
6.0	4.0	0.75	52	4	E	0.0	1.75	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	3/4	False	False				False																																										
6.0	4.0	0.75	57	3	A	0.0	1.75	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	3/4	False	False				False																																										
6.0	4.0	0.75	61	7	C	1.0	1.75	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	3/4	False	False				False																																										
6.0	4.0	0.75	64	4	E	0.0	1.75	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	3/4	False	False				False																																										
10.0	4.0	1.25	52	4	E	0.0	2.25	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	5/4	False	False				False																																										
10.0	4.0	1.25	57	3	A	0.0	2.25	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	5/4	False	False				False																																										
10.0	4.0	1.25	61	7	C	1.0	2.25	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	5/4	False	False				False																																										
10.0	4.0	1.25	64	4	E	0.0	2.25	0	2	4	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	5/4	False	False				False																																										
12.0	4.0	1.5	76	4	E	0.0	2.5	0	2	4	1.0	1.0	1/8	True		1.0	1.0	1.0	1a	5	3/2	False	False				False																																										
14.0	2.0	1.75	52	4	E	0.0	2.75	0	2	4	3.0	1.0	1/16	True		1.0	1.0	1.0	1a	3	7/4	False	False				False																																										
14.0	2.0	1.75	57	3	A	0.0	2.75	0	2	4	3.0	1.0	1/16	True		1.0	1.0	1.0	1a	3	7/4	False	False				False																																										
14.0	2.0	1.75	61	7	C	1.0	2.75	0	2	4	3.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	7/4	False	False				False																																										
14.0	2.0	1.75	64	4	E	0.0	2.75	0	2	4	3.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	7/4	False	False				False																																										
16.0	2.0	2.0	45	3	A	0.0	1.0	1	2	4	3.0	1.0	1/16	True	3	2.0	2.0	2.0	2a	2	2	False	True				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	0	0	0	True	True	True
16.0	6.0	2.0	74	2	D	0.0	1.0	1	2	4	1.0	1.0	3/16	True	3	2.0	2.0	2.0	2a	5	2	False	True				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	-1	-1	-1	True	False	False
18.0	4.0	2.25	52	4	E	0.0	1.25	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	3	9/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	1	1	1	True	False	False
18.0	4.0	2.25	57	3	A	0.0	1.25	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	3	9/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	0	0	0	True	True	True
18.0	4.0	2.25	61	7	C	1.0	1.25	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	4	9/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	4	4	4	False	False	False
18.0	4.0	2.25	64	4	E	0.0	1.25	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	4	9/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	1	1	1	True	False	False
22.0	4.0	2.75	52	4	E	0.0	1.75	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	3	11/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	1	1	1	True	False	False
22.0	4.0	2.75	57	3	A	0.0	1.75	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	3	11/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	0	0	0	True	True	True
22.0	4.0	2.75	61	7	C	1.0	1.75	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	4	11/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	4	4	4	False	False	False
22.0	4.0	2.75	64	4	E	0.0	1.75	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	4	11/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	1	1	1	True	False	False
22.0	2.0	2.75	73	7	C	1.0	1.75	0	2	4	1.0	1.0	1/16	True	3	2.0	2.0	2.0	2a	5	11/4	False	False				False	1	I[I(4)	A	I	I	I(4)	I			4		M	False	False	(0, -1, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I(4), major		I	3	3	3	4	4	4	False	False	False
24.0	4.0	3.0	71	5	B	0.0	2.0	2	2	4	1.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	4	3	False	True				False	2	#viio43(2)/ii	A	I	I	#viio43(2)/ii	#vii	o	43	2	ii	o7	False	False	(1, -2, 2, 4)	()	7	1	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio43/ii	#viio43/ii, major	I	#viio43(2)/ii, major	ii	ii	3	3	5	2	2	0	True	False	False
26.0	4.0	3.25	52	4	E	0.0	2.25	0	2	4	3.0	1.0	1/8	True	3	2.0	2.0	2.0	2a	3	13/4	False	False				False	2	#viio43(2)/ii	A	I	I	#viio43(2)/ii	#vii	o	43	2	ii	o7	False	False	(1, -2, 2, 4)	()	7	1	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio43/ii	#viio43/ii, major	I	#viio43(2)/ii, major	ii	ii	3	3	5	1	1	-1	True	False	True
