onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
2.0	2.0	0.5	67	1	G	0.0	1.5	0	4	4	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	1/2	False	False				False																																											
4.0	2.0	1.0	64	4	E	0.0	2.0	2	4	4	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	1	False	False				False																																											
6.0	2.0	1.5	62	2	D	0.0	2.5	0	4	4	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	3/2	False	False				False																																											
8.0	2.0	2.0	61	7	C	1.0	3.0	3	4	4	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	2	False	True				False	1	viio/VII	e	i		viio/VII		vii	o			VII	o	True	True	(3, 0, -3)	()	3	3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio/VII	viio/VII, minor		viio/VII, minor	VII	VII	4	4	2	3	3	5	True	True	True
10.0	2.0	2.5	64	4	E	0.0	3.5	0	4	4	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	5/2	False	False				False	1	viio/VII	e	i		viio/VII		vii	o			VII	o	True	True	(3, 0, -3)	()	3	3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio/VII	viio/VII, minor		viio/VII, minor	VII	VII	4	4	2	0	0	2	True	False	False
12.0	2.0	3.0	67	1	G	0.0	4.0	4	4	4	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	3	False	True				False	2	viio64/VII	e	i		viio64/VII		vii	o	64		VII	o	True	True	(-3, 3, 0)	()	3	-3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio64/VII	viio64/VII, minor		viio64/VII, minor	VII	VII	4	4	2	-3	-3	-1	True	False	True
12.0	4.0	3.0	67	1	G	0.0	4.0	4	4	4	2.0	2.0	1/4	True		1.0	1.0	1.0	1a	4	3	False	True				False	2	viio64/VII	e	i		viio64/VII		vii	o	64		VII	o	True	True	(-3, 3, 0)	()	3	-3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio64/VII	viio64/VII, minor		viio64/VII, minor	VII	VII	4	4	2	-3	-3	-1	True	False	True
14.0	2.0	3.5	73	7	C	1.0	4.5	0	4	4	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	5	7/2	False	False				False	2	viio64/VII	e	i		viio64/VII		vii	o	64		VII	o	True	True	(-3, 3, 0)	()	3	-3	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio64/VII	viio64/VII, minor		viio64/VII, minor	VII	VII	4	4	2	3	3	5	True	True	False
16.0	2.0	4.0	67	1	G	0.0	1.0	1	4	4	2.0	2.0	1/8	False	1	2.0	2.0	2.0	2a	4	4	False	True				False	3	VII6	e	i		VII6		VII		6			M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6, minor		VII	4	4	4	-3	-3	-3	False	False	False
16.0	6.0	4.0	74	2	D	0.0	1.0	1	4	4	2.0	1.0	3/8	True	1	2.0	2.0	2.0	2a	5	4	False	True				False	3	VII6	e	i		VII6		VII		6			M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6, minor		VII	4	4	4	-2	-2	-2	True	True	False
18.0	2.0	4.5	66	6	F	1.0	1.5	0	4	4	2.0	2.0	1/8	True	1	2.0	2.0	2.0	2a	4	9/2	False	False				False	3	VII6	e	i		VII6		VII		6			M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6, minor		VII	4	4	4	2	2	2	True	False	True
20.0	4.0	5.0	64	4	E	0.0	2.0	2	4	4	2.0	2.0	1/4	True	1	2.0	2.0	2.0	2a	4	5	False	True				False	4	viio6/VII	e	i		viio6/VII		vii	o	6		VII	o	True	True	(0, -3, 3)	()	3	0	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio6/VII	viio6/VII, minor		viio6/VII, minor	VII	VII	4	4	2	0	0	2	True	False	True
22.0	2.0	5.5	73	7	C	1.0	2.5	0	4	4	2.0	1.0	1/8	True	1	2.0	2.0	2.0	2a	5	11/2	False	False				False	4	viio6/VII	e	i		viio6/VII		vii	o	6		VII	o	True	True	(0, -3, 3)	()	3	0	minor	minor	i	i, minor	vii/VII	VII	VII/i	VII	False	viio6/VII	viio6/VII, minor		viio6/VII, minor	VII	VII	4	4	2	3	3	5	True	True	False
24.0	2.0	6.0	64	4	E	0.0	3.0	3	4	4	2.0	2.0	1/8	False	1	2.0	2.0	2.0	2a	4	6	False	True				False	5	v6	e	i		v6		v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	0	0	0	False	False	False
24.0	6.0	6.0	71	5	B	0.0	3.0	3	4	4	2.0	1.0	3/8	True	1	2.0	2.0	2.0	2a	4	6	False	True				False	5	v6	e	i		v6		v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	1	1	1	True	True	False
26.0	2.0	6.5	62	2	D	0.0	3.5	0	4	4	2.0	2.0	1/8	True	1	2.0	2.0	2.0	2a	4	13/2	False	False				False	5	v6	e	i		v6		v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	-2	-2	-2	True	False	True
28.0	4.0	7.0	60	0	C	0.0	4.0	4	4	4	2.0	2.0	1/4	True	1	2.0	2.0	2.0	2a	4	7	False	True				False	6	iv6	e	i		iv6		iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	4	4	4	-4	-4	-4	True	False	True
30.0	2.0	7.5	69	3	A	0.0	4.5	0	4	4	2.0	1.0	1/8	True	1	2.0	2.0	2.0	2a	4	15/2	False	False				False	6	iv6	e	i		iv6		iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	4	4	4	-1	-1	-1	True	True	False
32.0	2.0	8.0	59	5	B	0.0	1.0	1	4	4	2.0	2.0	1/8	True	1	3.0	3.0	3.0	3a	3	8	False	True				False	7	#viio65/iv	e	i		#viio65/iv		#vii	o	65		iv	o7	True	True	(1, -2, -5, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio65/iv	#viio65/iv, minor		#viio65/iv, minor	iv	iv	4	4	3	1	1	2	True	False	True
32.0	2.0	8.0	68	8	G	1.0	1.0	1	4	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	8	False	True				False	7	#viio65/iv	e	i		#viio65/iv		#vii	o	65		iv	o7	True	True	(1, -2, -5, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio65/iv	#viio65/iv, minor		#viio65/iv, minor	iv	iv	4	4	3	4	4	5	True	True	False
34.0	2.0	8.5	65	-1	F	0.0	1.5	0	4	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	17/2	False	False				False	7	#viio65/iv	e	i		#viio65/iv		#vii	o	65		iv	o7	True	True	(1, -2, -5, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio65/iv	#viio65/iv, minor		#viio65/iv, minor	iv	iv	4	4	3	-5	-5	-4	True	False	False
36.0	2.0	9.0	62	2	D	0.0	2.0	2	4	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	9	False	False				False	7	#viio65/iv	e	i		#viio65/iv		#vii	o	65		iv	o7	True	True	(1, -2, -5, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio65/iv	#viio65/iv, minor		#viio65/iv, minor	iv	iv	4	4	3	-2	-2	-1	True	False	False
38.0	2.0	9.5	60	0	C	0.0	2.5	0	4	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	19/2	False	False				False	7	#viio65/iv	e	i		#viio65/iv		#vii	o	65		iv	o7	True	True	(1, -2, -5, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio65/iv	#viio65/iv, minor		#viio65/iv, minor	iv	iv	4	4	3	-4	-4	-3	False	False	False
40.0	2.0	10.0	59	5	B	0.0	3.0	3	4	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	3	10	False	True				False	8	viio/VI	e	i		viio/VI		vii	o			VI	o	True	True	(1, -2, -5)	()	1	1	minor	minor	i	i, minor	vii/VI	VI	VI/i	VI	False	viio/VI	viio/VI, minor		viio/VI, minor	VI	VI	4	4	0	1	1	5	True	True	True
42.0	2.0	10.5	62	2	D	0.0	3.5	0	4	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	21/2	False	False				False	8	viio/VI	e	i		viio/VI		vii	o			VI	o	True	True	(1, -2, -5)	()	1	1	minor	minor	i	i, minor	vii/VI	VI	VI/i	VI	False	viio/VI	viio/VI, minor		viio/VI, minor	VI	VI	4	4	0	-2	-2	2	True	False	False
44.0	2.0	11.0	65	-1	F	0.0	4.0	4	4	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	11	False	True				False	9	viio64/VI	e	i		viio64/VI		vii	o	64		VI	o	True	True	(-5, 1, -2)	()	1	-5	minor	minor	i	i, minor	vii/VI	VI	VI/i	VI	False	viio64/VI	viio64/VI, minor		viio64/VI, minor	VI	VI	4	4	0	-5	-5	-1	True	False	True
44.0	4.0	11.0	65	-1	F	0.0	4.0	4	4	4	2.0	2.0	1/4	True	1	3.0	3.0	3.0	3a	4	11	False	True				False	9	viio64/VI	e	i		viio64/VI		vii	o	64		VI	o	True	True	(-5, 1, -2)	()	1	-5	minor	minor	i	i, minor	vii/VI	VI	VI/i	VI	False	viio64/VI	viio64/VI, minor		viio64/VI, minor	VI	VI	4	4	0	-5	-5	-1	True	False	True
