onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	48	55	1	G	0	3	4	2	1	True	2.5	-2	1	0	1	0a	0	1/8	True	3	True				False	0	g.i		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
0	48	58	-2	B	-1	3	4	2	1	True	2.5	-2	1	0	1	0a	0	1/8	True	3	True				False	0	g.i		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
0	48	70	-2	B	-1	3	4	1	1	True	2.5	-2	1	0	1	0a	0	1/8	True	4	True				False	0	g.i		g	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
48	48	57	3	A	0	3	4	2	1	True	3.0	-2	1	0	1	0a	1/2	1/8	False	3	True				False	1	iio	#viio6	g	i		iio		ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	1	1	1	2	2	2	True	True	True
48	48	60	0	C	0	3	4	2	1	True	3.0	-2	1	0	1	0a	1/2	1/8	False	4	True				False	1	iio	#viio6	g	i		iio		ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	1	1	1	-1	-1	-1	True	False	False
48	48	69	3	A	0	3	4	1	1	True	3.0	-2	1	0	1	0a	1/2	1/8	False	4	True				False	1	iio	#viio6	g	i		iio		ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	1	1	1	2	2	2	True	True	True
96	48	58	-2	B	-1	3	4	2	1	True	3.5	-2	1	0	1	0a	1	1/8	False	3	True				False	2	i6		g	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-3	-3	-3	True	False	True
96	48	62	2	D	0	3	4	2	1	True	3.5	-2	1	0	1	0a	1	1/8	False	4	True				False	2	i6		g	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	1	1	1	True	False	False
96	48	67	1	G	0	3	4	1	1	True	3.5	-2	1	0	1	0a	1	1/8	False	4	True				False	2	i6		g	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
144	96	55	1	G	0	3	4	2	1	True	1.0	-2	2	1	2	1a	3/2	1/4	False	3	True				False	3	i(#764)		g	i		i(#764)		i			#764		m	True	True	(0, -1, -4)	(5,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(#764), minor		i	1	1	1	0	0	0	True	True	True
