onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	6	70	-2	B	-1	2	4	1	2	True	2.0	-3	1	0	1	0a	0	1/16	True	4	True				False	0	Eb.I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	1	1	1	True	False	False
0	12	79	1	G	0	2	4	1	1	True	2.0	-3	1	0	1	0a	0	1/8	True	5	True				False	0	Eb.I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	4	4	4	True	False	True
6	6	67	1	G	0	2	4	1	2	True	2.25	-3	1	0	1	0a	1/4	1/16	False	4	False				False	0	Eb.I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	4	4	4	True	False	True
12	6	70	-2	B	-1	2	4	1	2	True	2.5	-3	1	0	1	0a	1/2	1/16	False	4	False				False	0	Eb.I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	1	1	1	True	False	False
12	12	79	1	G	0	2	4	1	1	True	2.5	-3	1	0	1	0a	1/2	1/8	False	5	False				False	0	Eb.I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	4	4	4	True	False	True
18	6	67	1	G	0	2	4	1	2	True	2.75	-3	1	0	1	0a	3/4	1/16	False	4	False				False	0	Eb.I6		Eb	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-3	-3	-3	4	4	4	True	False	True
24	48	51	-3	E	-1	2	4	2	1	True	1.0	-3	2	1	2	1a	1	1/2	False	3	True				False	1	I(9)		Eb	I		I(9)		I			9		M	False	False	(0, 4, 1)	(2,)	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(9), major		I	-3	-3	-3	0	0	0	True	True	True
24	6	70	-2	B	-1	2	4	1	2	True	1.0	-3	2	1	2	1a	1	1/16	False	4	True				False	1	I(9)		Eb	I		I(9)		I			9		M	False	False	(0, 4, 1)	(2,)	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(9), major		I	-3	-3	-3	1	1	1	True	False	False
24	12	77	-1	F	0	2	4	1	1	True	1.0	-3	2	1	2	1a	1	1/8	False	5	True				False	1	I(9)		Eb	I		I(9)		I			9		M	False	False	(0, 4, 1)	(2,)	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(9), major		I	-3	-3	-3	2	2	2	False	False	False
30	6	67	1	G	0	2	4	1	2	True	1.25	-3	2	1	2	1a	5/4	1/16	False	4	False				False	1	I(9)		Eb	I		I(9)		I			9		M	False	False	(0, 4, 1)	(2,)	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(9), major		I	-3	-3	-3	4	4	4	True	False	False
36	6	70	-2	B	-1	2	4	1	2	True	1.5	-3	2	1	2	1a	3/2	1/16	False	4	True				False	2	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
36	12	75	-3	E	-1	2	4	1	1	True	1.5	-3	2	1	2	1a	3/2	1/8	False	5	True				False	2	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
42	6	67	1	G	0	2	4	1	2	True	1.75	-3	2	1	2	1a	7/4	1/16	False	4	False				False	2	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
48	6	70	-2	B	-1	2	4	1	2	True	2.0	-3	2	1	2	1a	2	1/16	False	4	False				False	2	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
48	12	75	-3	E	-1	2	4	1	1	True	2.0	-3	2	1	2	1a	2	1/8	False	5	False				False	2	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
54	6	67	1	G	0	2	4	1	2	True	2.25	-3	2	1	2	1a	9/4	1/16	False	4	False				False	2	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	4	4	4	True	False	False
60	6	70	-2	B	-1	2	4	1	2	True	2.5	-3	2	1	2	1a	5/2	1/16	False	4	False				False	2	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	1	1	1	True	False	False
60	12	75	-3	E	-1	2	4	1	1	True	2.5	-3	2	1	2	1a	5/2	1/8	False	5	False				False	2	I		Eb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-3	-3	-3	0	0	0	True	True	True
