onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	18	36	0	C	0	6	8	2	1	True	1.0	0	1	1	1	1a	0	3/8	True	2	True				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	0	0	0	True	True	True
0	18	48	0	C	0	6	8	2	1	True	1.0	0	1	1	1	1a	0	3/8	True	3	True				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	0	0	0	True	True	True
3	3	79	1	G	0	6	8	1	1	True	1.167	0	1	1	1	1a	1/4	1/16	False	5	False				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	1	1	1	True	False	False
6	3	77	-1	F	0	6	8	1	1	True	1.333	0	1	1	1	1a	1/2	1/16	False	5	False				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	-1	-1	-1	False	False	False
9	3	76	4	E	0	6	8	1	1	True	1.5	0	1	1	1	1a	3/4	1/16	False	5	False				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	4	4	4	True	False	False
12	3	74	2	D	0	6	8	1	1	True	1.667	0	1	1	1	1a	1	1/16	False	5	False				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	2	2	2	False	False	False
15	3	72	0	C	0	6	8	1	1	True	1.833	0	1	1	1	1a	5/4	1/16	False	5	False				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	0	0	0	True	True	True
18	3	71	5	B	0	6	8	1	1	True	2.0	0	1	1	1	1a	3/2	1/16	False	4	False				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	5	5	5	False	False	False
21	3	69	3	A	0	6	8	1	1	True	2.167	0	1	1	1	1a	7/4	1/16	False	4	False				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	3	3	3	False	False	False
24	3	67	1	G	0	6	8	1	1	True	2.333	0	1	1	1	1a	2	1/16	False	4	False				False	0	C.I[I		C	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	0	0	0	1	1	1	True	False	False
