onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	24	53	-1	F	0	3	4	2	1	True	1.0	-1	1	1	1	1a	0	1/4	True	3	True				False	0	F.I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
0	24	60	0	C	0	3	4	2	1	True	1.0	-1	1	1	1	1a	0	1/4	True	4	True				False	0	F.I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
0	24	65	-1	F	0	3	4	1	2	True	1.0	-1	1	1	1	1a	0	1/4	True	4	True				False	0	F.I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
0	24	69	3	A	0	3	4	1	1	True	1.0	-1	1	1	1	1a	0	1/4	True	4	True				False	0	F.I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
24	0	72	0	C	0	3	4	1	1	True	2.0	-1	1	1	1	1a	1	0	False	5	True				False	1	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	1	1	1	True	True	False
24	24	55	1	G	0	3	4	2	1	True	2.0	-1	1	1	1	1a	1	1/4	False	3	True				False	1	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	2	2	2	True	False	True
24	24	58	-2	B	-1	3	4	2	1	True	2.0	-1	1	1	1	1a	1	1/4	False	3	True				False	1	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	-1	-1	-1	True	False	False
24	24	64	4	E	0	3	4	1	2	True	2.0	-1	1	1	1	1a	1	1/4	False	4	True				False	1	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	5	5	5	True	False	False
24	12	70	-2	B	-1	3	4	1	1	True	2.0	-1	1	1	1	1a	1	1/8	False	4	True				False	1	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	-1	-1	-1	True	False	False
36	6	69	3	A	0	3	4	1	1	True	2.5	-1	1	1	1	1a	3/2	1/16	False	4	False				False	1	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	4	4	4	False	False	False
42	6	67	1	G	0	3	4	1	1	True	2.75	-1	1	1	1	1a	7/4	1/16	False	4	False				False	1	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	2	2	2	True	False	True
48	24	57	3	A	0	3	4	2	1	True	3.0	-1	1	1	1	1a	2	1/4	False	3	True				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	4	4	4	True	False	True
48	24	60	0	C	0	3	4	2	1	True	3.0	-1	1	1	1	1a	2	1/4	False	4	True				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	1	1	1	True	False	False
48	6	65	-1	F	0	3	4	1	1	True	3.0	-1	1	1	1	1a	2	1/16	False	4	True				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	0	0	0	True	True	False
48	6	65	-1	F	0	3	4	1	2	True	3.0	-1	1	1	1	1a	2	1/16	False	4	True				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	0	0	0	True	True	False
54	6	65	-1	F	0	3	4	1	1	True	3.25	-1	1	1	1	1a	9/4	1/16	False	4	False				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	0	0	0	True	True	False
60	6	67	1	G	0	3	4	1	1	True	3.5	-1	1	1	1	1a	5/2	1/16	False	4	False				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	2	2	2	False	False	False
66	6	69	3	A	0	3	4	1	1	True	3.75	-1	1	1	1	1a	11/4	1/16	False	4	False				False	2	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	4	4	4	True	False	True
72	24	52	4	E	0	3	4	2	1	True	1.0	-1	2	2	2	2a	3	1/4	False	3	True				False	3	V65	F	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-1	-1	-1	5	5	5	True	False	True
72	24	60	0	C	0	3	4	2	1	True	1.0	-1	2	2	2	2a	3	1/4	False	4	True				False	3	V65	F	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-1	-1	-1	1	1	1	True	True	False
72	24	67	1	G	0	3	4	1	2	True	1.0	-1	2	2	2	2a	3	1/4	False	4	True				False	3	V65	F	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-1	-1	-1	2	2	2	True	False	False
72	12	72	0	C	0	3	4	1	1	True	1.0	-1	2	2	2	2a	3	1/8	False	5	True				False	3	V65	F	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-1	-1	-1	1	1	1	True	True	False
84	3	72	0	C	0	3	4	1	1	True	1.5	-1	2	2	2	2a	7/2	1/32	False	5	False				False	3	V65	F	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-1	-1	-1	1	1	1	True	True	False
87	3	70	-2	B	-1	3	4	1	1	True	1.625	-1	2	2	2	2a	29/8	1/32	False	4	False				False	3	V65	F	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-1	-1	-1	-1	-1	-1	True	False	False
90	3	69	3	A	0	3	4	1	1	True	1.75	-1	2	2	2	2a	15/4	1/32	False	4	False				False	3	V65	F	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-1	-1	-1	4	4	4	False	False	False
93	3	70	-2	B	-1	3	4	1	1	True	1.875	-1	2	2	2	2a	31/8	1/32	False	4	False				False	3	V65	F	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-1	-1	-1	-1	-1	-1	True	False	False
96	12	53	-1	F	0	3	4	2	1	True	2.0	-1	2	2	2	2a	4	1/8	False	3	True				False	4	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
96	12	60	0	C	0	3	4	2	1	True	2.0	-1	2	2	2	2a	4	1/8	False	4	True				False	4	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
96	12	65	-1	F	0	3	4	1	2	True	2.0	-1	2	2	2	2a	4	1/8	False	4	True				False	4	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
96	12	69	3	A	0	3	4	1	1	True	2.0	-1	2	2	2	2a	4	1/8	False	4	True				False	4	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
120	3	65	-1	F	0	3	4	1	1	True	3.0	-1	2	2	2	2a	5	1/32	False	4	False				False	4	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
123	3	67	1	G	0	3	4	1	1	True	3.125	-1	2	2	2	2a	41/8	1/32	False	4	False				False	4	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	2	2	2	False	False	False
126	3	69	3	A	0	3	4	1	1	True	3.25	-1	2	2	2	2a	21/4	1/32	False	4	False				False	4	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
129	3	67	1	G	0	3	4	1	1	True	3.375	-1	2	2	2	2a	43/8	1/32	False	4	False				False	4	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	2	2	2	False	False	False
132	12	57	3	A	0	3	4	2	1	True	3.5	-1	2	2	2	2a	11/2	1/8	False	3	True				False	5	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	4	4	4	True	False	True
132	12	60	0	C	0	3	4	2	1	True	3.5	-1	2	2	2	2a	11/2	1/8	False	4	True				False	5	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	1	1	1	True	False	False
132	6	65	-1	F	0	3	4	1	1	True	3.5	-1	2	2	2	2a	11/2	1/16	False	4	True				False	5	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	0	0	0	True	True	False
138	6	65	-1	F	0	3	4	1	1	True	3.75	-1	2	2	2	2a	23/4	1/16	False	4	False				False	5	I6	F	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	-1	-1	-1	0	0	0	True	True	False
144	36	55	1	G	0	3	4	2	1	True	1.0	-1	3	3	3	3a	6	3/8	False	3	True				False	6	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	2	2	2	True	False	True
144	36	58	-2	B	-1	3	4	2	1	True	1.0	-1	3	3	3	3a	6	3/8	False	3	True				False	6	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	-1	-1	-1	True	False	False
144	36	60	0	C	0	3	4	2	1	True	1.0	-1	3	3	3	3a	6	3/8	False	4	True				False	6	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	1	1	1	True	True	False
144	9	64	4	E	0	3	4	1	1	True	1.0	-1	3	3	3	3a	6	3/32	False	4	True				False	6	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	5	5	5	True	False	False
153	3	67	1	G	0	3	4	1	1	True	1.375	-1	3	3	3	3a	51/8	1/32	False	4	False				False	6	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	2	2	2	True	False	True
156	9	70	-2	B	-1	3	4	1	1	True	1.5	-1	3	3	3	3a	13/2	3/32	False	4	False				False	6	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	-1	-1	-1	True	False	False
165	3	67	1	G	0	3	4	1	1	True	1.875	-1	3	3	3	3a	55/8	1/32	False	4	False				False	6	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	2	2	2	True	False	True
168	12	64	4	E	0	3	4	1	1	True	2.0	-1	3	3	3	3a	7	1/8	False	4	False				False	6	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	5	5	5	True	False	False
192	3	67	1	G	0	3	4	1	1	True	3.0	-1	3	3	3	3a	8	1/32	False	4	True				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	2	2	2	True	False	True
195	3	69	3	A	0	3	4	1	1	True	3.125	-1	3	3	3	3a	65/8	1/32	False	4	False				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	4	4	4	False	False	False
198	3	70	-2	B	-1	3	4	1	1	True	3.25	-1	3	3	3	3a	33/4	1/32	False	4	False				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	-1	-1	-1	True	False	False
201	3	69	3	A	0	3	4	1	1	True	3.375	-1	3	3	3	3a	67/8	1/32	False	4	False				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	4	4	4	False	False	False
204	12	55	1	G	0	3	4	2	1	True	3.5	-1	3	3	3	3a	17/2	1/8	False	3	False				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	2	2	2	True	False	True
204	12	58	-2	B	-1	3	4	2	1	True	3.5	-1	3	3	3	3a	17/2	1/8	False	3	False				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	-1	-1	-1	True	False	False
204	12	64	4	E	0	3	4	2	1	True	3.5	-1	3	3	3	3a	17/2	1/8	False	4	False				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	5	5	5	True	True	False
204	6	67	1	G	0	3	4	1	1	True	3.5	-1	3	3	3	3a	17/2	1/16	False	4	False				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	2	2	2	True	False	True
210	6	67	1	G	0	3	4	1	1	True	3.75	-1	3	3	3	3a	35/4	1/16	False	4	False				False	7	viio6	F	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-1	-1	-1	2	2	2	True	False	True
216	36	57	3	A	0	3	4	2	1	True	1.0	-1	4	4	4	4a	9	3/8	False	3	True				False	8	#viio65/ii	F	I		#viio65/ii	#vii	o	65		ii	o7	False	False	(4, 1, -2, 7)	()	7	4	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio65/ii	#viio65/ii, major		#viio65/ii, major	ii	ii	-1	-1	1	4	4	2	True	False	True
