onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	48	38	2	D	0	2	4	2	1	True	1.0	2	1	1	1	1a	0	1/2	True	2	True				False	0	D.I[I		D	I	I	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	2	2	2	0	0	0	True	True	True
0	48	50	2	D	0	2	4	2	1	True	1.0	2	1	1	1	1a	0	1/2	True	3	True				False	0	D.I[I		D	I	I	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	2	2	2	0	0	0	True	True	True
0	24	57	3	A	0	2	4	1	1	True	1.0	2	1	1	1	1a	0	1/4	True	3	True				False	0	D.I[I		D	I	I	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	2	2	2	1	1	1	True	False	False
0	24	62	2	D	0	2	4	1	1	True	1.0	2	1	1	1	1a	0	1/4	True	4	True				False	0	D.I[I		D	I	I	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	2	2	2	0	0	0	True	True	True
0	24	66	6	F	1	2	4	1	1	True	1.0	2	1	1	1	1a	0	1/4	True	4	True				False	0	D.I[I		D	I	I	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	2	2	2	4	4	4	True	False	False
24	12	55	1	G	0	2	4	1	1	True	2.0	2	1	1	1	1a	1	1/8	False	3	True				False	1	viio64		D	I	I	viio64	vii	o	64			o	False	False	(-1, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	viio64	viio64, major	I	viio64, major		vii	2	2	2	-1	-1	-1	True	False	True
24	12	61	7	C	1	2	4	1	1	True	2.0	2	1	1	1	1a	1	1/8	False	4	True				False	1	viio64		D	I	I	viio64	vii	o	64			o	False	False	(-1, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	viio64	viio64, major	I	viio64, major		vii	2	2	2	5	5	5	True	True	False
24	12	64	4	E	0	2	4	1	1	True	2.0	2	1	1	1	1a	1	1/8	False	4	True				False	1	viio64		D	I	I	viio64	vii	o	64			o	False	False	(-1, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	viio64	viio64, major	I	viio64, major		vii	2	2	2	2	2	2	True	False	False
36	12	54	6	F	1	2	4	1	1	True	2.5	2	1	1	1	1a	3/2	1/8	False	3	True				False	2	I]		D	I	I	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	2	2	2	4	4	4	True	False	False
36	12	62	2	D	0	2	4	1	1	True	2.5	2	1	1	1	1a	3/2	1/8	False	4	True				False	2	I]		D	I	I	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	2	2	2	0	0	0	True	True	True
48	36	40	4	E	0	2	4	2	1	True	1.0	2	2	2	2	2a	2	3/8	False	2	True				False	3	viio6		D	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	2	2	2	2	2	2	True	False	True
48	36	52	4	E	0	2	4	2	1	True	1.0	2	2	2	2	2a	2	3/8	False	3	True				False	3	viio6		D	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	2	2	2	2	2	2	True	False	True
48	18	55	1	G	0	2	4	1	1	True	1.0	2	2	2	2	2a	2	3/16	False	3	True				False	3	viio6		D	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	2	2	2	-1	-1	-1	True	False	False
48	18	67	1	G	0	2	4	1	1	True	1.0	2	2	2	2	2a	2	3/16	False	4	True				False	3	viio6		D	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	2	2	2	-1	-1	-1	True	False	False
66	6	64	4	E	0	2	4	1	1	True	1.75	2	2	2	2	2a	11/4	1/16	False	4	False				False	3	viio6		D	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	2	2	2	2	2	2	True	False	True
72	12	61	7	C	1	2	4	1	1	True	2.0	2	2	2	2	2a	3	1/8	False	4	False				False	3	viio6		D	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	2	2	2	5	5	5	True	True	False
96	24	55	1	G	0	2	4	2	1	True	1.0	2	3	3	3	3a	4	1/4	False	3	True				False	4	V2		D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	-1	-1	-1	True	False	True
96	24	57	3	A	0	2	4	2	1	True	1.0	2	3	3	3	3a	4	1/4	False	3	True				False	4	V2		D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	1	1	1	True	True	False
96	24	61	7	C	1	2	4	1	1	True	1.0	2	3	3	3	3a	4	1/4	False	4	True				False	4	V2		D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	5	5	5	True	False	False
96	24	64	4	E	0	2	4	1	1	True	1.0	2	3	3	3	3a	4	1/4	False	4	True				False	4	V2		D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	2	2	2	True	False	False
120	12	54	6	F	1	2	4	2	1	True	2.0	2	3	3	3	3a	5	1/8	False	3	True				False	5	I6		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
120	12	57	3	A	0	2	4	2	1	True	2.0	2	3	3	3	3a	5	1/8	False	3	True				False	5	I6		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	1	1	1	True	False	False
120	12	62	2	D	0	2	4	1	1	True	2.0	2	3	3	3	3a	5	1/8	False	4	True				False	5	I6		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	0	0	0	True	True	False
120	12	66	6	F	1	2	4	1	1	True	2.0	2	3	3	3	3a	5	1/8	False	4	True				False	5	I6		D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
132	12	52	4	E	0	2	4	2	1	True	2.5	2	3	3	3	3a	11/2	1/8	False	3	True				False	6	V43		D	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	2	2	2	2	2	2	True	False	True
132	12	57	3	A	0	2	4	2	1	True	2.5	2	3	3	3	3a	11/2	1/8	False	3	True				False	6	V43		D	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	2	2	2	1	1	1	True	True	False
132	12	64	4	E	0	2	4	1	1	True	2.5	2	3	3	3	3a	11/2	1/8	False	4	True				False	6	V43		D	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	2	2	2	2	2	2	True	False	True
132	12	67	1	G	0	2	4	1	1	True	2.5	2	3	3	3	3a	11/2	1/8	False	4	True				False	6	V43		D	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	2	2	2	-1	-1	-1	True	False	False
144	36	50	2	D	0	2	4	2	1	True	1.0	2	4	4	4	4a	6	3/8	False	3	True				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
144	36	57	3	A	0	2	4	2	1	True	1.0	2	4	4	4	4a	6	3/8	False	3	True				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
144	18	66	6	F	1	2	4	1	1	True	1.0	2	4	4	4	4a	6	3/16	False	4	True				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
144	18	69	3	A	0	2	4	1	1	True	1.0	2	4	4	4	4a	6	3/16	False	4	True				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
162	6	62	2	D	0	2	4	1	1	True	1.75	2	4	4	4	4a	27/4	1/16	False	4	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
162	6	66	6	F	1	2	4	1	1	True	1.75	2	4	4	4	4a	27/4	1/16	False	4	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
168	12	66	6	F	1	2	4	1	1	True	2.0	2	4	4	4	4a	7	1/8	False	4	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
168	12	69	3	A	0	2	4	1	1	True	2.0	2	4	4	4	4a	7	1/8	False	4	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
180	12	62	2	D	0	2	4	2	1	True	2.5	2	4	4	4	4a	15/2	1/8	False	4	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
180	12	66	6	F	1	2	4	2	1	True	2.5	2	4	4	4	4a	15/2	1/8	False	4	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
180	3	69	3	A	0	2	4	1	1	True	2.5	2	4	4	4	4a	15/2	1/32	False	4	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
183	3	71	5	B	0	2	4	1	1	True	2.625	2	4	4	4	4a	61/8	1/32	False	4	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	3	3	3	False	False	False
186	3	73	7	C	1	2	4	1	1	True	2.75	2	4	4	4	4a	31/4	1/32	False	5	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	5	5	5	False	False	False
189	3	74	2	D	0	2	4	1	1	True	2.875	2	4	4	4	4a	63/8	1/32	False	5	False				False	7	I		D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
192	24	57	3	A	0	2	4	2	2	True	1.0	2	5	5	5	5a	8	1/4	False	3	True				False	8	V[V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	1	1	1	True	True	True
192	12	64	4	E	0	2	4	2	1	True	1.0	2	5	5	5	5a	8	1/8	False	4	True				False	8	V[V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	2	2	2	True	False	False
192	12	67	1	G	0	2	4	2	1	True	1.0	2	5	5	5	5a	8	1/8	False	4	True				False	8	V[V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	-1	-1	-1	True	False	False
192	6	74	2	D	0	2	4	1	1	True	1.0	2	5	5	5	5a	8	1/16	False	5	True				False	8	V[V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	0	0	0	False	False	False
198	6	73	7	C	1	2	4	1	1	True	1.25	2	5	5	5	5a	33/4	1/16	False	5	False				False	8	V[V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	5	5	5	True	False	False
204	12	62	2	D	0	2	4	2	1	True	1.5	2	5	5	5	5a	17/2	1/8	False	4	True				False	9	I		D	I	V	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	2	2	2	0	0	0	True	True	True
204	12	66	6	F	1	2	4	2	1	True	1.5	2	5	5	5	5a	17/2	1/8	False	4	True				False	9	I		D	I	V	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	2	2	2	4	4	4	True	False	False
204	3	81	3	A	0	2	4	1	1	True	1.5	2	5	5	5	5a	17/2	1/32	False	5	True				False	9	I		D	I	V	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	2	2	2	1	1	1	True	False	False
207	3	78	6	F	1	2	4	1	1	True	1.625	2	5	5	5	5a	69/8	1/32	False	5	False				False	9	I		D	I	V	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	2	2	2	4	4	4	True	False	False
210	3	76	4	E	0	2	4	1	1	True	1.75	2	5	5	5	5a	35/4	1/32	False	5	False				False	9	I		D	I	V	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	2	2	2	2	2	2	False	False	False
213	3	74	2	D	0	2	4	1	1	True	1.875	2	5	5	5	5a	71/8	1/32	False	5	False				False	9	I		D	I	V	I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	2	2	2	0	0	0	True	True	True
216	24	57	3	A	0	2	4	2	2	True	2.0	2	5	5	5	5a	9	1/4	False	3	True				False	10	V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	1	1	1	True	True	True
216	12	64	4	E	0	2	4	2	1	True	2.0	2	5	5	5	5a	9	1/8	False	4	True				False	10	V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	2	2	2	True	False	False
216	12	67	1	G	0	2	4	2	1	True	2.0	2	5	5	5	5a	9	1/8	False	4	True				False	10	V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	-1	-1	-1	True	False	False
216	6	74	2	D	0	2	4	1	1	True	2.0	2	5	5	5	5a	9	1/16	False	5	True				False	10	V7		D	I	V	V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major	V	V7, major		V	2	2	2	0	0	0	False	False	False
