onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	40	4	E	0	6	8	2	1	True	1.0	1	1	1	1	1a	0	1/4	True	2	True				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
0	4	52	4	E	0	6	8	2	1	True	1.0	1	1	1	1	1a	0	1/4	True	3	True				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
1	1	67	1	G	0	6	8	1	1	True	1.167	1	1	1	1	1a	1/4	1/16	False	4	False				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
2	1	71	5	B	0	6	8	1	1	True	1.333	1	1	1	1	1a	1/2	1/16	False	4	False				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
3	1	67	1	G	0	6	8	1	1	True	1.5	1	1	1	1	1a	3/4	1/16	False	4	False				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
4	1	66	6	F	1	6	8	1	1	True	1.667	1	1	1	1	1a	1	1/16	False	4	False				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	2	2	2	False	False	False
5	1	64	4	E	0	6	8	1	1	True	1.833	1	1	1	1	1a	5/4	1/16	False	4	False				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
6	1	63	9	D	1	6	8	1	1	True	2.0	1	1	1	1	1a	3/2	1/16	False	4	False				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	5	5	5	False	False	False
7	1	64	4	E	0	6	8	1	1	True	2.167	1	1	1	1	1a	7/4	1/16	False	4	False				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
8	1	67	1	G	0	6	8	1	1	True	2.333	1	1	1	1	1a	2	1/16	False	4	False				False	0	e.i		e	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
