onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	24	57	3	A	0	2	4	2	2	True	1.0	3	1	1	1	1a	0	1/2	True	3	True				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	3	3	3	0	0	0	True	True	True
0	3	73	7	C	1	2	4	1	1	True	1.0	3	1	1	1	1a	0	1/16	True	5	True				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	3	3	3	4	4	4	True	False	False
3	3	74	2	D	0	2	4	1	1	True	1.25	3	1	1	1	1a	1/4	1/16	False	5	False				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	3	3	3	-1	-1	-1	False	False	False
6	3	76	4	E	0	2	4	1	1	True	1.5	3	1	1	1	1a	1/2	1/16	False	5	False				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	3	3	3	1	1	1	True	False	False
9	3	73	7	C	1	2	4	1	1	True	1.75	3	1	1	1	1a	3/4	1/16	False	5	False				False	0	A.I[I		A	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	3	3	3	4	4	4	True	False	False
12	12	66	6	F	1	2	4	2	1	True	2.0	3	1	1	1	1a	1	1/4	False	4	True				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	3	3	3	3	3	3	True	True	True
12	3	69	3	A	0	2	4	1	1	True	2.0	3	1	1	1	1a	1	1/16	False	4	True				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	3	3	3	0	0	0	True	False	False
15	3	71	5	B	0	2	4	1	1	True	2.25	3	1	1	1	1a	5/4	1/16	False	4	False				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	3	3	3	2	2	2	False	False	False
18	3	73	7	C	1	2	4	1	1	True	2.5	3	1	1	1	1a	3/2	1/16	False	5	False				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	3	3	3	4	4	4	True	False	False
21	3	69	3	A	0	2	4	1	1	True	2.75	3	1	1	1	1a	7/4	1/16	False	4	False				False	1	vi		A	I	I	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	I	vi, major		vi	3	3	3	0	0	0	True	False	False
