onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	10	53	-1	F	0	2	2	2	1	True	1.0	-4	1	0	1	0a	0	1/12	True	3	True			{	False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
10	10	56	-4	A	-1	2	2	2	1	True	1.167	-4	1	0	1	0a	1/3	1/12	False	3	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
20	10	60	0	C	0	2	2	2	1	True	1.333	-4	1	0	1	0a	2/3	1/12	False	4	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
30	10	53	-1	F	0	2	2	2	1	True	1.5	-4	1	0	1	0a	1	1/12	False	3	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
40	10	56	-4	A	-1	2	2	2	1	True	1.667	-4	1	0	1	0a	4/3	1/12	False	3	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
50	10	60	0	C	0	2	2	2	1	True	1.833	-4	1	0	1	0a	5/3	1/12	False	4	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
60	10	53	-1	F	0	2	2	2	1	True	2.0	-4	2	1	2	1a	2	1/12	True	3	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
60	30	65	-1	F	0	2	2	1	1	True	2.0	-4	2	1	2	1a	2	1/4	True	4	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
60	30	68	-4	A	-1	2	2	1	1	True	2.0	-4	2	1	2	1a	2	1/4	True	4	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
60	30	72	0	C	0	2	2	1	1	True	2.0	-4	2	1	2	1a	2	1/4	True	5	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
60	30	77	-1	F	0	2	2	1	1	True	2.0	-4	2	1	2	1a	2	1/4	True	5	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
70	10	56	-4	A	-1	2	2	2	1	True	2.167	-4	2	1	2	1a	7/3	1/12	False	3	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
80	10	60	0	C	0	2	2	2	1	True	2.333	-4	2	1	2	1a	8/3	1/12	False	4	False				False	0		f.i{	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
90	10	53	-1	F	0	2	2	2	1	True	2.5	-4	2	1	2	1a	3	1/12	False	3	True				False	1		i(9#764)	f	i		i(9#764)		i			9#764		m	True	True	(0, -1, -4)	(2, 5)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9#764), minor		i	-1	-1	-1	0	0	0	True	True	True
90	30	64	4	E	0	2	2	1	1	True	2.5	-4	2	1	2	1a	3	1/4	False	4	True				False	1		i(9#764)	f	i		i(9#764)		i			9#764		m	True	True	(0, -1, -4)	(2, 5)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9#764), minor		i	-1	-1	-1	5	5	5	False	False	False
90	30	67	1	G	0	2	2	1	1	True	2.5	-4	2	1	2	1a	3	1/4	False	4	True				False	1		i(9#764)	f	i		i(9#764)		i			9#764		m	True	True	(0, -1, -4)	(2, 5)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9#764), minor		i	-1	-1	-1	2	2	2	False	False	False
90	30	70	-2	B	-1	2	2	1	1	True	2.5	-4	2	1	2	1a	3	1/4	False	4	True				False	1		i(9#764)	f	i		i(9#764)		i			9#764		m	True	True	(0, -1, -4)	(2, 5)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9#764), minor		i	-1	-1	-1	-1	-1	-1	True	False	False
90	30	73	-5	D	-1	2	2	1	1	True	2.5	-4	2	1	2	1a	3	1/4	False	5	True				False	1		i(9#764)	f	i		i(9#764)		i			9#764		m	True	True	(0, -1, -4)	(2, 5)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9#764), minor		i	-1	-1	-1	-4	-4	-4	True	False	False
90	30	76	4	E	0	2	2	1	1	True	2.5	-4	2	1	2	1a	3	1/4	False	5	True				False	1		i(9#764)	f	i		i(9#764)		i			9#764		m	True	True	(0, -1, -4)	(2, 5)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9#764), minor		i	-1	-1	-1	5	5	5	False	False	False
100	10	58	-2	B	-1	2	2	2	1	True	2.667	-4	2	1	2	1a	10/3	1/12	False	3	False				False	1		i(9#764)	f	i		i(9#764)		i			9#764		m	True	True	(0, -1, -4)	(2, 5)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9#764), minor		i	-1	-1	-1	-1	-1	-1	True	False	False
110	10	61	-5	D	-1	2	2	2	1	True	2.833	-4	2	1	2	1a	11/3	1/12	False	4	False				False	1		i(9#764)	f	i		i(9#764)		i			9#764		m	True	True	(0, -1, -4)	(2, 5)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(9#764), minor		i	-1	-1	-1	-4	-4	-4	True	False	False
120	10	53	-1	F	0	2	2	2	1	True	1.0	-4	3	2	3	2a	4	1/12	False	3	True				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
120	30	65	-1	F	0	2	2	1	1	True	1.0	-4	3	2	3	2a	4	1/4	False	4	True				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
120	30	68	-4	A	-1	2	2	1	1	True	1.0	-4	3	2	3	2a	4	1/4	False	4	True				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
120	30	72	0	C	0	2	2	1	1	True	1.0	-4	3	2	3	2a	4	1/4	False	5	True				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
120	30	77	-1	F	0	2	2	1	1	True	1.0	-4	3	2	3	2a	4	1/4	False	5	True				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
130	10	60	0	C	0	2	2	2	1	True	1.167	-4	3	2	3	2a	13/3	1/12	False	4	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
140	10	56	-4	A	-1	2	2	2	1	True	1.333	-4	3	2	3	2a	14/3	1/12	False	3	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
150	10	53	-1	F	0	2	2	2	1	True	1.5	-4	3	2	3	2a	5	1/12	False	3	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
160	10	48	0	C	0	2	2	2	1	True	1.667	-4	3	2	3	2a	16/3	1/12	False	3	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
170	10	44	-4	A	-1	2	2	2	1	True	1.833	-4	3	2	3	2a	17/3	1/12	False	2	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
180	10	41	-1	F	0	2	2	2	1	True	2.0	-4	3	2	3	2a	6	1/12	False	2	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
180	30	72	0	C	0	2	2	1	1	True	2.0	-4	3	2	3	2a	6	1/4	False	5	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
180	30	77	-1	F	0	2	2	1	1	True	2.0	-4	3	2	3	2a	6	1/4	False	5	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	0	0	0	True	True	True
180	30	80	-4	A	-1	2	2	1	1	True	2.0	-4	3	2	3	2a	6	1/4	False	5	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
180	30	84	0	C	0	2	2	1	1	True	2.0	-4	3	2	3	2a	6	1/4	False	6	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
190	10	44	-4	A	-1	2	2	2	1	True	2.167	-4	3	2	3	2a	19/3	1/12	False	2	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
200	10	48	0	C	0	2	2	2	1	True	2.333	-4	3	2	3	2a	20/3	1/12	False	3	False				False	2		i	f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1	1	1	1	True	False	False
210	10	40	4	E	0	2	2	2	1	True	2.5	-4	3	2	3	2a	7	1/12	False	2	True				False	3		V65	f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1	5	5	5	True	False	True
210	30	72	0	C	0	2	2	1	1	True	2.5	-4	3	2	3	2a	7	1/4	False	5	True				False	3		V65	f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1	1	1	1	True	True	False
210	30	79	1	G	0	2	2	1	1	True	2.5	-4	3	2	3	2a	7	1/4	False	5	True				False	3		V65	f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1	2	2	2	True	False	False
210	30	82	-2	B	-1	2	2	1	1	True	2.5	-4	3	2	3	2a	7	1/4	False	5	True				False	3		V65	f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1	-1	-1	-1	True	False	False
