onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	120	44	-4	A	-1	3	4	2	1	True	1.0	-3	1	1	1	1a	0	1/2	True	2	True			{	False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	-1	-1	-1	True	False	True
0	120	51	-3	E	-1	3	4	2	1	True	1.0	-3	1	1	1	1a	0	1/2	True	3	True			{	False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	0	0	0	True	False	False
0	120	53	-1	F	0	3	4	2	1	True	1.0	-3	1	1	1	1a	0	1/2	True	3	True			{	False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	2	2	2	True	True	False
0	120	56	-4	A	-1	3	4	2	1	True	1.0	-3	1	1	1	1a	0	1/2	True	3	True			{	False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	-1	-1	-1	True	False	True
0	120	60	0	C	0	3	4	1	2	True	1.0	-3	1	1	1	1a	0	1/2	True	4	True			{	False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	3	3	3	True	False	False
0	120	63	-3	E	-1	3	4	1	2	True	1.0	-3	1	1	1	1a	0	1/2	True	4	True			{	False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	0	0	0	True	False	False
0	45	72	0	C	0	3	4	1	1	True	1.0	-3	1	1	1	1a	0	3/16	True	5	True			{	False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	3	3	3	True	False	False
45	15	65	-1	F	0	3	4	1	1	True	1.75	-3	1	1	1	1a	3/4	1/16	False	4	False				False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	2	2	2	True	True	False
60	60	65	-1	F	0	3	4	1	1	True	2.0	-3	1	1	1	1a	1	1/4	False	4	False				False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	2	2	2	True	True	False
180	120	44	-4	A	-1	3	4	2	1	True	1.0	-3	2	2	2	2a	3	1/2	False	2	False				False	0	Eb.ii65{	Eb	I		ii65		ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	-3	-3	-3	-1	-1	-1	True	False	True
