onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
96720	60	68	-4	A	-1	2	4	1	1	True	2.0	-4	143	139	202	139a	403	1/16	False	4	True				False	319		V43/bVII	Ab	I		V43/bVII	V		43		bVII	Mm7	False	False	(0, -3, -1, 3)	()	-1	0	major	major	I	I, major	V/bVII	bVII	bVII/I	bVII	False	V43/bVII	V43/bVII, major		V43/bVII, major	bVII	bVII	-4	-4	-6	0	0	2	True	False	True
96780	60	61	-5	D	-1	2	4	2	1	True	2.25	-4	143	139	202	139a	1613/4	1/16	False	4	False				False	319		V43/bVII	Ab	I		V43/bVII	V		43		bVII	Mm7	False	False	(0, -3, -1, 3)	()	-1	0	major	major	I	I, major	V/bVII	bVII	bVII/I	bVII	False	V43/bVII	V43/bVII, major		V43/bVII, major	bVII	bVII	-4	-4	-6	-1	-1	1	True	True	False
96780	60	71	-7	C	-1	2	4	1	1	True	2.25	-4	143	139	202	139a	1613/4	1/16	False	5	False				False	319		V43/bVII	Ab	I		V43/bVII	V		43		bVII	Mm7	False	False	(0, -3, -1, 3)	()	-1	0	major	major	I	I, major	V/bVII	bVII	bVII/I	bVII	False	V43/bVII	V43/bVII, major		V43/bVII, major	bVII	bVII	-4	-4	-6	-3	-3	-1	True	False	False
96840	60	56	-4	A	-1	2	4	2	1	True	2.5	-4	143	139	202	139a	807/2	1/16	False	3	False				False	319		V43/bVII	Ab	I		V43/bVII	V		43		bVII	Mm7	False	False	(0, -3, -1, 3)	()	-1	0	major	major	I	I, major	V/bVII	bVII	bVII/I	bVII	False	V43/bVII	V43/bVII, major		V43/bVII, major	bVII	bVII	-4	-4	-6	0	0	2	True	False	True
96840	60	65	-1	F	0	2	4	1	1	True	2.5	-4	143	139	202	139a	807/2	1/16	False	4	False				False	319		V43/bVII	Ab	I		V43/bVII	V		43		bVII	Mm7	False	False	(0, -3, -1, 3)	()	-1	0	major	major	I	I, major	V/bVII	bVII	bVII/I	bVII	False	V43/bVII	V43/bVII, major		V43/bVII, major	bVII	bVII	-4	-4	-6	3	3	5	True	False	False
96900	60	61	-5	D	-1	2	4	2	1	True	2.75	-4	143	139	202	139a	1615/4	1/16	False	4	False				False	319		V43/bVII	Ab	I		V43/bVII	V		43		bVII	Mm7	False	False	(0, -3, -1, 3)	()	-1	0	major	major	I	I, major	V/bVII	bVII	bVII/I	bVII	False	V43/bVII	V43/bVII, major		V43/bVII, major	bVII	bVII	-4	-4	-6	-1	-1	1	True	True	False
96900	60	68	-4	A	-1	2	4	1	1	True	2.75	-4	143	139	202	139a	1615/4	1/16	False	4	False				False	319		V43/bVII	Ab	I		V43/bVII	V		43		bVII	Mm7	False	False	(0, -3, -1, 3)	()	-1	0	major	major	I	I, major	V/bVII	bVII	bVII/I	bVII	False	V43/bVII	V43/bVII, major		V43/bVII, major	bVII	bVII	-4	-4	-6	0	0	2	True	False	True
96960	120	58	-2	B	-1	2	4	2	1	True	1.0	-4	144	140	203	140a	404	1/8	False	3	True				False	320		I6/bVII	Ab	I		I6/bVII	I		6		bVII	M	False	False	(2, -1, -2)	()	-2	2	major	major	I	I, major	I/bVII	bVII	bVII/I	bVII	False	I6/bVII	I6/bVII, major		I6/bVII, major	bVII	bVII	-4	-4	-6	2	2	4	True	False	True
96960	60	66	-6	G	-1	2	4	1	1	True	1.0	-4	144	140	203	140a	404	1/16	False	4	True				False	320		I6/bVII	Ab	I		I6/bVII	I		6		bVII	M	False	False	(2, -1, -2)	()	-2	2	major	major	I	I, major	I/bVII	bVII	bVII/I	bVII	False	I6/bVII	I6/bVII, major		I6/bVII, major	bVII	bVII	-4	-4	-6	-2	-2	0	True	True	False
97020	60	70	-2	B	-1	2	4	1	1	True	1.25	-4	144	140	203	140a	1617/4	1/16	False	4	False				False	320		I6/bVII	Ab	I		I6/bVII	I		6		bVII	M	False	False	(2, -1, -2)	()	-2	2	major	major	I	I, major	I/bVII	bVII	bVII/I	bVII	False	I6/bVII	I6/bVII, major		I6/bVII, major	bVII	bVII	-4	-4	-6	2	2	4	True	False	True
