onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	240	40	4	E	0	3	4	2	1	True	1.0	4	1	1	1	1a	0	1/4	True	2	True			{	False	0		E.I{		E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	0	0	0	True	True	True
0	240	59	5	B	0	3	4	1	2	True	1.0	4	1	1	1	1a	0	1/4	True	3	True			{	False	0		E.I{		E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	1	1	1	True	False	False
0	240	68	8	G	1	3	4	1	1	True	1.0	4	1	1	1	1a	0	1/4	True	4	True			{	False	0		E.I{		E	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	4	4	4	4	4	4	True	False	False
240	240	44	8	G	1	3	4	2	1	True	2.0	4	1	1	1	1a	1	1/4	False	2	True				False	1		I6		E	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	4	4	4	4	4	4	True	False	True
240	240	59	5	B	0	3	4	1	2	True	2.0	4	1	1	1	1a	1	1/4	False	3	True				False	1		I6		E	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	4	4	4	1	1	1	True	False	False
240	360	64	4	E	0	3	4	1	1	True	2.0	4	1	1	1	1a	1	3/8	False	4	True				False	1		I6		E	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	4	4	4	0	0	0	True	True	False
480	240	45	3	A	0	3	4	2	1	True	3.0	4	1	1	1	1a	2	1/4	False	2	True				False	2		IV		E	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	4	4	4	-1	-1	-1	True	True	True
480	240	61	7	C	1	3	4	1	2	True	3.0	4	1	1	1	1a	2	1/4	False	4	True				False	2		IV		E	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	4	4	4	3	3	3	True	False	False
600	120	66	6	F	1	3	4	1	1	True	3.5	4	1	1	1	1a	5/2	1/8	False	4	True				False	3		ii6		E	I		ii6		ii		6			m	False	False	(-1, 3, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii6	ii6, major		ii6, major		ii	4	4	4	2	2	2	True	True	False
720	240	47	5	B	0	3	4	2	1	True	1.0	4	2	2	2	2a	3	1/4	False	2	True				False	4		V		E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	4	4	4	1	1	1	True	True	True
720	240	54	6	F	1	3	4	1	1	True	1.0	4	2	2	2	2a	3	1/4	False	3	True				False	4		V		E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	4	4	4	2	2	2	True	False	False
720	240	63	9	D	1	3	4	1	1	True	1.0	4	2	2	2	2a	3	1/4	False	4	True				False	4		V		E	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	4	4	4	5	5	5	True	False	False
960	240	49	7	C	1	3	4	2	1	True	2.0	4	2	2	2	2a	4	1/4	False	3	True				False	5		V65(^2)		E	I		V65(^2)		V		65	^2		Mm7	False	False	(3, 2, -1, 1)	()	1	3	major	major	I	I, major	V		I	I	False	V65	V65, major		V65(^2), major		V	4	4	4	3	3	3	True	False	True
