onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	48	30	6	F	1	2	4	2	1	True	1.0	6	1	1	1	1a	0	1/2	True	1	True			{	False	0		F#.I[I{	F#	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	6	6	6	0	0	0	True	True	True
0	48	42	6	F	1	2	4	2	1	True	1.0	6	1	1	1	1a	0	1/2	True	2	True			{	False	0		F#.I[I{	F#	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	6	6	6	0	0	0	True	True	True
0	24	58	10	A	1	2	4	1	1	True	1.0	6	1	1	1	1a	0	1/4	True	3	True			{	False	0		F#.I[I{	F#	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	6	6	6	4	4	4	True	False	False
0	24	61	7	C	1	2	4	1	1	True	1.0	6	1	1	1	1a	0	1/4	True	4	True			{	False	0		F#.I[I{	F#	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	6	6	6	1	1	1	True	False	False
24	18	58	10	A	1	2	4	1	1	True	2.0	6	1	1	1	1a	1	3/16	False	3	False				False	0		F#.I[I{	F#	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	6	6	6	4	4	4	True	False	False
24	18	61	7	C	1	2	4	1	1	True	2.0	6	1	1	1	1a	1	3/16	False	4	False				False	0		F#.I[I{	F#	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	6	6	6	1	1	1	True	False	False
24	18	66	6	F	1	2	4	1	1	True	2.0	6	1	1	1	1a	1	3/16	False	4	False				False	0		F#.I[I{	F#	I	I	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	I	I, major		I	6	6	6	0	0	0	True	True	True
42	6	59	5	B	0	2	4	1	1	True	2.75	6	1	1	1	1a	7/4	1/16	False	3	True				False	1		viio64	F#	I	I	viio64		vii	o	64			o	False	False	(-1, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	viio64	viio64, major	I	viio64, major		vii	6	6	6	-1	-1	-1	True	False	True
42	6	65	11	E	1	2	4	1	1	True	2.75	6	1	1	1	1a	7/4	1/16	False	4	True				False	1		viio64	F#	I	I	viio64		vii	o	64			o	False	False	(-1, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	viio64	viio64, major	I	viio64, major		vii	6	6	6	5	5	5	True	True	False
42	6	68	8	G	1	2	4	1	1	True	2.75	6	1	1	1	1a	7/4	1/16	False	4	True				False	1		viio64	F#	I	I	viio64		vii	o	64			o	False	False	(-1, 5, 2)	()	5	-1	major	major	I	I, major	vii		I	I	False	viio64	viio64, major	I	viio64, major		vii	6	6	6	2	2	2	True	False	False
