onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	36	36	0	C	0	9	16	2	1	True	3.0	0	1	0	1	0a	0	3/16	True	2	True			{	False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
0	36	43	1	G	0	9	16	2	1	True	3.0	0	1	0	1	0a	0	3/16	True	2	True			{	False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
0	36	64	4	E	0	9	16	1	2	True	3.0	0	1	0	1	0a	0	3/16	True	4	True			{	False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
0	24	72	0	C	0	9	16	1	1	True	3.0	0	1	0	1	0a	0	1/8	True	5	True			{	False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
24	12	67	1	G	0	9	16	1	1	True	3.667	0	1	0	1	0a	1/2	1/16	False	4	False				False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
36	36	36	0	C	0	9	16	2	1	True	1.0	0	2	1	2	1a	3/4	3/16	False	2	False				False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
36	36	43	1	G	0	9	16	2	1	True	1.0	0	2	1	2	1a	3/4	3/16	False	2	False				False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
36	36	64	4	E	0	9	16	1	2	True	1.0	0	2	1	2	1a	3/4	3/16	False	4	False				False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
36	72	67	1	G	0	9	16	1	1	True	1.0	0	2	1	2	1a	3/4	3/8	False	4	False				False	0		C.I{		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
72	36	38	2	D	0	9	16	2	1	True	2.0	0	2	1	2	1a	3/2	3/16	False	2	True				False	1		V43		C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	2	2	2	True	False	True
72	36	43	1	G	0	9	16	2	1	True	2.0	0	2	1	2	1a	3/2	3/16	False	2	True				False	1		V43		C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	1	1	1	True	True	False
72	36	65	-1	F	0	9	16	1	2	True	2.0	0	2	1	2	1a	3/2	3/16	False	4	True				False	1		V43		C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	-1	-1	-1	True	False	False
108	36	35	5	B	0	9	16	2	1	True	3.0	0	2	1	2	1a	9/4	3/16	False	1	True				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	5	5	5	True	False	True
108	36	43	1	G	0	9	16	2	1	True	3.0	0	2	1	2	1a	9/4	3/16	False	2	True				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	1	1	1	True	True	False
108	36	62	2	D	0	9	16	1	2	True	3.0	0	2	1	2	1a	9/4	3/16	False	4	True				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	2	2	2	True	False	False
108	24	74	2	D	0	9	16	1	1	True	3.0	0	2	1	2	1a	9/4	1/8	False	5	True				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	2	2	2	True	False	False
132	12	67	1	G	0	9	16	1	1	True	3.667	0	2	1	2	1a	11/4	1/16	False	4	False				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	1	1	1	True	True	False
144	36	35	5	B	0	9	16	2	1	True	1.0	0	3	2	3	2a	3	3/16	False	1	False				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	5	5	5	True	False	True
144	36	43	1	G	0	9	16	2	1	True	1.0	0	3	2	3	2a	3	3/16	False	2	False				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	1	1	1	True	True	False
144	36	62	2	D	0	9	16	1	2	True	1.0	0	3	2	3	2a	3	3/16	False	4	False				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	2	2	2	True	False	False
144	72	67	1	G	0	9	16	1	1	True	1.0	0	3	2	3	2a	3	3/8	False	4	False				False	2		V6		C	I		V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major		V6, major		V	0	0	0	1	1	1	True	True	False
180	36	36	0	C	0	9	16	2	1	True	2.0	0	3	2	3	2a	15/4	3/16	False	2	True				False	3		I		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
180	36	43	1	G	0	9	16	2	1	True	2.0	0	3	2	3	2a	15/4	3/16	False	2	True				False	3		I		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
180	36	64	4	E	0	9	16	1	2	True	2.0	0	3	2	3	2a	15/4	3/16	False	4	True				False	3		I		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
216	36	38	2	D	0	9	16	2	1	True	3.0	0	3	2	3	2a	9/2	3/16	False	2	True				False	4		V43		C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	2	2	2	True	False	True
216	36	43	1	G	0	9	16	2	1	True	3.0	0	3	2	3	2a	9/2	3/16	False	2	True				False	4		V43		C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	1	1	1	True	True	False
216	36	65	-1	F	0	9	16	1	2	True	3.0	0	3	2	3	2a	9/2	3/16	False	4	True				False	4		V43		C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	-1	-1	-1	True	False	False
216	36	67	1	G	0	9	16	1	1	True	3.0	0	3	2	3	2a	9/2	3/16	False	4	True				False	4		V43		C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	1	1	1	True	True	False
252	36	40	4	E	0	9	16	2	1	True	1.0	0	4	3	4	3a	21/4	3/16	False	2	True				False	5		I6		C	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	0	0	0	4	4	4	True	False	True
252	36	43	1	G	0	9	16	2	1	True	1.0	0	4	3	4	3a	21/4	3/16	False	2	True				False	5		I6		C	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	0	0	0	1	1	1	True	False	False
252	36	67	1	G	0	9	16	1	1	True	1.0	0	4	3	4	3a	21/4	3/16	False	4	True				False	5		I6		C	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	0	0	0	1	1	1	True	False	False
288	36	36	0	C	0	9	16	2	1	True	2.0	0	4	3	4	3a	6	3/16	False	2	True				False	6		I		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
288	36	43	1	G	0	9	16	2	1	True	2.0	0	4	3	4	3a	6	3/16	False	2	True				False	6		I		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
288	36	64	4	E	0	9	16	1	2	True	2.0	0	4	3	4	3a	6	3/16	False	4	True				False	6		I		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
288	36	76	4	E	0	9	16	1	1	True	2.0	0	4	3	4	3a	6	3/16	False	5	True				False	6		I		C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
324	36	40	4	E	0	9	16	2	1	True	3.0	0	4	3	4	3a	27/4	3/16	False	2	True				False	7		I6		C	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	0	0	0	4	4	4	True	False	True
324	36	43	1	G	0	9	16	2	1	True	3.0	0	4	3	4	3a	27/4	3/16	False	2	True				False	7		I6		C	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	0	0	0	1	1	1	True	False	False
324	36	67	1	G	0	9	16	1	2	True	3.0	0	4	3	4	3a	27/4	3/16	False	4	True				False	7		I6		C	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	0	0	0	1	1	1	True	False	False
324	36	72	0	C	0	9	16	1	1	True	3.0	0	4	3	4	3a	27/4	3/16	False	5	True				False	7		I6		C	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	0	0	0	0	0	0	True	True	False
360	36	31	1	G	0	9	16	2	1	True	1.0	0	5	4	5	4a	15/2	3/16	False	1	True				False	8		V(64)		C	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	0	0	0	1	1	1	True	True	True
360	72	31	1	G	0	9	16	2	2	True	1.0	0	5	4	5	4a	15/2	3/8	False	1	True				False	8		V(64)		C	I		V(64)		V			64		M	False	False	(1, 0, 4)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(64), major		V	0	0	0	1	1	1	True	True	True
