onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	2	38	2	D	0	3	4	2	2	True	1.0	2	1	1	1	1a	0	1/16	True	2	True			{	False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
0	8	50	2	D	0	3	4	2	1	True	1.0	2	1	1	1	1a	0	1/4	True	3	True			{	False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
0	8	57	3	A	0	3	4	1	1	True	1.0	2	1	1	1	1a	0	1/4	True	3	True			{	False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
0	8	66	6	F	1	3	4	1	1	True	1.0	2	1	1	1	1a	0	1/4	True	4	True			{	False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
4	2	40	4	E	0	3	4	2	2	True	1.5	2	1	1	1	1a	1/2	1/16	False	2	False				False	0	D.I{	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	2	2	2	False	False	False
8	2	42	6	F	1	3	4	2	2	True	2.0	2	1	1	1	1a	1	1/16	False	2	True				False	1	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
8	8	50	2	D	0	3	4	2	1	True	2.0	2	1	1	1	1a	1	1/4	False	3	True				False	1	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	0	0	0	True	True	False
8	8	57	3	A	0	3	4	1	1	True	2.0	2	1	1	1	1a	1	1/4	False	3	True				False	1	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	1	1	1	True	False	False
8	8	66	6	F	1	3	4	1	1	True	2.0	2	1	1	1	1a	1	1/4	False	4	True				False	1	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
12	2	40	4	E	0	3	4	2	2	True	2.5	2	1	1	1	1a	3/2	1/16	False	2	False				False	1	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	2	2	2	False	False	False
16	2	42	6	F	1	3	4	2	2	True	3.0	2	1	1	1	1a	2	1/16	False	2	True				False	2	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
16	8	50	2	D	0	3	4	2	1	True	3.0	2	1	1	1	1a	2	1/4	False	3	True				False	2	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
16	8	57	3	A	0	3	4	1	1	True	3.0	2	1	1	1	1a	2	1/4	False	3	True				False	2	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
16	8	66	6	F	1	3	4	1	1	True	3.0	2	1	1	1	1a	2	1/4	False	4	True				False	2	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
20	2	38	2	D	0	3	4	2	2	True	3.5	2	1	1	1	1a	5/2	1/16	False	2	False				False	2	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
24	2	43	1	G	0	3	4	2	2	True	1.0	2	2	2	2	2a	3	1/16	False	2	True				False	3	V2	D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	-1	-1	-1	True	False	True
24	8	49	7	C	1	3	4	2	1	True	1.0	2	2	2	2	2a	3	1/4	False	3	True				False	3	V2	D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	5	5	5	True	False	False
24	8	57	3	A	0	3	4	1	1	True	1.0	2	2	2	2	2a	3	1/4	False	3	True				False	3	V2	D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	1	1	1	True	True	False
24	8	64	4	E	0	3	4	1	1	True	1.0	2	2	2	2	2a	3	1/4	False	4	True				False	3	V2	D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	2	2	2	True	False	False
28	2	45	3	A	0	3	4	2	2	True	1.5	2	2	2	2	2a	7/2	1/16	False	2	False				False	3	V2	D	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	2	2	2	1	1	1	True	True	False
32	2	42	6	F	1	3	4	2	2	True	2.0	2	2	2	2	2a	4	1/16	False	2	True				False	4	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
32	16	50	2	D	0	3	4	2	1	True	2.0	2	2	2	2	2a	4	1/2	False	3	True				False	4	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	0	0	0	True	True	False
32	16	57	3	A	0	3	4	1	1	True	2.0	2	2	2	2	2a	4	1/2	False	3	True				False	4	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	1	1	1	True	False	False
32	16	66	6	F	1	3	4	1	1	True	2.0	2	2	2	2	2a	4	1/2	False	4	True				False	4	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
36	2	40	4	E	0	3	4	2	2	True	2.5	2	2	2	2	2a	9/2	1/16	False	2	False				False	4	I6	D	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	2	2	2	False	False	False
40	2	42	6	F	1	3	4	2	2	True	3.0	2	2	2	2	2a	5	1/16	False	2	True				False	5	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
44	2	38	2	D	0	3	4	2	2	True	3.5	2	2	2	2	2a	11/2	1/16	False	2	False				False	5	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
48	2	37	7	C	1	3	4	2	2	True	1.0	2	3	3	3	3a	6	1/16	False	2	True				False	6	V65	D	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	2	2	2	5	5	5	True	False	True
48	16	52	4	E	0	3	4	2	1	True	1.0	2	3	3	3	3a	6	1/2	False	3	True				False	6	V65	D	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	2	2	2	2	2	2	True	False	False
48	16	57	3	A	0	3	4	1	1	True	1.0	2	3	3	3	3a	6	1/2	False	3	True				False	6	V65	D	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	2	2	2	1	1	1	True	True	False
48	16	67	1	G	0	3	4	1	1	True	1.0	2	3	3	3	3a	6	1/2	False	4	True				False	6	V65	D	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	2	2	2	-1	-1	-1	True	False	False
52	2	45	3	A	0	3	4	2	2	True	1.5	2	3	3	3	3a	13/2	1/16	False	2	False				False	6	V65	D	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	2	2	2	1	1	1	True	True	False
56	2	47	5	B	0	3	4	2	2	True	2.0	2	3	3	3	3a	7	1/16	False	2	False				False	6	V65	D	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	2	2	2	3	3	3	False	False	False
60	2	49	7	C	1	3	4	2	2	True	2.5	2	3	3	3	3a	15/2	1/16	False	3	False				False	6	V65	D	I		V65	V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	2	2	2	5	5	5	True	False	True
64	2	50	2	D	0	3	4	2	2	True	3.0	2	3	3	3	3a	8	1/16	False	3	True				False	7	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
64	8	50	2	D	0	3	4	2	1	True	3.0	2	3	3	3	3a	8	1/4	False	3	True				False	7	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
64	8	57	3	A	0	3	4	1	1	True	3.0	2	3	3	3	3a	8	1/4	False	3	True				False	7	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
64	8	66	6	F	1	3	4	1	1	True	3.0	2	3	3	3	3a	8	1/4	False	4	True				False	7	I	D	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
68	2	44	8	G	1	3	4	2	2	True	3.5	2	3	3	3	3a	17/2	1/16	False	2	True				False	8	vii%7(+2)/V	D	I		vii%7(+2)/V	vii	%	7	+2	V	%7	False	False	(6, 3, 0, 4)	(1,)	6	6	major	major	I	I, major	vii/V	V	V/I	V	False	vii%7/V	vii%7/V, major		vii%7(+2)/V, major	V	V	2	2	3	6	6	5	True	True	True
72	4	45	3	A	0	3	4	2	2	True	1.0	2	4	4	4	4a	9	1/8	False	2	True	HC	HC	}	True	9	V|HC}	D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	2	2	2	1	1	1	True	True	True
72	4	49	7	C	1	3	4	2	2	True	1.0	2	4	4	4	4a	9	1/8	False	3	True	HC	HC	}	True	9	V|HC}	D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	2	2	2	5	5	5	True	False	False
72	4	57	3	A	0	3	4	1	1	True	1.0	2	4	4	4	4a	9	1/8	False	3	True	HC	HC	}	True	9	V|HC}	D	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	2	2	2	1	1	1	True	True	True
