onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	30	50	2	D	0	2	4	2	1	True	1.0	6	1	1	1	1a	0	3/8	True	3	True			{	False	0	F#.It6{		F#	I		It6	It	vii	o	6	b3	V	It	False	False	(-4, 0, 6)	()	6	-4	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major		It6, major	V	V	6	6	7	-4	-4	-5	True	False	True
0	30	54	6	F	1	2	4	2	1	True	1.0	6	1	1	1	1a	0	3/8	True	3	True			{	False	0	F#.It6{		F#	I		It6	It	vii	o	6	b3	V	It	False	False	(-4, 0, 6)	()	6	-4	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major		It6, major	V	V	6	6	7	0	0	-1	True	False	False
0	30	66	6	F	1	2	4	1	1	True	1.0	6	1	1	1	1a	0	3/8	True	4	True			{	False	0	F#.It6{		F#	I		It6	It	vii	o	6	b3	V	It	False	False	(-4, 0, 6)	()	6	-4	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major		It6, major	V	V	6	6	7	0	0	-1	True	False	False
0	30	72	12	B	1	2	4	1	1	True	1.0	6	1	1	1	1a	0	3/8	True	4	True			{	False	0	F#.It6{		F#	I		It6	It	vii	o	6	b3	V	It	False	False	(-4, 0, 6)	()	6	-4	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major		It6, major	V	V	6	6	7	6	6	5	True	True	False
30	10	49	7	C	1	2	4	2	1	True	2.5	6	1	1	1	1a	3/2	1/8	False	3	True				False	1	V		F#	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	6	6	6	1	1	1	True	True	True
30	10	56	8	G	1	2	4	2	1	True	2.5	6	1	1	1	1a	3/2	1/8	False	3	True				False	1	V		F#	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	6	6	6	2	2	2	True	False	False
30	10	65	11	E	1	2	4	1	1	True	2.5	6	1	1	1	1a	3/2	1/8	False	4	True				False	1	V		F#	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	6	6	6	5	5	5	True	False	False
30	10	73	7	C	1	2	4	1	1	True	2.5	6	1	1	1	1a	3/2	1/8	False	5	True				False	1	V		F#	I		V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	6	6	6	1	1	1	True	True	True
40	10	47	5	B	0	2	4	2	1	True	1.0	6	2	2	2	2a	2	1/8	False	2	True				False	2	V2		F#	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	6	6	6	-1	-1	-1	True	False	True
40	10	49	7	C	1	2	4	2	1	True	1.0	6	2	2	2	2a	2	1/8	False	3	True				False	2	V2		F#	I		V2		V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	6	6	6	1	1	1	True	True	False
