onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	2.0	0.0	60	0	C	0.0	4.0	4	4	4	1.0	1.0	1/4	True	-1	1.0	1.0	0.0	0a	4	0	True	True			{	False	0	F.V{		F	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-1	-1	-1	1	1	1	True	True	True
2.0	2.0	1.0	41	-1	F	0.0	1.0	1	4	4	2.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	2	1	True	True				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
2.0	8.0	1.0	41	-1	F	0.0	1.0	1	4	4	2.0	2.0	1	True	-1	2.0	2.0	1.0	1a	2	1	True	True				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
2.0	4.0	1.0	65	-1	F	0.0	1.0	1	4	4	1.0	1.0	1/2	True	-1	2.0	2.0	1.0	1a	4	1	True	True				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
4.0	6.0	2.0	48	0	C	0.0	2.0	2	4	4	2.0	1.0	3/4	True	-1	2.0	2.0	1.0	1a	3	2	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
4.0	6.0	2.0	53	-1	F	0.0	2.0	2	4	4	1.0	2.0	3/4	True	-1	2.0	2.0	1.0	1a	3	2	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
4.0	6.0	2.0	57	3	A	0.0	2.0	2	4	4	2.0	1.0	3/4	True	-1	2.0	2.0	1.0	1a	3	2	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
4.0	6.0	2.0	60	0	C	0.0	2.0	2	4	4	1.0	2.0	3/4	True	-1	2.0	2.0	1.0	1a	4	2	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
6.0	1.0	3.0	65	-1	F	0.0	3.0	3	4	4	1.0	1.0	1/8	False	-1	2.0	2.0	1.0	1a	4	3	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
7.0	1.0	3.5	64	4	E	0.0	3.5	0	4	4	1.0	1.0	1/8	True	-1	2.0	2.0	1.0	1a	4	7/2	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	5	5	5	False	False	False
8.0	1.0	4.0	65	-1	F	0.0	4.0	4	4	4	1.0	1.0	1/8	True	-1	2.0	2.0	1.0	1a	4	4	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
9.0	1.0	4.5	69	3	A	0.0	4.5	0	4	4	1.0	1.0	1/8	True	-1	2.0	2.0	1.0	1a	4	9/2	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
10.0	2.0	5.0	41	-1	F	0.0	1.0	1	4	4	2.0	2.0	1/4	False	-1	3.0	3.0	2.0	2a	2	5	False	False				False	1	I		F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
