onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	96.0	0.0	37	7	C	1.0	1.0	1	4	4	2.0	2.0	1	True	-1	1.0	1.0	1.0	1a	2	0	True	True			{	False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	5	5	5	True	False	True
0.0	96.0	0.0	40	4	E	0.0	1.0	1	4	4	2.0	2.0	1	True	-1	1.0	1.0	1.0	1a	2	0	True	True			{	False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	2	2	2	True	False	False
0.0	96.0	0.0	45	3	A	0.0	1.0	1	4	4	2.0	2.0	1	True	-1	1.0	1.0	1.0	1a	2	0	True	True			{	False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	1	1	1	True	True	False
0.0	48.0	0.0	49	7	C	1.0	1.0	1	4	4	2.0	1.0	1/2	True	-1	1.0	1.0	1.0	1a	3	0	True	True			{	False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	5	5	5	True	False	True
0.0	48.0	0.0	52	4	E	0.0	1.0	1	4	4	2.0	1.0	1/2	True	-1	1.0	1.0	1.0	1a	3	0	True	True			{	False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	2	2	2	True	False	False
0.0	48.0	0.0	57	3	A	0.0	1.0	1	4	4	2.0	1.0	1/2	True	-1	1.0	1.0	1.0	1a	3	0	True	True			{	False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	1	1	1	True	True	False
48.0	24.0	2.0	61	7	C	1.0	3.0	3	4	4	1.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	4	2	False	False				False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	5	5	5	True	False	True
72.0	24.0	3.0	64	4	E	0.0	4.0	4	4	4	1.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	4	3	False	False				False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	2	2	2	True	False	False
96.0	72.0	4.0	37	7	C	1.0	1.0	1	4	4	2.0	1.0	3/4	False	-1	2.0	2.0	2.0	2a	2	4	False	False				False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	5	5	5	True	False	True
96.0	72.0	4.0	40	4	E	0.0	1.0	1	4	4	2.0	1.0	3/4	False	-1	2.0	2.0	2.0	2a	2	4	False	False				False	0		d.V6{		d	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	2	2	2	2	2	2	True	False	False
