onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	60.0	0.0	50	2	D	0.0	4.5	0	4	4	2.0	1.0	1/8	True	2	1.0	1.0	0.0	0a	3	0	True	True			{	False	0	D.I{		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
0.0	60.0	0.0	57	3	A	0.0	4.5	0	4	4	1.0	2.0	1/8	True	2	1.0	1.0	0.0	0a	3	0	True	True			{	False	0	D.I{		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
0.0	60.0	0.0	62	2	D	0.0	4.5	0	4	4	1.0	2.0	1/8	True	2	1.0	1.0	0.0	0a	4	0	True	True			{	False	0	D.I{		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
0.0	60.0	0.0	66	6	F	1.0	4.5	0	4	4	1.0	1.0	1/8	True	2	1.0	1.0	0.0	0a	4	0	True	True			{	False	0	D.I{		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
60.0	60.0	0.5	47	5	B	0.0	1.0	1	4	4	2.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	2	1/2	False	True				False	1	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	3	3	3	True	False	False
60.0	120.0	0.5	59	5	B	0.0	1.0	1	4	4	1.0	2.0	1/4	True	2	2.0	2.0	1.0	1a	3	1/2	False	True				False	1	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	3	3	3	True	False	False
60.0	120.0	0.5	62	2	D	0.0	1.0	1	4	4	1.0	2.0	1/4	False	2	2.0	2.0	1.0	1a	4	1/2	False	True				False	1	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	0	0	0	True	False	False
60.0	60.0	0.5	67	1	G	0.0	1.0	1	4	4	1.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	4	1/2	False	True				False	1	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	-1	-1	-1	True	True	True
120.0	60.0	1.0	43	1	G	0.0	1.5	0	4	4	2.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	2	1	False	False				False	1	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	-1	-1	-1	True	True	True
120.0	60.0	1.0	71	5	B	0.0	1.5	0	4	4	1.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	4	1	False	False				False	1	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	3	3	3	True	False	False
480.0	60.0	4.0	50	2	D	0.0	4.5	0	4	4	2.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	3	4	False	True				False	2	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
480.0	60.0	4.0	57	3	A	0.0	4.5	0	4	4	1.0	2.0	1/8	True	2	2.0	2.0	1.0	1a	3	4	False	True				False	2	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
480.0	60.0	4.0	62	2	D	0.0	4.5	0	4	4	1.0	2.0	1/8	True	2	2.0	2.0	1.0	1a	4	4	False	True				False	2	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
480.0	60.0	4.0	66	6	F	1.0	4.5	0	4	4	1.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	4	4	False	True				False	2	I		D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
540.0	60.0	4.5	47	5	B	0.0	1.0	1	4	4	2.0	1.0	1/8	True	2	3.0	3.0	2.0	2a	2	9/2	False	True				False	3	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	3	3	3	True	False	False
540.0	120.0	4.5	59	5	B	0.0	1.0	1	4	4	1.0	2.0	1/4	True	2	3.0	3.0	2.0	2a	3	9/2	False	True				False	3	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	3	3	3	True	False	False
540.0	120.0	4.5	62	2	D	0.0	1.0	1	4	4	1.0	2.0	1/4	False	2	3.0	3.0	2.0	2a	4	9/2	False	True				False	3	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	0	0	0	True	False	False
540.0	60.0	4.5	67	1	G	0.0	1.0	1	4	4	1.0	1.0	1/8	True	2	3.0	3.0	2.0	2a	4	9/2	False	True				False	3	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	-1	-1	-1	True	True	True
600.0	60.0	5.0	43	1	G	0.0	1.5	0	4	4	2.0	1.0	1/8	True	2	3.0	3.0	2.0	2a	2	5	False	False				False	3	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	-1	-1	-1	True	True	True
600.0	60.0	5.0	71	5	B	0.0	1.5	0	4	4	1.0	1.0	1/8	True	2	3.0	3.0	2.0	2a	4	5	False	False				False	3	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	3	3	3	True	False	False
960.0	60.0	8.0	67	1	G	0.0	4.5	0	4	4	2.0	1.0	1/8	True	2	3.0	3.0	2.0	2a	4	8	False	False				False	3	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	-1	-1	-1	True	True	True
960.0	60.0	8.0	71	5	B	0.0	4.5	0	4	4	1.0	1.0	1/8	True	2	3.0	3.0	2.0	2a	4	8	False	False				False	3	IV		D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	3	3	3	True	False	False
1020.0	120.0	8.5	66	6	F	1.0	1.0	1	4	4	2.0	1.0	1/4	True	2	4.0	4.0	3.0	3a	4	17/2	False	True				False	4	I6		D	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	4	4	4	True	False	True
1020.0	60.0	8.5	69	3	A	0.0	1.0	1	4	4	1.0	1.0	1/8	True	2	4.0	4.0	3.0	3a	4	17/2	False	True				False	4	I6		D	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	1	1	1	True	False	False
1080.0	60.0	9.0	74	2	D	0.0	1.5	0	4	4	1.0	1.0	1/8	True	2	4.0	4.0	3.0	3a	5	9	False	False				False	4	I6		D	I		I6		I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	2	2	2	0	0	0	True	True	False
1140.0	120.0	9.5	64	4	E	0.0	2.0	2	4	4	2.0	1.0	1/4	True	2	4.0	4.0	3.0	3a	4	19/2	False	True				False	5	viio6		D	I		viio6		vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	2	2	2	2	2	2	True	False	True
