onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	12.0	0.0	78	6	F	1.0	3.0	3	3	4	1.0	1.0	1/4	True	2	1.0	1.0	0.0	0a	5	0	True	True			{	False	0	.b.V{		b	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	5	5	5	1	1	1	True	True	True
12.0	12.0	1.0	47	5	B	0.0	1.0	1	3	4	2.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	2	1	False	True				False	1	i[i		b	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	5	5	5	0	0	0	True	True	True
12.0	6.0	1.0	78	6	F	1.0	1.0	1	3	4	1.0	1.0	1/8	False	2	2.0	2.0	1.0	1a	5	1	False	True				False	1	i[i		b	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	5	5	5	1	1	1	True	False	False
18.0	6.0	1.5	83	5	B	0.0	1.5	0	3	4	1.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	5	3/2	False	False				False	1	i[i		b	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	5	5	5	0	0	0	True	True	True
24.0	12.0	2.0	55	1	G	0.0	2.0	2	3	4	2.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	3	2	False	True				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	-4	-4	-4	True	False	False
24.0	12.0	2.0	59	5	B	0.0	2.0	2	3	4	2.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	3	2	False	True				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	0	0	0	True	False	True
24.0	12.0	2.0	64	4	E	0.0	2.0	2	3	4	2.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	4	2	False	True				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	-1	-1	-1	True	True	False
24.0	12.0	2.0	79	1	G	0.0	2.0	2	3	4	1.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	5	2	False	True				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	-4	-4	-4	True	False	False
36.0	12.0	3.0	55	1	G	0.0	3.0	3	3	4	2.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	3	3	False	False				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	-4	-4	-4	True	False	False
36.0	12.0	3.0	59	5	B	0.0	3.0	3	3	4	2.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	3	3	False	False				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	0	0	0	True	False	True
36.0	12.0	3.0	64	4	E	0.0	3.0	3	3	4	2.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	4	3	False	False				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	-1	-1	-1	True	True	False
36.0	6.0	3.0	78	6	F	1.0	3.0	3	3	4	1.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	5	3	False	False				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	1	1	1	False	False	False
42.0	6.0	3.5	76	4	E	0.0	3.5	0	3	4	1.0	1.0	1/8	True	2	2.0	2.0	1.0	1a	5	7/2	False	False				False	2	iv64		b	i	i	iv64		iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor	i	iv64, minor		iv	5	5	5	-1	-1	-1	True	True	False
48.0	0.0	4.0	78	6	F	1.0	1.0	1	3	4	1.0	1.0	0	True	2	3.0	3.0	2.0	2a	5	4	False	True				False	3	i		b	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	5	5	5	1	1	1	True	False	False
48.0	12.0	4.0	47	5	B	0.0	1.0	1	3	4	2.0	1.0	1/4	True	2	3.0	3.0	2.0	2a	2	4	False	True				False	3	i		b	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	5	5	5	0	0	0	True	True	True
