onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	24.0	0.0	41	-1	F	0.0	1.0	1	2	4	4.0	1.0	1/2	True	-4	1.0	1.0	1.0	1a	2	0	True	True				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	0	0	0	True	True	True
0.0	24.0	0.0	48	0	C	0.0	1.0	1	2	4	4.0	1.0	1/2	True	-4	1.0	1.0	1.0	1a	3	0	True	True				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	1	1	1	True	False	False
18.0	6.0	1.5	60	0	C	0.0	2.5	0	2	4	1.0	1.0	1/8	True	-4	1.0	1.0	1.0	1a	4	3/2	False	False				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	1	1	1	True	False	False
24.0	24.0	2.0	41	-1	F	0.0	1.0	1	2	4	4.0	1.0	1/2	True	-4	2.0	2.0	2.0	2a	2	2	False	False				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	0	0	0	True	True	True
24.0	24.0	2.0	48	0	C	0.0	1.0	1	2	4	4.0	1.0	1/2	True	-4	2.0	2.0	2.0	2a	3	2	False	False				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	1	1	1	True	False	False
24.0	6.0	2.0	56	-4	A	-1.0	1.0	1	2	4	1.0	1.0	1/8	True	-4	2.0	2.0	2.0	2a	3	2	False	False				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
30.0	12.0	2.5	60	0	C	0.0	1.5	0	2	4	1.0	1.0	1/4	True	-4	2.0	2.0	2.0	2a	4	5/2	False	False				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	1	1	1	True	False	False
42.0	6.0	3.5	56	-4	A	-1.0	2.5	0	2	4	2.0	1.0	1/8	True	-4	2.0	2.0	2.0	2a	3	7/2	False	False				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	-3	-3	-3	True	False	False
42.0	6.0	3.5	65	-1	F	0.0	2.5	0	2	4	1.0	1.0	1/8	True	-4	2.0	2.0	2.0	2a	4	7/2	False	False				False	0	f.i[i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	0	0	0	True	True	True
48.0	24.0	4.0	41	-1	F	0.0	1.0	1	2	4	4.0	1.0	1/2	True	-4	3.0	3.0	3.0	3a	2	4	False	True				False	1	V7	f	i	i	V7		V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor	i	V7, minor		V	-1	-1	-1	0	0	0	False	False	False
48.0	24.0	4.0	48	0	C	0.0	1.0	1	2	4	4.0	1.0	1/2	True	-4	3.0	3.0	3.0	3a	3	4	False	True				False	1	V7	f	i	i	V7		V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor	i	V7, minor		V	-1	-1	-1	1	1	1	True	True	True
48.0	6.0	4.0	60	0	C	0.0	1.0	1	2	4	2.0	1.0	1/8	True	-4	3.0	3.0	3.0	3a	4	4	False	True				False	1	V7	f	i	i	V7		V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor	i	V7, minor		V	-1	-1	-1	1	1	1	True	True	True
48.0	6.0	4.0	68	-4	A	-1.0	1.0	1	2	4	1.0	1.0	1/8	True	-4	3.0	3.0	3.0	3a	4	4	False	True				False	1	V7	f	i	i	V7		V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor	i	V7, minor		V	-1	-1	-1	-3	-3	-3	False	False	False
54.0	12.0	4.5	58	-2	B	-1.0	1.5	0	2	4	2.0	1.0	1/4	True	-4	3.0	3.0	3.0	3a	3	9/2	False	True				False	2	i	f	i	i	i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor	i	i, minor		i	-1	-1	-1	-1	-1	-1	False	False	False
