onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	0	0.0	57	3	A	0	1.0	1	4	4	2	1	0	True	-1	1	1	1	1a	3	0	True	True			{	False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	1	7	7	True	False	False
0	20160	0.0	57	3	A	0	1.0	1	4	4	2	1	1/2	True	-1	1	1	1	1a	3	0	True	True			{	False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	1	7	7	True	False	False
0	20160	0.0	69	3	A	0	1.0	1	4	4	2	1	1/2	True	-1	1	1	1	1a	4	0	True	True			{	False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	1	7	7	True	False	False
20160	20160	2.0	52	4	E	0	3.0	3	4	4	2	1	1/2	True	-1	1	1	1	1a	3	2	False	False				False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	2	8	8	False	False	False
20160	20160	2.0	64	4	E	0	3.0	3	4	4	2	1	1/2	True	-1	1	1	1	1a	4	2	False	False				False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	2	8	8	False	False	False
40320	0	4.0	45	3	A	0	1.0	1	4	4	2	1	0	True	-1	2	2	2	2a	2	4	False	False				False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	1	7	7	True	False	False
40320	10080	4.0	45	3	A	0	1.0	1	4	4	2	1	1/4	True	-1	2	2	2	2a	2	4	False	False				False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	1	7	7	True	False	False
40320	10080	4.0	57	3	A	0	1.0	1	4	4	2	1	1/4	True	-1	2	2	2	2a	3	4	False	False				False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	1	7	7	True	False	False
50400	0	5.0	33	3	A	0	2.0	2	4	4	2	1	0	True	-1	2	2	2	2a	1	5	False	False				False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	1	7	7	True	False	False
50400	10080	5.0	39	-3	E	-1	2.0	2	4	4	2	1	1/4	True	-1	2	2	2	2a	2	5	False	False				False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	-5	1	1	True	True	True
50400	10080	5.0	45	3	A	0	2.0	2	4	4	2	1	1/4	True	-1	2	2	2	2a	2	5	False	False				False	0	D.bV.V(#4){		D	bV		V(#4)		V			#4		M	False	False	(1, 5, 7)	()	1	1	major	major	bV	bV, major	V		bV	bV	False	V	V, major		V(#4), major		V	V	5		2	-4	-4	3	3	A	A	Ab	Ab	major triad	0	True	True	True	True	True	1	7	7	True	False	False
