onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
2.0	2.0	0.125	60	0	C	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	1/4	False	False				False																																										
4.0	2.0	0.25	62	2	D	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	1/2	False	False				False																																										
6.0	2.0	0.375	64	4	E	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	3/4	False	False				False																																										
8.0	2.0	0.5	65	-1	F	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	1	False	False				False																																										
10.0	2.0	0.625	67	1	G	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	5/4	False	False				False																																										
12.0	2.0	0.75	69	3	A	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	3/2	False	False				False																																										
14.0	2.0	0.875	65	-1	F	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	7/4	False	False				False																																										
16.0	2.0	1.0	70	-2	B	-1.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	2	False	True				False	1	IV	F	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	-1	-1	-1	-1	-1	-1	True	True	True
18.0	2.0	1.125	72	0	C	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	5	9/4	False	False				False	1	IV	F	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	-1	-1	-1	1	1	1	False	False	False
20.0	2.0	1.25	70	-2	B	-1.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	5/2	False	False				False	1	IV	F	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	-1	-1	-1	-1	-1	-1	True	True	True
22.0	2.0	1.375	69	3	A	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	11/4	False	False				False	1	IV	F	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	-1	-1	-1	4	4	4	False	False	False
24.0	2.0	1.5	67	1	G	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	3	False	True				False	2	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	2	2	2	True	False	True
26.0	2.0	1.625	72	0	C	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	5	13/4	False	False				False	2	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	1	1	1	True	True	False
28.0	2.0	1.75	70	-2	B	-1.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	7/2	False	False				False	2	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	-1	-1	-1	True	False	False
30.0	2.0	1.875	72	0	C	0.0	2	2	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	5	15/4	False	False				False	2	V43	F	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-1	-1	-1	1	1	1	True	True	False
32.0	4.0	2.0	69	3	A	0.0	2	2	1.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	4	4	False	True				False	3	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	4	4	4	True	False	False
34.0	2.0	2.125	48	0	C	0.0	2	2	2.0	1.0	1/16	True	-1	2.0	2.0	2.0	2a	3	17/4	False	False				False	3	I	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	1	1	1	True	False	False
