onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
6.0	2.0	0.75	69	3	A	0.0	4	4	1.0	2.0	1/16	True		1.0	1.0	1.0	1a	4	3/4	False	False				False																																											
8.0	6.0	1.0	74	2	D	0.0	4	4	1.0	2.0	3/16	True		1.0	1.0	1.0	1a	5	1	False	False				False																																											
14.0	2.0	1.75	69	3	A	0.0	4	4	1.0	2.0	1/16	True		1.0	1.0	1.0	1a	4	7/4	False	False				False																																											
16.0	4.0	2.0	70	-2	B	-1.0	4	4	1.0	2.0	1/8	True		1.0	1.0	1.0	1a	4	2	False	True				False	1	VI	iv6	d	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	2	2	2	-4	-4	-4	True	True	True
20.0	1.0	2.5	70	-2	B	-1.0	4	4	1.0	2.0	1/32	False		1.0	1.0	1.0	1a	4	5/2	False	False				False	1	VI	iv6	d	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	2	2	2	-4	-4	-4	True	True	True
21.0	1.0	2.625	69	3	A	0.0	4	4	1.0	2.0	1/32	True		1.0	1.0	1.0	1a	4	21/8	False	False				False	1	VI	iv6	d	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	2	2	2	1	1	1	False	False	False
22.0	1.0	2.75	67	1	G	0.0	4	4	1.0	2.0	1/32	True		1.0	1.0	1.0	1a	4	11/4	False	False				False	1	VI	iv6	d	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	2	2	2	-1	-1	-1	False	False	False
23.0	1.0	2.875	65	-1	F	0.0	4	4	1.0	2.0	1/32	True		1.0	1.0	1.0	1a	4	23/8	False	False				False	1	VI	iv6	d	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	2	2	2	-3	-3	-3	True	False	False
24.0	6.0	3.0	64	4	E	0.0	4	4	1.0	2.0	3/16	True		1.0	1.0	1.0	1a	4	3	False	True				False	2	iio	#viio6	d	i		iio	ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	2	2	2	2	2	2	True	True	True
30.0	2.0	3.75	67	1	G	0.0	4	4	1.0	2.0	1/16	True		1.0	1.0	1.0	1a	4	15/4	False	False				False	2	iio	#viio6	d	i		iio	ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	2	2	2	-1	-1	-1	True	False	False
