onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
4.0	4.0	1.0	74	2	D	0.0	3	8	1.0	1.0	1/8	True		1.0	1.0	1.0	1a	5	1/2	False	False				False																																										
8.0	4.0	2.0	74	2	D	0.0	3	8	1.0	1.0	1/8	True		1.0	1.0	1.0	1a	5	1	False	False				False																																										
12.0	4.0	3.0	70	-2	B	-1.0	3	8	1.0	1.0	1/8	True	-2	2.0	2.0	2.0	2a	4	3/2	False	True				False	1	i6	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-3	-3	-3	True	False	True
16.0	4.0	4.0	67	1	G	0.0	3	8	1.0	2.0	1/8	True	-2	2.0	2.0	2.0	2a	4	2	False	True				False	2	i	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
16.0	4.0	4.0	70	-2	B	-1.0	3	8	1.0	1.0	1/8	True	-2	2.0	2.0	2.0	2a	4	2	False	True				False	2	i	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
20.0	4.0	5.0	67	1	G	0.0	3	8	1.0	2.0	1/8	True	-2	2.0	2.0	2.0	2a	4	5/2	False	False				False	2	i	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
20.0	4.0	5.0	70	-2	B	-1.0	3	8	1.0	1.0	1/8	True	-2	2.0	2.0	2.0	2a	4	5/2	False	False				False	2	i	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
24.0	4.0	6.0	66	6	F	1.0	3	8	1.0	2.0	1/8	True	-2	3.0	3.0	3.0	3a	4	3	False	True				False	3	V6	g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	5	5	5	True	False	True
24.0	2.0	6.0	69	3	A	0.0	3	8	1.0	1.0	1/16	True	-2	3.0	3.0	3.0	3a	4	3	False	True				False	3	V6	g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	2	2	2	True	False	False
26.0	2.0	6.5	67	1	G	0.0	3	8	1.0	1.0	1/16	True	-2	3.0	3.0	3.0	3a	4	13/4	False	False				False	3	V6	g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	0	0	0	False	False	False
