onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	45.0	0.0	65	-1	F	0.0	3.0	3	3	4	1.0	1.0	3/16	True	-1	1.0	1.0	0.0	0a	4	0	True	True			{	False	0	d.i6{		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
0.0	45.0	0.0	69	3	A	0.0	3.0	3	3	4	1.0	1.0	3/16	True	-1	1.0	1.0	0.0	0a	4	0	True	True			{	False	0	d.i6{		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	1	1	1	True	False	False
45.0	15.0	0.75	74	2	D	0.0	3.75	0	3	4	1.0	1.0	1/16	True	-1	1.0	1.0	0.0	0a	5	3/4	False	False				False	0	d.i6{		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
45.0	15.0	0.75	77	-1	F	0.0	3.75	0	3	4	1.0	1.0	1/16	True	-1	1.0	1.0	0.0	0a	5	3/4	False	False				False	0	d.i6{		d	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
60.0	60.0	1.0	58	-2	B	-1.0	1.0	1	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	3	1	False	True				False	1	ii%43		d	i		ii%43		ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	2	2	2	-4	-4	-4	True	False	True
60.0	60.0	1.0	62	2	D	0.0	1.0	1	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	4	1	False	True				False	1	ii%43		d	i		ii%43		ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	2	2	2	0	0	0	True	False	False
60.0	120.0	1.0	64	4	E	0.0	1.0	1	3	4	1.0	1.0	1/2	True	-1	2.0	2.0	1.0	1a	4	1	False	True				False	1	ii%43		d	i		ii%43		ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	2	2	2	2	2	2	True	True	False
60.0	120.0	1.0	67	1	G	0.0	1.0	1	3	4	1.0	1.0	1/2	True	-1	2.0	2.0	1.0	1a	4	1	False	True				False	1	ii%43		d	i		ii%43		ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	2	2	2	-1	-1	-1	True	False	False
120.0	60.0	2.0	43	1	G	0.0	2.0	2	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	2	2	False	True				False	2	ii%65		d	i		ii%65		ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	2	2	2	-1	-1	-1	True	False	True
120.0	60.0	2.0	50	2	D	0.0	2.0	2	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	3	2	False	True				False	2	ii%65		d	i		ii%65		ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	2	2	2	0	0	0	True	False	False
