onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
4.0	0.0	1.0	44	8	G	1.0	2.0	2	2	4	2.0	1.0	0	True		1.0	1.0	1.0	1a	2	1	False	False				False																																										
4.0	4.0	1.0	38	2	D	0.0	2.0	2	2	4	2.0	1.0	1/4	True		1.0	1.0	1.0	1a	2	1	False	False				False																																										
4.0	4.0	1.0	45	3	A	0.0	2.0	2	2	4	2.0	1.0	1/4	True		1.0	1.0	1.0	1a	2	1	False	False				False																																										
8.0	4.0	2.0	38	2	D	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	2.0	2.0	2.0	2a	2	2	False	False				False																																										
8.0	4.0	2.0	45	3	A	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	2.0	2.0	2.0	2a	2	2	False	False				False																																										
12.0	0.0	3.0	44	8	G	1.0	2.0	2	2	4	2.0	1.0	0	True	2	2.0	2.0	2.0	2a	2	3	False	False				False																																										
12.0	4.0	3.0	38	2	D	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	2.0	2.0	2.0	2a	2	3	False	False				False																																										
12.0	4.0	3.0	45	3	A	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	2.0	2.0	2.0	2a	2	3	False	False				False																																										
16.0	4.0	4.0	38	2	D	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	3.0	3.0	3.0	3a	2	4	False	False				False																																										
16.0	4.0	4.0	45	3	A	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	3.0	3.0	3.0	3a	2	4	False	False				False																																										
20.0	0.0	5.0	44	8	G	1.0	2.0	2	2	4	2.0	1.0	0	True	2	3.0	3.0	3.0	3a	2	5	False	False				False																																										
20.0	4.0	5.0	38	2	D	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	3.0	3.0	3.0	3a	2	5	False	False				False																																										
20.0	4.0	5.0	45	3	A	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	3.0	3.0	3.0	3a	2	5	False	False				False																																										
24.0	4.0	6.0	38	2	D	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	4.0	4.0	4.0	4a	2	6	False	False				False																																										
24.0	4.0	6.0	45	3	A	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	4.0	4.0	4.0	4a	2	6	False	False				False																																										
28.0	0.0	7.0	44	8	G	1.0	2.0	2	2	4	2.0	1.0	0	True	2	4.0	4.0	4.0	4a	2	7	False	False				False																																										
28.0	4.0	7.0	38	2	D	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	4.0	4.0	4.0	4a	2	7	False	False				False																																										
28.0	4.0	7.0	45	3	A	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	4.0	4.0	4.0	4a	2	7	False	False				False																																										
32.0	4.0	8.0	38	2	D	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	5.0	5.0	5.0	5a	2	8	False	False				False																																										
32.0	4.0	8.0	45	3	A	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	5.0	5.0	5.0	5a	2	8	False	False				False																																										
32.0	2.0	8.0	62	2	D	0.0	1.0	1	2	4	1.0	1.0	1/8	True	2	5.0	5.0	5.0	5a	4	8	False	False				False																																										
34.0	1.0	8.5	64	4	E	0.0	1.5	0	2	4	1.0	1.0	1/16	True	2	5.0	5.0	5.0	5a	4	17/2	False	False				False																																										
35.0	1.0	8.75	66	6	F	1.0	1.75	0	2	4	1.0	1.0	1/16	True	2	5.0	5.0	5.0	5a	4	35/4	False	False				False																																										
36.0	0.0	9.0	44	8	G	1.0	2.0	2	2	4	2.0	1.0	0	True	2	5.0	5.0	5.0	5a	2	9	False	False				False																																										
36.0	4.0	9.0	38	2	D	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	5.0	5.0	5.0	5a	2	9	False	False				False																																										
36.0	4.0	9.0	45	3	A	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	5.0	5.0	5.0	5a	2	9	False	False				False																																										
36.0	2.0	9.0	62	2	D	0.0	2.0	2	2	4	1.0	1.0	1/8	True	2	5.0	5.0	5.0	5a	4	9	False	False				False																																										
36.0	4.0	9.0	62	2	D	0.0	2.0	2	2	4	1.0	2.0	1/4	True	2	5.0	5.0	5.0	5a	4	9	False	False				False																																										
38.0	1.0	9.5	61	7	C	1.0	2.5	0	2	4	1.0	1.0	1/16	True	2	5.0	5.0	5.0	5a	4	19/2	False	False				False																																										
39.0	1.0	9.75	57	3	A	0.0	2.75	0	2	4	1.0	1.0	1/16	True	2	5.0	5.0	5.0	5a	3	39/4	False	False				False																																										
40.0	4.0	10.0	38	2	D	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	6.0	6.0	6.0	6a	2	10	False	False				False																																										
40.0	4.0	10.0	45	3	A	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	6.0	6.0	6.0	6a	2	10	False	False				False																																										
40.0	2.0	10.0	62	2	D	0.0	1.0	1	2	4	1.0	1.0	1/8	True	2	6.0	6.0	6.0	6a	4	10	False	False				False																																										
42.0	1.0	10.5	64	4	E	0.0	1.5	0	2	4	1.0	1.0	1/16	True	2	6.0	6.0	6.0	6a	4	21/2	False	False				False																																										
43.0	1.0	10.75	66	6	F	1.0	1.75	0	2	4	1.0	1.0	1/16	True	2	6.0	6.0	6.0	6a	4	43/4	False	False				False																																										
44.0	0.0	11.0	44	8	G	1.0	2.0	2	2	4	2.0	1.0	0	True	2	6.0	6.0	6.0	6a	2	11	False	False				False																																										
44.0	4.0	11.0	38	2	D	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	6.0	6.0	6.0	6a	2	11	False	False				False																																										
44.0	4.0	11.0	45	3	A	0.0	2.0	2	2	4	2.0	1.0	1/4	True	2	6.0	6.0	6.0	6a	2	11	False	False				False																																										
44.0	2.0	11.0	62	2	D	0.0	2.0	2	2	4	1.0	1.0	1/8	True	2	6.0	6.0	6.0	6a	4	11	False	False				False																																										
46.0	2.0	11.5	62	2	D	0.0	2.5	0	2	4	1.0	1.0	1/8	True	2	6.0	6.0	6.0	6a	4	23/2	False	False				False																																										
48.0	4.0	12.0	38	2	D	0.0	1.0	1	2	4	2.0	1.0	1/4	False	2	7.0	7.0	7.0	7a	2	12	False	False				False																																										
