onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	2.0	0.0	55	1	G	0.0	3	4	2.0	1.0	1/4	True	-1	1.0	1.0	0.0	0a	3	0	True	True			{	False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
0.0	2.0	0.0	74	2	D	0.0	3	4	1.0	1.0	1/4	True	-1	1.0	1.0	0.0	0a	5	0	True	True			{	False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
2.0	2.0	1.0	58	-2	B	-1.0	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	3	1	False	True				False	1	i6	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	-3	-3	-3	True	False	True
2.0	2.0	1.0	79	1	G	0.0	3	4	1.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	5	1	False	True				False	1	i6	g	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	1	1	1	0	0	0	True	True	False
4.0	2.0	2.0	57	3	A	0.0	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	3	2	False	True				False	2	V43	g	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	1	1	1	2	2	2	True	False	True
4.0	2.0	2.0	78	6	F	1.0	3	4	1.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	5	2	False	True				False	2	V43	g	i		V43	V		43			Mm7	True	True	(2, -1, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V43	V43, minor		V43, minor		V	1	1	1	5	5	5	True	False	False
6.0	2.0	3.0	55	1	G	0.0	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	3	3	False	True				False	3	i	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
6.0	2.0	3.0	79	1	G	0.0	3	4	1.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	5	3	False	True				False	3	i	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
8.0	2.0	4.0	54	6	F	1.0	3	4	2.0	1.0	1/4	True	-1	3.0	3.0	2.0	2a	3	4	False	True				False	4	V65	g	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	1	1	1	5	5	5	True	False	True
8.0	3.0	4.0	74	2	D	0.0	3	4	1.0	1.0	3/8	True	-1	3.0	3.0	2.0	2a	5	4	False	True				False	4	V65	g	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	1	1	1	1	1	1	True	True	False
