onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	2.0	0.0	74	2	D	0.0	4	4	1.0	1.0	1/8	True	1	1.0	1.0	0.0	0a	5	0	True	True				{	False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	1	1	1	True	False	False
2.0	3.0	0.5	79	1	G	0.0	4	4	1.0	1.0	3/16	True	1	1.0	1.0	0.0	0a	5	1/2	False	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
5.0	1.0	1.25	81	3	A	0.0	4	4	1.0	1.0	1/16	True	1	1.0	1.0	0.0	0a	5	5/4	False	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	2	2	2	False	False	False
6.0	0.0	1.5	81	3	A	0.0	4	4	1.0	1.0	0	True	1	2.0	2.0	1.0	1a	5	3/2	True	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	2	2	2	False	False	False
6.0	6.0	1.5	83	5	B	0.0	4	4	1.0	1.0	3/8	True	1	2.0	2.0	1.0	1a	5	3/2	True	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
8.0	2.0	2.0	55	1	G	0.0	4	4	2.0	1.0	1/8	True	1	2.0	2.0	1.0	1a	3	2	False	False					False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
10.0	3.0	2.5	60	0	C	0.0	4	4	2.0	1.0	3/16	True	1	2.0	2.0	1.0	1a	4	5/2	False	True					False	1		IVM7(9)	G	I		IVM7(9)	IV	M	7	9		MM7	False	False	(-1, 3, 0, 4)	(1,)	-1	-1	major	major	I	I, major	IV		I	I	False	IVM7	IVM7, major		IVM7(9), major		IV	1	1	1	-1	-1	-1	True	True	True
12.0	2.0	3.0	81	3	A	0.0	4	4	1.0	1.0	1/8	True	1	2.0	2.0	1.0	1a	5	3	False	False					False	1		IVM7(9)	G	I		IVM7(9)	IV	M	7	9		MM7	False	False	(-1, 3, 0, 4)	(1,)	-1	-1	major	major	I	I, major	IV		I	I	False	IVM7	IVM7, major		IVM7(9), major		IV	1	1	1	2	2	2	False	False	False
13.0	1.0	3.25	62	2	D	0.0	4	4	2.0	1.0	1/16	True	1	2.0	2.0	1.0	1a	4	13/4	False	False					False	1		IVM7(9)	G	I		IVM7(9)	IV	M	7	9		MM7	False	False	(-1, 3, 0, 4)	(1,)	-1	-1	major	major	I	I, major	IV		I	I	False	IVM7	IVM7, major		IVM7(9), major		IV	1	1	1	1	1	1	False	False	False
14.0	4.0	3.5	64	4	E	0.0	4	4	2.0	1.0	1/4	True	1	2.0	2.0	1.0	1a	4	7/2	False	True					False	2		ii43	G	I		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	I	I, major	ii		I	I	False	ii43	ii43, major		ii43, major		ii	1	1	1	3	3	3	True	False	True
14.0	4.0	3.5	81	3	A	0.0	4	4	1.0	1.0	1/4	True	1	2.0	2.0	1.0	1a	5	7/2	False	True					False	2		ii43	G	I		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	I	I, major	ii		I	I	False	ii43	ii43, major		ii43, major		ii	1	1	1	2	2	2	True	True	False
18.0	4.0	4.5	60	0	C	0.0	4	4	2.0	1.0	1/4	True	1	2.0	2.0	1.0	1a	4	9/2	False	True					False	3		ii65	G	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	1	1	1	-1	-1	-1	True	False	True
20.0	2.0	5.0	79	1	G	0.0	4	4	1.0	1.0	1/8	True	1	2.0	2.0	1.0	1a	5	5	False	False					False	3		ii65	G	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	1	1	1	0	0	0	True	False	False
22.0	3.0	5.5	62	2	D	0.0	4	4	2.0	1.0	3/16	True	1	3.0	3.0	2.0	2a	4	11/2	False	True	HC.CON	HC	CON	}	True	4		V|HC.CON}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
22.0	4.0	5.5	78	6	F	1.0	4	4	1.0	1.0	1/4	True	1	3.0	3.0	2.0	2a	5	11/2	False	True	HC.CON	HC	CON	}	True	4		V|HC.CON}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	5	5	5	True	False	False
25.0	1.0	6.25	50	2	D	0.0	4	4	2.0	1.0	1/16	True	1	3.0	3.0	2.0	2a	3	25/4	False	False					False	4		V|HC.CON}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
26.0	0.0	6.5	76	4	E	0.0	4	4	1.0	1.0	0	True	1	3.0	3.0	2.0	2a	5	13/2	False	False					False	4		V|HC.CON}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	3	3	3	False	False	False
26.0	3.0	6.5	50	2	D	0.0	4	4	2.0	1.0	3/16	True	1	3.0	3.0	2.0	2a	3	13/2	False	False					False	4		V|HC.CON}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
26.0	4.0	6.5	74	2	D	0.0	4	4	1.0	1.0	1/4	True	1	3.0	3.0	2.0	2a	5	13/2	False	False					False	4		V|HC.CON}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
29.0	1.0	7.25	48	0	C	0.0	4	4	2.0	1.0	1/16	True	1	3.0	3.0	2.0	2a	3	29/4	False	False					False	4		V|HC.CON}	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	-1	-1	-1	False	False	False
30.0	8.0	7.5	47	5	B	0.0	4	4	2.0	1.0	1/2	True	1	3.0	3.0	2.0	2a	2	15/2	False	True					False	5		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	4	4	4	True	False	True
32.0	2.0	8.0	74	2	D	0.0	4	4	1.0	1.0	1/8	True	1	3.0	3.0	2.0	2a	5	8	False	False				{	False	6		{	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False		, major		I6, major		I	1	1	1	1	1	1	True	False	False
34.0	3.0	8.5	79	1	G	0.0	4	4	1.0	1.0	3/16	True	1	3.0	3.0	2.0	2a	5	17/2	False	False					False	6		{	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False		, major		I6, major		I	1	1	1	0	0	0	True	True	False
37.0	1.0	9.25	78	6	F	1.0	4	4	1.0	1.0	1/16	True	1	3.0	3.0	2.0	2a	5	37/4	False	False					False	6		{	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False		, major		I6, major		I	1	1	1	5	5	5	False	False	False
38.0	8.0	9.5	48	0	C	0.0	4	4	2.0	1.0	1/2	True	1	4.0	4.0	3.0	3a	3	19/2	False	True					False	7		ii65	G	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	1	1	1	-1	-1	-1	True	False	True
38.0	6.0	9.5	76	4	E	0.0	4	4	1.0	1.0	3/8	True	1	4.0	4.0	3.0	3a	5	19/2	False	True					False	7		ii65	G	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	1	1	1	3	3	3	True	False	False
44.0	2.0	11.0	76	4	E	0.0	4	4	1.0	1.0	1/8	True	1	4.0	4.0	3.0	3a	5	11	False	False					False	7		ii65	G	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	1	1	1	3	3	3	True	False	False
46.0	4.0	11.5	50	2	D	0.0	4	4	2.0	1.0	1/4	True	1	4.0	4.0	3.0	3a	3	23/2	False	True					False	8		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
46.0	6.0	11.5	74	2	D	0.0	4	4	1.0	1.0	3/8	True	1	4.0	4.0	3.0	3a	5	23/2	False	True					False	8		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
50.0	4.0	12.5	38	2	D	0.0	4	4	2.0	1.0	1/4	True	1	4.0	4.0	3.0	3a	2	25/2	False	True					False	9		V7	G	I		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	1	1	1	1	1	1	True	True	True
52.0	2.0	13.0	72	0	C	0.0	4	4	1.0	1.0	1/8	True	1	4.0	4.0	3.0	3a	5	13	False	False					False	9		V7	G	I		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	1	1	1	-1	-1	-1	True	False	False
54.0	2.0	13.5	43	1	G	0.0	4	4	2.0	1.0	1/8	True	1	5.0	5.0	4.0	4a	2	27/2	False	False	IAC	IAC		}	True	10		I|IAC}	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
54.0	8.0	13.5	71	5	B	0.0	4	4	1.0	1.0	1/2	True	1	5.0	5.0	4.0	4a	4	27/2	False	False	IAC	IAC		}	True	10		I|IAC}	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
56.0	2.0	14.0	50	2	D	0.0	4	4	2.0	1.0	1/8	True	1	5.0	5.0	4.0	4a	3	14	False	False					False	10		I|IAC}	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	1	1	1	True	False	False
58.0	3.0	14.5	55	1	G	0.0	4	4	2.0	1.0	3/16	True	1	5.0	5.0	4.0	4a	3	29/2	False	False					False	10		I|IAC}	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
61.0	1.0	15.25	55	1	G	0.0	4	4	2.0	1.0	1/16	True	1	5.0	5.0	4.0	4a	3	61/4	False	False					False	10		I|IAC}	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
62.0	8.0	15.5	55	1	G	0.0	4	4	2.0	1.0	1/2	True	1	5.0	5.0	4.0	4a	3	31/2	False	True					False	11		I	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
64.0	2.0	16.0	71	5	B	0.0	4	4	1.0	1.0	1/8	True	1	5.0	5.0	4.0	4a	4	16	False	False				{	False	12		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	4	4	4	True	False	False
66.0	3.0	16.5	76	4	E	0.0	4	4	1.0	1.0	3/16	True	1	5.0	5.0	4.0	4a	5	33/2	False	True					False	13		vi.i6	G	vi		i6	i		6			m	False	True	(-3, 1, 0)	()	0	-3	major	minor	vi	vi, major	i		vi	vi	True	i6	i6, minor		i6, minor		i	1	4	4	3	0	0	True	True	False
69.0	1.0	17.25	76	4	E	0.0	4	4	1.0	1.0	1/16	True	1	5.0	5.0	4.0	4a	5	69/4	False	False					False	13		vi.i6	G	vi		i6	i		6			m	False	True	(-3, 1, 0)	()	0	-3	major	minor	vi	vi, major	i		vi	vi	True	i6	i6, minor		i6, minor		i	1	4	4	3	0	0	True	True	False
70.0	8.0	17.5	54	6	F	1.0	4	4	2.0	1.0	1/2	True	1	6.0	6.0	5.0	5a	3	35/2	False	True					False	14		ii%7	G	vi		ii%7	ii	%	7			%7	False	True	(2, -1, -4, 0)	()	2	2	major	minor	vi	vi, major	ii		vi	vi	True	ii%7	ii%7, minor		ii%7, minor		ii	1	4	4	5	2	2	True	True	True
70.0	6.0	17.5	76	4	E	0.0	4	4	1.0	1.0	3/8	True	1	6.0	6.0	5.0	5a	5	35/2	False	True					False	14		ii%7	G	vi		ii%7	ii	%	7			%7	False	True	(2, -1, -4, 0)	()	2	2	major	minor	vi	vi, major	ii		vi	vi	True	ii%7	ii%7, minor		ii%7, minor		ii	1	4	4	3	0	0	True	False	False
76.0	2.0	19.0	75	9	D	1.0	4	4	1.0	1.0	1/8	True	1	6.0	6.0	5.0	5a	5	19	False	False					False	14		ii%7	G	vi		ii%7	ii	%	7			%7	False	True	(2, -1, -4, 0)	()	2	2	major	minor	vi	vi, major	ii		vi	vi	True	ii%7	ii%7, minor		ii%7, minor		ii	1	4	4	8	5	5	False	False	False
78.0	4.0	19.5	59	5	B	0.0	4	4	2.0	1.0	1/4	True	1	6.0	6.0	5.0	5a	3	39/2	False	True					False	15		V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	4	1	1	True	True	True
78.0	4.0	19.5	75	9	D	1.0	4	4	1.0	1.0	1/4	True	1	6.0	6.0	5.0	5a	5	39/2	False	True					False	15		V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	8	5	5	True	False	False
