onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
18	6	0.75	76	4	E	0	4	4	1	1	1/16	True		1	1	1	1a	5	3/4	False	False					False																																										
24	12	1.0	64	4	E	0	4	4	2	1	1/8	True		1	1	1	1a	4	1	False	True				{	False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
24	18	1.0	79	1	G	0	4	4	1	1	3/16	True		1	1	1	1a	5	1	False	True				{	False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
36	12	1.5	62	2	D	0	4	4	2	1	1/8	True		1	1	1	1a	4	3/2	False	True					False	1	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	-2	-2	-2	True	False	True
42	6	1.75	78	6	F	1	4	4	1	1	1/16	True		1	1	1	1a	5	7/4	False	False					False	1	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	2	2	2	True	False	False
48	0	2.0	78	6	F	1	4	4	1	1	0	True		1	1	1	1a	5	2	False	True					False	2	VIM7	e	i		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VIM7	VIM7, minor		VIM7, minor		VI	4	4	4	2	2	2	False	False	False
48	12	2.0	60	0	C	0	4	4	2	1	1/8	True		1	1	1	1a	4	2	False	True					False	2	VIM7	e	i		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VIM7	VIM7, minor		VIM7, minor		VI	4	4	4	-4	-4	-4	True	True	True
48	12	2.0	76	4	E	0	4	4	1	1	1/8	True		1	1	1	1a	5	2	False	True					False	2	VIM7	e	i		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VIM7	VIM7, minor		VIM7, minor		VI	4	4	4	0	0	0	True	False	False
60	12	2.5	59	5	B	0	4	4	2	1	1/8	True		1	1	1	1a	3	5/2	False	True					False	3	III+6	e	i		III+6	III	+	6			+	True	True	(1, 5, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III+6	III+6, minor		III+6, minor		III	4	4	4	1	1	1	True	False	True
60	12	2.5	75	9	D	1	4	4	1	1	1/8	True		1	1	1	1a	5	5/2	False	True					False	3	III+6	e	i		III+6	III	+	6			+	True	True	(1, 5, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III+6	III+6, minor		III+6, minor		III	4	4	4	5	5	5	True	False	False
72	0	3.0	75	9	D	1	4	4	1	1	0	True		1	1	1	1a	5	3	False	True					False	4	ii%43	e	i		ii%43	ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	4	4	4	5	5	5	False	False	False
72	12	3.0	60	0	C	0	4	4	2	1	1/8	True		1	1	1	1a	4	3	False	True					False	4	ii%43	e	i		ii%43	ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	4	4	4	-4	-4	-4	True	False	True
72	18	3.0	76	4	E	0	4	4	1	1	3/16	True		1	1	1	1a	5	3	False	True					False	4	ii%43	e	i		ii%43	ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	4	4	4	0	0	0	True	False	False
84	12	3.5	57	3	A	0	4	4	2	1	1/8	True		1	1	1	1a	3	7/2	False	True					False	5	ii%65	e	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	4	4	4	-1	-1	-1	True	False	True
90	6	3.75	78	6	F	1	4	4	1	1	1/16	True		1	1	1	1a	5	15/4	False	False					False	5	ii%65	e	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	4	4	4	2	2	2	True	True	False
96	12	4.0	59	5	B	0	4	4	2	1	1/8	True	1	2	2	2	2a	3	4	False	True					False	6	V	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	4	4	4	1	1	1	True	True	True
96	12	4.0	75	9	D	1	4	4	1	1	1/8	True	1	2	2	2	2a	5	4	False	True					False	6	V	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	4	4	4	5	5	5	True	False	False
108	12	4.5	57	3	A	0	4	4	2	1	1/8	True	1	2	2	2	2a	3	9/2	False	True					False	7	V2	e	i		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	i	i, minor	V		i	i	True	V2	V2, minor		V2, minor		V	4	4	4	-1	-1	-1	True	False	True
114	6	4.75	71	5	B	0	4	4	1	1	1/16	True	1	2	2	2	2a	4	19/4	False	False					False	7	V2	e	i		V2	V		2			Mm7	True	True	(-1, 1, 5, 2)	()	1	-1	minor	minor	i	i, minor	V		i	i	True	V2	V2, minor		V2, minor		V	4	4	4	1	1	1	True	True	False
120	12	5.0	55	1	G	0	4	4	2	1	1/8	True	1	2	2	2	2a	3	5	False	True					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	4	4	4	-3	-3	-3	True	False	True
120	18	5.0	76	4	E	0	4	4	1	1	3/16	True	1	2	2	2	2a	5	5	False	True					False	8	i6	e	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	4	4	4	0	0	0	True	True	False
132	12	5.5	54	6	F	1	4	4	2	1	1/8	True	1	2	2	2	2a	3	11/2	False	True					False	9	#viio6	e	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	4	4	4	2	2	2	True	False	True
138	6	5.75	78	6	F	1	4	4	1	1	1/16	True	1	2	2	2	2a	5	23/4	False	False					False	9	#viio6	e	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	4	4	4	2	2	2	True	False	True
144	0	6.0	78	6	F	1	4	4	1	1	0	True	1	2	2	2	2a	5	6	False	True					False	10	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	2	2	2	False	False	False
144	12	6.0	52	4	E	0	4	4	2	1	1/8	True	1	2	2	2	2a	3	6	False	True					False	10	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
144	18	6.0	79	1	G	0	4	4	1	1	3/16	True	1	2	2	2	2a	5	6	False	True					False	10	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
156	12	6.5	51	9	D	1	4	4	2	1	1/8	True	1	2	2	2	2a	3	13/2	False	True					False	11	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	5	5	5	True	False	True
162	0	6.75	78	6	F	1	4	4	1	1	0	True	1	2	2	2	2a	5	27/4	False	False					False	11	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	2	2	2	True	False	False
162	0	6.75	79	1	G	0	4	4	1	1	0	True	1	2	2	2	2a	5	27/4	False	False					False	11	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	-3	-3	-3	False	False	False
162	6	6.75	81	3	A	0	4	4	1	1	1/16	True	1	2	2	2	2a	5	27/4	False	False					False	11	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	-1	-1	-1	True	False	False
168	12	7.0	52	4	E	0	4	4	2	1	1/8	True	1	2	2	2	2a	3	7	False	True					False	12	i(4)	e	i		i(4)	i			4		m	True	True	(0, -1, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(4), minor		i	4	4	4	0	0	0	True	True	True
168	12	7.0	81	3	A	0	4	4	1	1	1/8	True	1	2	2	2	2a	5	7	False	True					False	12	i(4)	e	i		i(4)	i			4		m	True	True	(0, -1, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(4), minor		i	4	4	4	-1	-1	-1	True	False	False
180	12	7.5	40	4	E	0	4	4	2	1	1/8	True	1	2	2	2	2a	2	15/2	False	True					False	13	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
