onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	4.0	0.0	60	0	C	0.0	6	4	2.0	1.0	1/8	True	-2	1.0	1.0	0.0	0a	4	0	True	True				{	False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
0.0	4.0	0.0	67	1	G	0.0	6	4	1.0	1.0	1/8	True	-2	1.0	1.0	0.0	0a	4	0	True	True				{	False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
4.0	12.0	0.167	60	0	C	0.0	6	4	2.0	1.0	3/8	True	-2	2.0	2.0	1.0	1a	4	1/2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
4.0	12.0	0.167	67	1	G	0.0	6	4	1.0	1.0	3/8	True	-2	2.0	2.0	1.0	1a	4	1/2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
16.0	4.0	0.667	60	0	C	0.0	6	4	2.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	4	2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
16.0	4.0	0.667	67	1	G	0.0	6	4	1.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	4	2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
20.0	8.0	0.8340000000000001	53	-1	F	0.0	6	4	2.0	1.0	1/4	True	-2	2.0	2.0	1.0	1a	3	5/2	False	True					False	1		ii%65	c	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	0	0	0	-1	-1	-1	True	False	True
20.0	8.0	0.8340000000000001	68	-4	A	-1.0	6	4	1.0	1.0	1/4	True	-2	2.0	2.0	1.0	1a	4	5/2	False	True					False	1		ii%65	c	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	0	0	0	-4	-4	-4	True	False	False
28.0	8.0	1.167	55	1	G	0.0	6	4	2.0	1.0	1/4	True	-2	2.0	2.0	1.0	1a	3	7/2	False	True					False	2		i64	c	i		i64	i		64			m	True	True	(1, 0, -3)	()	0	1	minor	minor	i	i, minor	i		i	i	True	i64	i64, minor		i64, minor		i	0	0	0	1	1	1	True	False	True
28.0	8.0	1.167	67	1	G	0.0	6	4	1.0	1.0	1/4	True	-2	2.0	2.0	1.0	1a	4	7/2	False	True					False	2		i64	c	i		i64	i		64			m	True	True	(1, 0, -3)	()	0	1	minor	minor	i	i, minor	i		i	i	True	i64	i64, minor		i64, minor		i	0	0	0	1	1	1	True	False	True
