onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	8.0	0.0	45	3	A	0.0	6	8	2.0	1.0	1/4	True	0	1.0	1.0	0.0	0a	2	0	True	True				{	False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
0.0	4.0	0.0	69	3	A	0.0	6	8	1.0	1.0	1/8	True	0	1.0	1.0	0.0	0a	4	0	True	True				{	False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
4.0	4.0	0.33299999999999996	64	4	E	0.0	6	8	1.0	1.0	1/8	True	0	1.0	1.0	0.0	0a	4	1/2	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	1	1	1	True	False	False
8.0	4.0	0.667	69	3	A	0.0	6	8	1.0	1.0	1/8	True	0	1.0	1.0	0.0	0a	4	1	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
12.0	4.0	1.0	57	3	A	0.0	6	8	2.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	3	3/2	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
12.0	4.0	1.0	72	0	C	0.0	6	8	1.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	5	3/2	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	-3	-3	-3	True	False	False
16.0	4.0	1.333	52	4	E	0.0	6	8	2.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	3	2	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	1	1	1	True	False	False
16.0	4.0	1.333	69	3	A	0.0	6	8	1.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	4	2	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
20.0	4.0	1.667	57	3	A	0.0	6	8	2.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	3	5/2	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
20.0	4.0	1.667	72	0	C	0.0	6	8	1.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	5	5/2	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	-3	-3	-3	True	False	False
