onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	8.0	0.0	67	1	G	0.0	3	4	1.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	4	0	True	True				{	False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
8.0	8.0	1.0	75	-3	E	-1.0	3	4	1.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	5	1	False	False					False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-4	-4	-4	False	False	False
16.0	8.0	2.0	74	2	D	0.0	3	4	1.0	1.0	1/4	True	-1	1.0	1.0	1.0	1a	5	2	False	False					False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
24.0	8.0	3.0	55	1	G	0.0	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	3	3	False	False					False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
24.0	12.0	3.0	79	1	G	0.0	3	4	1.0	1.0	3/8	True	-1	2.0	2.0	2.0	2a	5	3	False	False					False	0	g.i{	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
32.0	8.0	4.0	63	-3	E	-1.0	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	4	4	False	True					False	1	ii%43	g	i		ii%43	ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	1	1	1	-4	-4	-4	True	False	True
36.0	4.0	4.5	81	3	A	0.0	3	4	1.0	1.0	1/8	True	-1	2.0	2.0	2.0	2a	5	9/2	False	False					False	1	ii%43	g	i		ii%43	ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	ii%43	ii%43, minor		ii%43, minor		ii	1	1	1	2	2	2	True	True	False
40.0	8.0	5.0	62	2	D	0.0	3	4	2.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	4	5	False	True					False	2	V	g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	1	1	1	True	True	True
40.0	8.0	5.0	78	6	F	1.0	3	4	1.0	1.0	1/4	True	-1	2.0	2.0	2.0	2a	5	5	False	True					False	2	V	g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	5	5	5	True	False	False
48.0	8.0	6.0	67	1	G	0.0	3	4	2.0	1.0	1/4	True	-1	3.0	3.0	3.0	3a	4	6	False	True					False	3	i	g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
