onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
60.0	12.0	1.25	72	0	C	0.0	4	4	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	5	5/4	False	True				{	False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	-3	-3	-3	True	False	False
72.0	12.0	1.5	71	5	B	0.0	4	4	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	3/2	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	2	2	2	False	False	False
84.0	12.0	1.75	69	3	A	0.0	4	4	1.0	1.0	1/16	True		1.0	1.0	1.0	1a	4	7/4	False	False					False	0	a.i{	a	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	3	3	3	0	0	0	True	True	True
96.0	24.0	2.0	68	8	G	1.0	4	4	1.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	2	False	True					False	1	V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	3	3	3	5	5	5	True	False	False
108.0	12.0	2.25	53	-1	F	0.0	4	4	2.0	1.0	1/16	True		1.0	1.0	1.0	1a	3	9/4	False	False					False	1	V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	3	3	3	-4	-4	-4	False	False	False
120.0	0.0	2.5	66	6	F	1.0	4	4	1.0	1.0	0	True		1.0	1.0	1.0	1a	4	5/2	False	False					False	1	V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	3	3	3	3	3	3	False	False	False
120.0	12.0	2.5	52	4	E	0.0	4	4	2.0	1.0	1/16	True		1.0	1.0	1.0	1a	3	5/2	False	False					False	1	V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	3	3	3	1	1	1	True	True	True
120.0	24.0	2.5	64	4	E	0.0	4	4	1.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	5/2	False	False					False	1	V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	3	3	3	1	1	1	True	True	True
132.0	12.0	2.75	50	2	D	0.0	4	4	2.0	1.0	1/16	True		1.0	1.0	1.0	1a	3	11/4	False	False					False	1	V	a	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	3	3	3	-1	-1	-1	False	False	False
144.0	24.0	3.0	48	0	C	0.0	4	4	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	3	False	True					False	2	i6	a	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	3	3	3	-3	-3	-3	True	False	True
