onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
304.0	2.0	50.667	57	3	A	0.0	6	4	2.0	1.0	1/4	True	1	16.0	28.0	14.0	14a	3	152	False	False				False	94	ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	1	4	4	2	-1	-1	True	False	True
304.0	2.0	50.667	76	4	E	0.0	6	4	1.0	1.0	1/4	True	1	16.0	28.0	14.0	14a	5	152	False	False				False	94	ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	1	4	4	3	0	0	True	False	False
306.0	4.0	51.0	59	5	B	0.0	6	4	2.0	1.0	1/2	True	1	17.0	29.0	15.0	15a	3	153	False	True				False	95	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	4	1	1	True	True	True
306.0	3.0	51.0	75	9	D	1.0	6	4	1.0	1.0	3/8	True	1	17.0	29.0	15.0	15a	5	153	False	True				False	95	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	8	5	5	True	False	False
309.0	1.0	51.5	76	4	E	0.0	6	4	1.0	1.0	1/8	True	1	17.0	29.0	15.0	15a	5	309/2	False	False				False	95	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	3	0	0	False	False	False
310.0	2.0	51.667	57	3	A	0.0	6	4	2.0	1.0	1/4	True	1	17.0	29.0	15.0	15a	3	155	False	True				False	96	V2	G	vi		V2	V		2			Mm7	False	True	(-1, 1, 5, 2)	()	1	-1	major	minor	vi	vi, major	V		vi	vi	True	V2	V2, minor		V2, minor		V	1	4	4	2	-1	-1	True	False	True
310.0	2.0	51.667	78	6	F	1.0	6	4	1.0	1.0	1/4	True	1	17.0	29.0	15.0	15a	5	155	False	True				False	96	V2	G	vi		V2	V		2			Mm7	False	True	(-1, 1, 5, 2)	()	1	-1	major	minor	vi	vi, major	V		vi	vi	True	V2	V2, minor		V2, minor		V	1	4	4	5	2	2	True	False	False
312.0	0.0	52.0	78	6	F	1.0	6	4	1.0	1.0	0	True	1	17.0	29.0	15.0	15a	5	156	False	True				False	97	i6	G	vi		i6	i		6			m	False	True	(-3, 1, 0)	()	0	-3	major	minor	vi	vi, major	i		vi	vi	True	i6	i6, minor		i6, minor		i	1	4	4	5	2	2	False	False	False
312.0	4.0	52.0	55	1	G	0.0	6	4	2.0	1.0	1/2	True	1	17.0	29.0	15.0	15a	3	156	False	True				False	97	i6	G	vi		i6	i		6			m	False	True	(-3, 1, 0)	()	0	-3	major	minor	vi	vi, major	i		vi	vi	True	i6	i6, minor		i6, minor		i	1	4	4	0	-3	-3	True	False	True
312.0	2.0	52.0	79	1	G	0.0	6	4	1.0	1.0	1/4	True	1	17.0	29.0	15.0	15a	5	156	False	True				False	97	i6	G	vi		i6	i		6			m	False	True	(-3, 1, 0)	()	0	-3	major	minor	vi	vi, major	i		vi	vi	True	i6	i6, minor		i6, minor		i	1	4	4	0	-3	-3	True	False	True
314.0	4.0	52.333	76	4	E	0.0	6	4	1.0	1.0	1/2	True	1	17.0	29.0	15.0	15a	5	157	False	False				False	97	i6	G	vi		i6	i		6			m	False	True	(-3, 1, 0)	()	0	-3	major	minor	vi	vi, major	i		vi	vi	True	i6	i6, minor		i6, minor		i	1	4	4	3	0	0	True	True	False
316.0	2.0	52.667	60	0	C	0.0	6	4	2.0	1.0	1/4	True	1	17.0	29.0	15.0	15a	4	158	False	True				False	98	VIM7	G	vi		VIM7	VI	M	7			MM7	False	True	(-4, 0, -3, 1)	()	-4	-4	major	minor	vi	vi, major	VI		vi	vi	True	VIM7	VIM7, minor		VIM7, minor		VI	1	4	4	-1	-4	-4	True	True	True
318.0	4.0	53.0	54	6	F	1.0	6	4	2.0	1.0	1/2	True	1	18.0	30.0	16.0	16a	3	159	False	True				False	99	ii%7	G	vi		ii%7	ii	%	7			%7	False	True	(2, -1, -4, 0)	()	2	2	major	minor	vi	vi, major	ii		vi	vi	True	ii%7	ii%7, minor		ii%7, minor		ii	1	4	4	5	2	2	True	True	True
318.0	3.0	53.0	81	3	A	0.0	6	4	1.0	1.0	3/8	True	1	18.0	30.0	16.0	16a	5	159	False	True				False	99	ii%7	G	vi		ii%7	ii	%	7			%7	False	True	(2, -1, -4, 0)	()	2	2	major	minor	vi	vi, major	ii		vi	vi	True	ii%7	ii%7, minor		ii%7, minor		ii	1	4	4	2	-1	-1	True	False	False
321.0	1.0	53.5	83	5	B	0.0	6	4	1.0	1.0	1/8	True	1	18.0	30.0	16.0	16a	5	321/2	False	False				False	99	ii%7	G	vi		ii%7	ii	%	7			%7	False	True	(2, -1, -4, 0)	()	2	2	major	minor	vi	vi, major	ii		vi	vi	True	ii%7	ii%7, minor		ii%7, minor		ii	1	4	4	4	1	1	False	False	False
322.0	2.0	53.667	54	6	F	1.0	6	4	2.0	1.0	1/4	True	1	18.0	30.0	16.0	16a	3	161	False	False				False	99	ii%7	G	vi		ii%7	ii	%	7			%7	False	True	(2, -1, -4, 0)	()	2	2	major	minor	vi	vi, major	ii		vi	vi	True	ii%7	ii%7, minor		ii%7, minor		ii	1	4	4	5	2	2	True	True	True
322.0	2.0	53.667	81	3	A	0.0	6	4	1.0	1.0	1/4	True	1	18.0	30.0	16.0	16a	5	161	False	False				False	99	ii%7	G	vi		ii%7	ii	%	7			%7	False	True	(2, -1, -4, 0)	()	2	2	major	minor	vi	vi, major	ii		vi	vi	True	ii%7	ii%7, minor		ii%7, minor		ii	1	4	4	2	-1	-1	True	False	False
324.0	4.0	54.0	59	5	B	0.0	6	4	2.0	1.0	1/2	True	1	18.0	30.0	16.0	16a	3	162	False	True				False	100	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	4	1	1	True	True	True
324.0	2.0	54.0	81	3	A	0.0	6	4	1.0	1.0	1/4	True	1	18.0	30.0	16.0	16a	5	162	False	True				False	100	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	2	-1	-1	False	False	False
326.0	4.0	54.333	78	6	F	1.0	6	4	1.0	1.0	1/2	True	1	18.0	30.0	16.0	16a	5	163	False	False				False	100	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	5	2	2	True	False	False
328.0	2.0	54.667	47	5	B	0.0	6	4	2.0	1.0	1/4	True	1	18.0	30.0	16.0	16a	2	164	False	False				False	100	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	4	1	1	True	True	True
330.0	0.0	55.0	78	6	F	1.0	6	4	1.0	1.0	0	True	1	19.0	31.0	17.0	17a	5	165	False	True				False	101	i	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	5	2	2	False	False	False
330.0	3.0	55.0	52	4	E	0.0	6	4	2.0	1.0	3/8	True	1	19.0	31.0	17.0	17a	3	165	False	True				False	101	i	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	3	0	0	True	True	True
330.0	3.0	55.0	79	1	G	0.0	6	4	1.0	1.0	3/8	True	1	19.0	31.0	17.0	17a	5	165	False	True				False	101	i	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	0	-3	-3	True	False	False
333.0	1.0	55.5	54	6	F	1.0	6	4	2.0	1.0	1/8	True	1	19.0	31.0	17.0	17a	3	333/2	False	False				False	101	i	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	5	2	2	False	False	False
333.0	1.0	55.5	81	3	A	0.0	6	4	1.0	1.0	1/8	True	1	19.0	31.0	17.0	17a	5	333/2	False	False				False	101	i	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	2	-1	-1	False	False	False
334.0	2.0	55.667	55	1	G	0.0	6	4	2.0	1.0	1/4	True	1	19.0	31.0	17.0	17a	3	167	False	True				False	102	i6	G	vi		i6	i		6			m	False	True	(-3, 1, 0)	()	0	-3	major	minor	vi	vi, major	i		vi	vi	True	i6	i6, minor		i6, minor		i	1	4	4	0	-3	-3	True	False	True
334.0	2.0	55.667	83	5	B	0.0	6	4	1.0	1.0	1/4	True	1	19.0	31.0	17.0	17a	5	167	False	True				False	102	i6	G	vi		i6	i		6			m	False	True	(-3, 1, 0)	()	0	-3	major	minor	vi	vi, major	i		vi	vi	True	i6	i6, minor		i6, minor		i	1	4	4	4	1	1	True	False	False
336.0	2.0	56.0	57	3	A	0.0	6	4	2.0	1.0	1/4	True	1	19.0	31.0	17.0	17a	3	168	False	True				False	103	ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	1	4	4	2	-1	-1	True	False	True
336.0	2.0	56.0	78	6	F	1.0	6	4	1.0	1.0	1/4	True	1	19.0	31.0	17.0	17a	5	168	False	True				False	103	ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	1	4	4	5	2	2	True	True	False
338.0	0.0	56.333	76	4	E	0.0	6	4	1.0	1.0	0	True	1	19.0	31.0	17.0	17a	5	169	False	True				False	104	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	3	0	0	False	False	False
338.0	2.0	56.333	59	5	B	0.0	6	4	2.0	1.0	1/4	True	1	19.0	31.0	17.0	17a	3	169	False	True				False	104	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	4	1	1	True	True	True
338.0	4.0	56.333	78	6	F	1.0	6	4	1.0	1.0	1/2	True	1	19.0	31.0	17.0	17a	5	169	False	True				False	104	V	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	1	4	4	5	2	2	True	False	False
340.0	2.0	56.667	47	5	B	0.0	6	4	2.0	1.0	1/4	True	1	19.0	31.0	17.0	17a	2	170	False	True				False	105	V7	G	vi		V7	V		7			Mm7	False	True	(1, 5, 2, -1)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V7	V7, minor		V7, minor		V	1	4	4	4	1	1	True	True	True
342.0	3.0	57.0	52	4	E	0.0	6	4	2.0	1.0	3/8	True	1	20.0	32.0	18.0	18a	3	171	False	True	PAC	PAC	}	True	106	i|PAC}	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	3	0	0	True	True	True
342.0	6.0	57.0	76	4	E	0.0	6	4	1.0	1.0	3/4	True	1	20.0	32.0	18.0	18a	5	171	False	True	PAC	PAC	}	True	106	i|PAC}	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	3	0	0	True	True	True
