onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	2.0	0.0	72	0	C	0.0	6	4	1.0	1.0	1/8	True	0	1.0	1.0	0.0	0a	5	0	True	True				{	False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
2.0	6.0	0.167	72	0	C	0.0	6	4	1.0	1.0	3/8	True	0	2.0	2.0	1.0	1a	5	1/2	False	False					False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
4.0	2.0	0.334	48	0	C	0.0	6	4	2.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	3	1	False	False					False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
6.0	2.0	0.5	50	2	D	0.0	6	4	2.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	3	3/2	False	False					False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	2	2	2	False	False	False
8.0	2.0	0.667	52	4	E	0.0	6	4	2.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	3	2	False	False					False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
8.0	2.0	0.667	71	5	B	0.0	6	4	1.0	1.0	1/8	True	0	2.0	2.0	1.0	1a	4	2	False	False					False	0	C.I{	C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	5	5	5	False	False	False
10.0	4.0	0.8340000000000001	53	-1	F	0.0	6	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	3	5/2	False	True					False	1	ii65	C	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	0	0	0	-1	-1	-1	True	False	True
10.0	4.0	0.8340000000000001	69	3	A	0.0	6	4	1.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	4	5/2	False	True					False	1	ii65	C	I		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	I	I, major	ii		I	I	False	ii65	ii65, major		ii65, major		ii	0	0	0	3	3	3	True	False	False
14.0	4.0	1.167	55	1	G	0.0	6	4	2.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	3	7/2	False	True					False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	1	1	1	True	True	True
14.0	4.0	1.167	67	1	G	0.0	6	4	1.0	1.0	1/4	True	0	2.0	2.0	1.0	1a	4	7/2	False	True					False	2	V	C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	0	0	0	1	1	1	True	True	True
18.0	6.0	1.5	57	3	A	0.0	6	4	2.0	1.0	3/8	True	0	2.0	2.0	1.0	1a	3	9/2	False	True					False	3	IV6	C	I		IV6	IV		6			M	False	False	(3, 0, -1)	()	-1	3	major	major	I	I, major	IV		I	I	False	IV6	IV6, major		IV6, major		IV	0	0	0	3	3	3	True	False	True
