onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	12.0	0.0	65	-1	F	0.0	2	2	1.0	1.0	1/8	True	-1	1.0	1.0	0.0	0a	4	0	True	False					False																																											
12.0	24.0	0.25	72	0	C	0.0	2	2	1.0	1.0	1/4	True	-1	1.0	1.0	0.0	0a	5	1/2	False	False					False																																											
36.0	12.0	0.75	72	0	C	0.0	2	2	1.0	1.0	1/8	False	-1	1.0	1.0	0.0	0a	5	3/2	False	False					False																																											
48.0	12.0	1.0	65	-1	F	0.0	2	2	1.0	1.0	1/8	True	-1	1.0	1.0	0.0	0a	4	2	False	False					False																																											
60.0	24.0	1.25	74	2	D	0.0	2	2	1.0	1.0	1/4	True	-1	2.0	2.0	1.0	1a	5	5/2	False	False					False																																											
84.0	12.0	1.75	74	2	D	0.0	2	2	1.0	1.0	1/8	False	-1	2.0	2.0	1.0	1a	5	7/2	False	False					False																																											
96.0	12.0	2.0	67	1	G	0.0	2	2	1.0	1.0	1/8	True	-1	2.0	2.0	1.0	1a	4	4	False	False					False																																											
108.0	12.0	2.25	76	4	E	0.0	2	2	1.0	1.0	1/8	True	-1	2.0	2.0	1.0	1a	5	9/2	False	False					False																																											
120.0	12.0	2.5	74	2	D	0.0	2	2	1.0	1.0	1/8	True	-1	2.0	2.0	1.0	1a	5	5	False	False					False																																											
132.0	12.0	2.75	76	4	E	0.0	2	2	1.0	1.0	1/8	True	-1	2.0	2.0	1.0	1a	5	11/2	False	False					False																																											
144.0	12.0	3.0	72	0	C	0.0	2	2	1.0	1.0	1/8	True	-1	2.0	2.0	1.0	1a	5	6	False	False					False																																											
156.0	12.0	3.25	77	-1	F	0.0	2	2	1.0	1.0	1/8	True	-1	3.0	3.0	2.0	2a	5	13/2	False	False					False																																											
168.0	12.0	3.5	72	0	C	0.0	2	2	1.0	1.0	1/8	True	-1	3.0	3.0	2.0	2a	5	7	False	False					False																																											
180.0	24.0	3.75	77	-1	F	0.0	2	2	1.0	1.0	1/4	True	-1	3.0	3.0	2.0	2a	5	15/2	False	True				{	False	0		F.I{	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
192.0	12.0	4.0	53	-1	F	0.0	2	2	2.0	1.0	1/8	True	-1	3.0	3.0	2.0	2a	3	8	False	False					False	0		F.I{	F	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-1	-1	-1	0	0	0	True	True	True
204.0	24.0	4.25	60	0	C	0.0	2	2	2.0	1.0	1/4	True	-1	3.0	3.0	2.0	2a	4	17/2	False	True					False	1		V(4)	F	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	-1	-1	-1	1	1	1	True	True	True
204.0	12.0	4.25	77	-1	F	0.0	2	2	1.0	1.0	1/8	False	-1	3.0	3.0	2.0	2a	5	17/2	False	True					False	1		V(4)	F	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	-1	-1	-1	0	0	0	True	False	False
216.0	6.0	4.5	79	1	G	0.0	2	2	1.0	1.0	1/16	True	-1	3.0	3.0	2.0	2a	5	9	False	False					False	1		V(4)	F	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	-1	-1	-1	2	2	2	True	False	False
222.0	6.0	4.625	77	-1	F	0.0	2	2	1.0	1.0	1/16	True	-1	3.0	3.0	2.0	2a	5	37/4	False	False					False	1		V(4)	F	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	-1	-1	-1	0	0	0	True	False	False
228.0	12.0	4.75	60	0	C	0.0	2	2	2.0	1.0	1/8	False	-1	3.0	3.0	2.0	2a	4	19/2	False	True					False	2		V	F	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-1	-1	-1	1	1	1	True	True	True
228.0	12.0	4.75	76	4	E	0.0	2	2	1.0	1.0	1/8	True	-1	3.0	3.0	2.0	2a	5	19/2	False	True					False	2		V	F	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	-1	-1	-1	5	5	5	True	False	False
