onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	4.0	0.0	79	1	G	0.0	6	8	1.0	1.0	1/4	True	-2	1.0	1.0	0.0	0a	5	0	True	True				{	False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
4.0	2.0	0.667	77	-1	F	0.0	6	8	1.0	1.0	1/8	True	-2	1.0	1.0	0.0	0a	5	1	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	-1	-1	-1	False	False	False
6.0	2.0	1.0	75	-3	E	-1.0	6	8	1.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	5	3/2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	-3	-3	-3	True	False	False
8.0	2.0	1.333	74	2	D	0.0	6	8	1.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	5	2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	2	2	2	False	False	False
10.0	2.0	1.667	72	0	C	0.0	6	8	1.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	5	5/2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
12.0	4.0	2.0	79	1	G	0.0	6	8	1.0	1.0	1/4	True	-2	2.0	2.0	1.0	1a	5	3	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
16.0	2.0	2.667	67	1	G	0.0	6	8	1.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	4	4	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
18.0	4.0	3.0	72	0	C	0.0	6	8	1.0	1.0	1/4	True	-2	3.0	3.0	2.0	2a	5	9/2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
22.0	2.0	3.667	60	0	C	0.0	6	8	1.0	1.0	1/8	True	-2	3.0	3.0	2.0	2a	4	11/2	False	False					False	0		c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
24.0	4.0	4.0	55	1	G	0.0	6	8	2.0	1.0	1/4	True	-2	3.0	3.0	2.0	2a	3	6	False	True					False	1		V	c	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	1	1	1	True	True	True
