onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	cadence_subtype	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	8.0	0.0	60	0	C	0.0	3	8	2.0	1.0	1/8	True	-2	1.0	1.0	0.0	0a	4	0	True	True				{	False	0	c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
0.0	8.0	0.0	67	1	G	0.0	3	8	1.0	1.0	1/8	True	-2	1.0	1.0	0.0	0a	4	0	True	True				{	False	0	c.i{	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	1	1	1	True	False	False
8.0	8.0	1.0	56	-4	A	-1.0	3	8	2.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	3	1/2	False	True					False	1	VI	c	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	0	0	0	-4	-4	-4	True	True	True
8.0	8.0	1.0	72	0	C	0.0	3	8	1.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	5	1/2	False	True					False	1	VI	c	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	0	0	0	0	0	0	True	False	False
16.0	8.0	2.0	53	-1	F	0.0	3	8	2.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	3	1	False	True					False	2	ii%65	c	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	0	0	0	-1	-1	-1	True	False	True
16.0	4.0	2.0	75	-3	E	-1.0	3	8	1.0	1.0	1/16	True	-2	2.0	2.0	1.0	1a	5	1	False	True					False	2	ii%65	c	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	0	0	0	-3	-3	-3	False	False	False
20.0	4.0	2.5	74	2	D	0.0	3	8	1.0	1.0	1/16	True	-2	2.0	2.0	1.0	1a	5	5/4	False	False					False	2	ii%65	c	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	0	0	0	2	2	2	True	True	False
24.0	8.0	3.0	55	1	G	0.0	3	8	2.0	1.0	1/8	True	-2	2.0	2.0	1.0	1a	3	3/2	False	True					False	3	V	c	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	1	1	1	True	True	True
24.0	4.0	3.0	72	0	C	0.0	3	8	1.0	1.0	1/16	True	-2	2.0	2.0	1.0	1a	5	3/2	False	True					False	3	V	c	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	0	0	0	False	False	False
28.0	4.0	3.5	71	5	B	0.0	3	8	1.0	1.0	1/16	True	-2	2.0	2.0	1.0	1a	4	7/4	False	False					False	3	V	c	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	0	0	0	5	5	5	True	False	False
32.0	0.0	4.0	71	5	B	0.0	3	8	1.0	1.0	0	True	-2	3.0	3.0	2.0	2a	4	2	False	True					False	4	i6	c	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	0	0	0	5	5	5	False	False	False
32.0	8.0	4.0	51	-3	E	-1.0	3	8	2.0	1.0	1/8	True	-2	3.0	3.0	2.0	2a	3	2	False	True					False	4	i6	c	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	0	0	0	-3	-3	-3	True	False	True
32.0	8.0	4.0	72	0	C	0.0	3	8	1.0	1.0	1/8	True	-2	3.0	3.0	2.0	2a	5	2	False	True					False	4	i6	c	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	0	0	0	0	0	0	True	True	False
40.0	8.0	5.0	50	2	D	0.0	3	8	2.0	1.0	1/8	True	-2	3.0	3.0	2.0	2a	3	5/2	False	False					False	4	i6	c	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	0	0	0	2	2	2	False	False	False
40.0	8.0	5.0	74	2	D	0.0	3	8	1.0	1.0	1/8	True	-2	3.0	3.0	2.0	2a	5	5/2	False	False					False	4	i6	c	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	0	0	0	2	2	2	False	False	False
48.0	8.0	6.0	48	0	C	0.0	3	8	2.0	1.0	1/8	True	-2	3.0	3.0	2.0	2a	3	3	False	True					False	5	i	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	0	0	0	True	True	True
48.0	8.0	6.0	75	-3	E	-1.0	3	8	1.0	1.0	1/8	True	-2	3.0	3.0	2.0	2a	5	3	False	True					False	5	i	c	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	0	0	0	-3	-3	-3	True	False	False
56.0	0.0	7.0	75	-3	E	-1.0	3	8	1.0	1.0	0	True	-2	4.0	4.0	3.0	3a	5	7/2	False	True					False	6	ii%65	c	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	0	0	0	-3	-3	-3	False	False	False
56.0	8.0	7.0	53	-1	F	0.0	3	8	2.0	1.0	1/8	True	-2	4.0	4.0	3.0	3a	3	7/2	False	True					False	6	ii%65	c	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	0	0	0	-1	-1	-1	True	False	True
56.0	8.0	7.0	74	2	D	0.0	3	8	1.0	1.0	1/8	True	-2	4.0	4.0	3.0	3a	5	7/2	False	True					False	6	ii%65	c	i		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	0	0	0	2	2	2	True	True	False
64.0	8.0	8.0	55	1	G	0.0	3	8	2.0	1.0	1/8	True	-2	4.0	4.0	3.0	3a	3	4	False	True					False	7	i64	c	i		i64	i		64			m	True	True	(1, 0, -3)	()	0	1	minor	minor	i	i, minor	i		i	i	True	i64	i64, minor		i64, minor		i	0	0	0	1	1	1	True	False	True
