onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	12.0	0.0	43	1	G	0.0	3	4	2.0	1.0	3/4	True	1	1.0	1.0	1.0	1a	2	0	True	True			{	False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
0.0	2.0	0.0	67	1	G	0.0	3	4	1.0	1.0	1/8	True	1	1.0	1.0	1.0	1a	4	0	True	True			{	False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
2.0	2.0	0.5	66	6	F	1.0	3	4	1.0	1.0	1/8	True	1	1.0	1.0	1.0	1a	4	1/2	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	5	5	5	False	False	False
4.0	2.0	1.0	67	1	G	0.0	3	4	1.0	1.0	1/8	True	1	1.0	1.0	1.0	1a	4	1	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
6.0	2.0	1.5	69	3	A	0.0	3	4	1.0	1.0	1/8	True	1	1.0	1.0	1.0	1a	4	3/2	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	2	2	2	False	False	False
8.0	2.0	2.0	71	5	B	0.0	3	4	1.0	1.0	1/8	True	1	1.0	1.0	1.0	1a	4	2	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
10.0	2.0	2.5	67	1	G	0.0	3	4	1.0	1.0	1/8	True	1	1.0	1.0	1.0	1a	4	5/2	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
12.0	2.0	3.0	55	1	G	0.0	3	4	2.0	1.0	1/8	True	1	2.0	2.0	2.0	2a	3	3	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
12.0	8.0	3.0	74	2	D	0.0	3	4	1.0	1.0	1/2	True	1	2.0	2.0	2.0	2a	5	3	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	1	1	1	True	False	False
14.0	2.0	3.5	54	6	F	1.0	3	4	2.0	1.0	1/8	True	1	2.0	2.0	2.0	2a	3	7/2	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	5	5	5	False	False	False
16.0	2.0	4.0	55	1	G	0.0	3	4	2.0	1.0	1/8	True	1	2.0	2.0	2.0	2a	3	4	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
18.0	2.0	4.5	57	3	A	0.0	3	4	2.0	1.0	1/8	True	1	2.0	2.0	2.0	2a	3	9/2	False	False				False	0		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	2	2	2	False	False	False
20.0	2.0	5.0	59	5	B	0.0	3	4	2.0	1.0	1/8	True	1	2.0	2.0	2.0	2a	3	5	False	True				False	1		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	4	4	4	True	False	True
20.0	4.0	5.0	79	1	G	0.0	3	4	1.0	1.0	1/4	True	1	2.0	2.0	2.0	2a	5	5	False	True				False	1		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	0	0	0	True	True	False
22.0	2.0	5.5	55	1	G	0.0	3	4	2.0	1.0	1/8	True	1	2.0	2.0	2.0	2a	3	11/2	False	False				False	1		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	0	0	0	True	True	False
24.0	2.0	6.0	62	2	D	0.0	3	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	6	False	True				False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
24.0	6.0	6.0	78	6	F	1.0	3	4	1.0	1.0	3/8	True	1	3.0	3.0	3.0	3a	5	6	False	True				False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	5	5	5	True	False	False
26.0	2.0	6.5	64	4	E	0.0	3	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	13/2	False	False				False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	3	3	3	False	False	False
28.0	2.0	7.0	62	2	D	0.0	3	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	7	False	False				False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	1	1	1	True	True	True
30.0	2.0	7.5	60	0	C	0.0	3	4	2.0	1.0	1/8	True	1	3.0	3.0	3.0	3a	4	15/2	False	False				False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	-1	-1	-1	False	False	False
30.0	1.0	7.5	76	4	E	0.0	3	4	1.0	1.0	1/16	True	1	3.0	3.0	3.0	3a	5	15/2	False	False				False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	3	3	3	False	False	False
31.0	1.0	7.75	78	6	F	1.0	3	4	1.0	1.0	1/16	True	1	3.0	3.0	3.0	3a	5	31/4	False	False				False	2		V	G	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	1	1	1	5	5	5	True	False	False
32.0	4.0	8.0	59	5	B	0.0	3	4	2.0	1.0	1/4	True	1	3.0	3.0	3.0	3a	3	8	False	True				False	3		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	4	4	4	True	False	True
32.0	4.0	8.0	79	1	G	0.0	3	4	1.0	1.0	1/4	True	1	3.0	3.0	3.0	3a	5	8	False	True				False	3		I6	G	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	1	1	1	0	0	0	True	True	False
36.0	4.0	9.0	60	0	C	0.0	3	4	2.0	1.0	1/4	True	1	4.0	4.0	4.0	4a	4	9	False	True				False	4		IV	G	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	1	1	1	-1	-1	-1	True	True	True
36.0	4.0	9.0	76	4	E	0.0	3	4	1.0	1.0	1/4	True	1	4.0	4.0	4.0	4a	5	9	False	True				False	4		IV	G	I		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	1	1	1	3	3	3	True	False	False
