onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	9	26	2	D	0	9	8	2	1	True	1.0	-1	1	1	1	1a	0	3/16	True	1	True			{	False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
0	9	38	2	D	0	9	8	2	1	True	1.0	-1	1	1	1	1a	0	3/16	True	2	True			{	False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
0	9	50	2	D	0	9	8	1	1	True	1.0	-1	1	1	1	1a	0	3/16	True	3	True			{	False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
0	9	62	2	D	0	9	8	1	1	True	1.0	-1	1	1	1	1a	0	3/16	True	4	True			{	False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
9	3	45	3	A	0	9	8	2	1	True	1.5	-1	1	1	1	1a	3/4	1/16	False	2	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
9	3	57	3	A	0	9	8	1	1	True	1.5	-1	1	1	1	1a	3/4	1/16	False	3	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
12	6	53	-1	F	0	9	8	2	1	True	1.667	-1	1	1	1	1a	1	1/8	False	3	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
12	6	65	-1	F	0	9	8	1	1	True	1.667	-1	1	1	1	1a	1	1/8	False	4	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
18	9	45	3	A	0	9	8	2	1	True	2.0	-1	1	1	1	1a	3/2	3/16	False	2	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
18	9	57	3	A	0	9	8	2	1	True	2.0	-1	1	1	1	1a	3/2	3/16	False	3	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
18	9	69	3	A	0	9	8	1	1	True	2.0	-1	1	1	1	1a	3/2	3/16	False	4	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
18	9	81	3	A	0	9	8	1	1	True	2.0	-1	1	1	1	1a	3/2	3/16	False	5	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
27	3	53	-1	F	0	9	8	2	1	True	2.5	-1	1	1	1	1a	9/4	1/16	False	3	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
27	3	77	-1	F	0	9	8	1	1	True	2.5	-1	1	1	1	1a	9/4	1/16	False	5	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-3	-3	-3	True	False	False
30	6	60	0	C	0	9	8	2	1	True	2.667	-1	1	1	1	1a	5/2	1/8	False	4	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-2	-2	-2	False	False	False
30	6	84	0	C	0	9	8	1	1	True	2.667	-1	1	1	1	1a	5/2	1/8	False	6	False				False	0	d.i{	d	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	-2	-2	-2	False	False	False
36	9	32	8	G	1	9	8	2	1	True	3.0	-1	1	1	1	1a	3	3/16	False	1	True				False	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4		mM7	True	True	(0, -3, 6, 5)	()	0	0	minor	minor	i	i, minor	i		i	i	True	iM7	iM7, minor		iM7(^#4), minor		i	2	2	2	6	6	6	True	False	False
36	9	44	8	G	1	9	8	2	1	True	3.0	-1	1	1	1	1a	3	3/16	False	2	True				False	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4		mM7	True	True	(0, -3, 6, 5)	()	0	0	minor	minor	i	i, minor	i		i	i	True	iM7	iM7, minor		iM7(^#4), minor		i	2	2	2	6	6	6	True	False	False
36	9	56	8	G	1	9	8	1	1	True	3.0	-1	1	1	1	1a	3	3/16	False	3	True				False	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4		mM7	True	True	(0, -3, 6, 5)	()	0	0	minor	minor	i	i, minor	i		i	i	True	iM7	iM7, minor		iM7(^#4), minor		i	2	2	2	6	6	6	True	False	False
36	9	68	8	G	1	9	8	1	1	True	3.0	-1	1	1	1	1a	3	3/16	False	4	True				False	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4		mM7	True	True	(0, -3, 6, 5)	()	0	0	minor	minor	i	i, minor	i		i	i	True	iM7	iM7, minor		iM7(^#4), minor		i	2	2	2	6	6	6	True	False	False
45	3	41	-1	F	0	9	8	2	1	True	3.5	-1	1	1	1	1a	15/4	1/16	False	2	False				False	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4		mM7	True	True	(0, -3, 6, 5)	()	0	0	minor	minor	i	i, minor	i		i	i	True	iM7	iM7, minor		iM7(^#4), minor		i	2	2	2	-3	-3	-3	True	False	False
45	3	65	-1	F	0	9	8	1	1	True	3.5	-1	1	1	1	1a	15/4	1/16	False	4	False				False	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4		mM7	True	True	(0, -3, 6, 5)	()	0	0	minor	minor	i	i, minor	i		i	i	True	iM7	iM7, minor		iM7(^#4), minor		i	2	2	2	-3	-3	-3	True	False	False
48	6	49	7	C	1	9	8	2	1	True	3.667	-1	1	1	1	1a	4	1/8	False	3	False				False	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4		mM7	True	True	(0, -3, 6, 5)	()	0	0	minor	minor	i	i, minor	i		i	i	True	iM7	iM7, minor		iM7(^#4), minor		i	2	2	2	5	5	5	True	False	False
48	6	73	7	C	1	9	8	1	1	True	3.667	-1	1	1	1	1a	4	1/8	False	5	False				False	1	iM7(^#4)	d	i		iM7(^#4)		i	M	7	^#4		mM7	True	True	(0, -3, 6, 5)	()	0	0	minor	minor	i	i, minor	i		i	i	True	iM7	iM7, minor		iM7(^#4), minor		i	2	2	2	5	5	5	True	False	False
