onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
24.0	24.0	0.0	45	3	A	0.0	1.5	0	2	4	4.0	1.0	1/8	True		1.0	1.0	0.0	0a	2	1/2	False	True				False	0		A.I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
24.0	72.0	0.0	52	4	E	0.0	1.5	0	2	4	3.0	1.0	3/8	True		1.0	1.0	0.0	0a	3	1/2	False	True				False	0		A.I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	1	1	1	True	False	False
24.0	72.0	0.0	61	7	C	1.0	1.5	0	2	4	2.0	1.0	3/8	True		1.0	1.0	0.0	0a	4	1/2	False	True				False	0		A.I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	4	4	4	True	False	False
24.0	48.0	0.0	69	3	A	0.0	1.5	0	2	4	1.0	1.0	1/4	True		1.0	1.0	0.0	0a	4	1/2	False	True				False	0		A.I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
48.0	24.0	0.5	45	3	A	0.0	2.0	2	2	4	4.0	1.0	1/8	True		1.0	1.0	0.0	0a	2	1	False	False				False	0		A.I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
72.0	24.0	1.0	45	3	A	0.0	2.5	0	2	4	4.0	1.0	1/8	True		1.0	1.0	0.0	0a	2	3/2	False	False				False	0		A.I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
72.0	12.0	1.0	71	5	B	0.0	2.5	0	2	4	1.0	1.0	1/16	True		1.0	1.0	0.0	0a	4	3/2	False	False				False	0		A.I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	2	2	2	False	False	False
84.0	12.0	1.25	69	3	A	0.0	2.75	0	2	4	1.0	1.0	1/16	True		1.0	1.0	0.0	0a	4	7/4	False	False				False	0		A.I	A	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	3	3	3	0	0	0	True	True	True
96.0	96.0	2.0	52	4	E	0.0	1.0	1	2	4	3.0	1.0	1/2	False	3	2.0	2.0	1.0	1a	3	2	False	True				False	1		V43	A	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	3	3	3	1	1	1	True	True	False
96.0	24.0	2.0	62	2	D	0.0	1.0	1	2	4	2.0	1.0	1/8	True	3	2.0	2.0	1.0	1a	4	2	False	True				False	1		V43	A	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	3	3	3	-1	-1	-1	True	False	False
