onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	6	69	3	A	0	4	4	1	1	True	1.0	0	1	1	1	1a	0	3/8	True	4	True			{	False	0	e.iv{		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-1	-1	-1	True	True	True
6	1	67	1	G	0	4	4	1	1	True	2.5	0	1	1	1	1a	3/2	1/16	False	4	False				False	0	e.iv{		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-3	-3	-3	False	False	False
7	1	69	3	A	0	4	4	1	1	True	2.75	0	1	1	1	1a	7/4	1/16	False	4	False				False	0	e.iv{		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-1	-1	-1	True	True	True
8	2	71	5	B	0	4	4	1	1	True	3.0	0	1	1	1	1a	2	1/8	False	4	True				False	1	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
10	2	64	4	E	0	4	4	1	1	True	3.5	0	1	1	1	1a	5/2	1/8	False	4	False				False	1	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
12	2	72	0	C	0	4	4	1	1	True	4.0	0	1	1	1	1a	3	1/8	False	5	True				False	2	VI	iv6	e	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	4	4	4	-4	-4	-4	True	True	True
14	2	72	0	C	0	4	4	1	1	True	4.5	0	1	1	1	1a	7/2	1/8	False	5	False				False	2	VI	iv6	e	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	4	4	4	-4	-4	-4	True	True	True
16	1	71	5	B	0	4	4	1	1	True	1.0	0	2	2	2	2a	4	1/16	False	4	True				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
17	1	76	4	E	0	4	4	1	1	True	1.25	0	2	2	2	2a	17/4	1/16	False	5	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
18	1	74	2	D	0	4	4	1	1	True	1.5	0	2	2	2	2a	9/2	1/16	False	5	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-2	-2	-2	False	False	False
19	1	72	0	C	0	4	4	1	1	True	1.75	0	2	2	2	2a	19/4	1/16	False	5	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-4	-4	-4	False	False	False
20	2	71	5	B	0	4	4	1	1	True	2.0	0	2	2	2	2a	5	1/8	False	4	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
22	1	69	3	A	0	4	4	1	1	True	2.5	0	2	2	2	2a	11/2	1/16	False	4	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-1	-1	-1	False	False	False
23	1	71	5	B	0	4	4	1	1	True	2.75	0	2	2	2	2a	23/4	1/16	False	4	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
24	6	64	4	E	0	4	4	1	2	True	3.0	0	2	2	2	2a	6	3/8	False	4	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
24	2	67	1	G	0	4	4	1	1	True	3.0	0	2	2	2	2a	6	1/8	False	4	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
26	1	69	3	A	0	4	4	1	1	True	3.5	0	2	2	2	2a	13/2	1/16	False	4	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-1	-1	-1	False	False	False
27	1	71	5	B	0	4	4	1	1	True	3.75	0	2	2	2	2a	27/4	1/16	False	4	False				False	3	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
28	4	72	0	C	0	4	4	1	1	True	4.0	0	2	2	2	2a	7	1/4	False	5	True				False	4	VI		e	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	4	4	4	-4	-4	-4	True	True	True
30	1	60	0	C	0	4	4	1	2	True	4.5	0	2	2	2	2a	15/2	1/16	False	4	False				False	4	VI		e	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	4	4	4	-4	-4	-4	True	True	True
31	1	62	2	D	0	4	4	1	2	True	4.75	0	2	2	2	2a	31/4	1/16	False	4	False				False	4	VI		e	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	4	4	4	-2	-2	-2	False	False	False
32	2	64	4	E	0	4	4	1	2	True	1.0	0	3	3	3	3a	8	1/8	False	4	True				False	5	iv		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	0	0	0	True	False	False
32	4	72	0	C	0	4	4	1	1	False	1.0	0	3	3	3	3a	8	1/4	False	5	True				False	5	iv		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-4	-4	-4	True	False	False
34	2	57	3	A	0	4	4	1	2	True	1.5	0	3	3	3	3a	17/2	1/8	False	3	False				False	5	iv		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-1	-1	-1	True	True	True
36	2	65	-1	F	0	4	4	1	2	True	2.0	0	3	3	3	3a	9	1/8	False	4	True				False	6	vii6		e	i		vii6	vii		6			m	True	True	(-5, -1, -2)	()	-2	-5	minor	minor	i	i, minor	vii		i	i	True	vii6	vii6, minor		vii6, minor		vii	4	4	4	-5	-5	-5	True	False	True
36	4	74	2	D	0	4	4	1	1	True	2.0	0	3	3	3	3a	9	1/4	False	5	True				False	6	vii6		e	i		vii6	vii		6			m	True	True	(-5, -1, -2)	()	-2	-5	minor	minor	i	i, minor	vii		i	i	True	vii6	vii6, minor		vii6, minor		vii	4	4	4	-2	-2	-2	True	True	False
38	2	65	-1	F	0	4	4	1	2	True	2.5	0	3	3	3	3a	19/2	1/8	False	4	False				False	6	vii6		e	i		vii6	vii		6			m	True	True	(-5, -1, -2)	()	-2	-5	minor	minor	i	i, minor	vii		i	i	True	vii6	vii6, minor		vii6, minor		vii	4	4	4	-5	-5	-5	True	False	True
40	1	64	4	E	0	4	4	1	2	True	3.0	0	3	3	3	3a	10	1/16	False	4	True				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
40	6	76	4	E	0	4	4	1	1	True	3.0	0	3	3	3	3a	10	3/8	False	5	True				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
41	1	69	3	A	0	4	4	1	2	True	3.25	0	3	3	3	3a	41/4	1/16	False	4	False				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-1	-1	-1	False	False	False
42	1	67	1	G	0	4	4	1	2	True	3.5	0	3	3	3	3a	21/2	1/16	False	4	False				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
43	1	65	-1	F	0	4	4	1	2	True	3.75	0	3	3	3	3a	43/4	1/16	False	4	False				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-5	-5	-5	False	False	False
44	2	64	4	E	0	4	4	1	2	True	4.0	0	3	3	3	3a	11	1/8	False	4	False				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
46	1	62	2	D	0	4	4	1	2	True	4.5	0	3	3	3	3a	23/2	1/16	False	4	False				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-2	-2	-2	False	False	False
46	2	71	5	B	0	4	4	1	1	True	4.5	0	3	3	3	3a	23/2	1/8	False	4	False				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
47	1	64	4	E	0	4	4	1	2	True	4.75	0	3	3	3	3a	47/4	1/16	False	4	False				False	7	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
48	6	57	3	A	0	4	4	2	1	True	1.0	0	4	4	4	4a	12	3/8	False	3	True				False	8	iv		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-1	-1	-1	True	True	True
48	2	60	0	C	0	4	4	1	2	True	1.0	0	4	4	4	4a	12	1/8	False	4	True				False	8	iv		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-4	-4	-4	True	False	False
48	8	72	0	C	0	4	4	1	1	True	1.0	0	4	4	4	4a	12	1/2	False	5	True				False	8	iv		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-4	-4	-4	True	False	False
50	2	62	2	D	0	4	4	1	2	True	1.5	0	4	4	4	4a	25/2	1/8	False	4	False				False	8	iv		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	-2	-2	-2	False	False	False
52	2	64	4	E	0	4	4	1	2	True	2.0	0	4	4	4	4a	13	1/8	False	4	False				False	8	iv		e	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	4	4	4	0	0	0	True	False	False
54	1	55	1	G	0	4	4	2	1	True	2.5	0	4	4	4	4a	27/2	1/16	False	3	True				False	9	iio6		e	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	4	4	4	-3	-3	-3	False	False	False
54	2	66	6	F	1	4	4	1	2	True	2.5	0	4	4	4	4a	27/2	1/8	False	4	True				False	9	iio6		e	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	4	4	4	2	2	2	True	True	False
55	1	57	3	A	0	4	4	2	1	True	2.75	0	4	4	4	4a	55/4	1/16	False	3	False				False	9	iio6		e	i		iio6	ii	o	6			o	True	True	(-1, -4, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	iio6	iio6, minor		iio6, minor		ii	4	4	4	-1	-1	-1	True	False	True
56	2	59	5	B	0	4	4	2	1	True	3.0	0	4	4	4	4a	14	1/8	False	3	True				False	10	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
56	4	67	1	G	0	4	4	1	2	True	3.0	0	4	4	4	4a	14	1/4	False	4	True				False	10	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
56	4	71	5	B	0	4	4	1	1	True	3.0	0	4	4	4	4a	14	1/4	False	4	True				False	10	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
58	2	52	4	E	0	4	4	2	1	True	3.5	0	4	4	4	4a	29/2	1/8	False	3	False				False	10	i		e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
60	2	60	0	C	0	4	4	2	1	True	4.0	0	4	4	4	4a	15	1/8	False	4	True				False	11	iv6		e	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	4	4	4	-4	-4	-4	True	False	True
60	4	64	4	E	0	4	4	1	2	True	4.0	0	4	4	4	4a	15	1/4	False	4	True				False	11	iv6		e	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	4	4	4	0	0	0	True	False	False
60	4	69	3	A	0	4	4	1	1	True	4.0	0	4	4	4	4a	15	1/4	False	4	True				False	11	iv6		e	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	4	4	4	-1	-1	-1	True	True	False
62	2	60	0	C	0	4	4	2	1	True	4.5	0	4	4	4	4a	31/2	1/8	False	4	False				False	11	iv6		e	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	4	4	4	-4	-4	-4	True	False	True
64	1	59	5	B	0	4	4	2	1	True	1.0	0	5	5	5	5a	16	1/16	False	3	True				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	1	1	1	True	False	True
64	12	67	1	G	0	4	4	1	2	True	1.0	0	5	5	5	5a	16	3/4	False	4	True				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	-3	-3	-3	True	True	False
64	4	71	5	B	0	4	4	1	1	True	1.0	0	5	5	5	5a	16	1/4	False	4	True				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	1	1	1	True	False	True
65	1	64	4	E	0	4	4	2	1	True	1.25	0	5	5	5	5a	65/4	1/16	False	4	False				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	0	0	0	False	False	False
66	1	62	2	D	0	4	4	2	1	True	1.5	0	5	5	5	5a	33/2	1/16	False	4	False				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	-2	-2	-2	True	False	False
67	1	60	0	C	0	4	4	2	1	True	1.75	0	5	5	5	5a	67/4	1/16	False	4	False				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	-4	-4	-4	False	False	False
68	2	59	5	B	0	4	4	2	1	True	2.0	0	5	5	5	5a	17	1/8	False	3	False				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	1	1	1	True	False	True
68	6	74	2	D	0	4	4	1	1	True	2.0	0	5	5	5	5a	17	3/8	False	5	False				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	-2	-2	-2	True	False	False
70	1	57	3	A	0	4	4	2	1	True	2.5	0	5	5	5	5a	35/2	1/16	False	3	False				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	-1	-1	-1	False	False	False
71	1	59	5	B	0	4	4	2	1	True	2.75	0	5	5	5	5a	71/4	1/16	False	3	False				False	12	III6		e	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	4	4	4	1	1	1	True	False	True
72	6	52	4	E	0	4	4	2	2	True	3.0	0	5	5	5	5a	18	3/8	False	3	True				False	13	VI6(2)		e	i		VI6(2)	VI		6	2		M	True	True	(0, -3, -2)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6(2), minor		VI	4	4	4	0	0	0	True	False	True
72	2	55	1	G	0	4	4	2	1	True	3.0	0	5	5	5	5a	18	1/8	False	3	True				False	13	VI6(2)		e	i		VI6(2)	VI		6	2		M	True	True	(0, -3, -2)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6(2), minor		VI	4	4	4	-3	-3	-3	True	False	False
74	1	57	3	A	0	4	4	2	1	True	3.5	0	5	5	5	5a	37/2	1/16	False	3	True				False	14	VI6		e	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	4	4	4	-1	-1	-1	False	False	False
74	2	72	0	C	0	4	4	1	1	True	3.5	0	5	5	5	5a	37/2	1/8	False	5	True				False	14	VI6		e	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	4	4	4	-4	-4	-4	True	True	False
75	1	59	5	B	0	4	4	2	1	True	3.75	0	5	5	5	5a	75/4	1/16	False	3	False				False	14	VI6		e	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	4	4	4	1	1	1	False	False	False
