onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	6	57	3	A	0	3	2	2	1	True	1.0	0	1	1	1	1a	0	3/2	True	3	True			{	False	0	d.v{	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
2	2	69	3	A	0	3	2	1	1	True	2.0	0	1	1	1	1a	2	1/2	False	4	False				False	0	d.v{	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
4	2	71	5	B	0	3	2	1	1	True	3.0	0	1	1	1	1a	4	1/2	False	4	False				False	0	d.v{	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	3	3	3	False	False	False
6	6	57	3	A	0	3	2	2	1	False	1.0	0	2	2	2	2a	6	3/2	False	3	False				False	0	d.v{	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
6	4	72	0	C	0	3	2	1	1	True	1.0	0	2	2	2	2a	6	1	False	5	False				False	0	d.v{	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	-2	-2	-2	True	False	False
8	2	69	3	A	0	3	2	1	2	True	2.0	0	2	2	2	2a	8	1/2	False	4	False				False	0	d.v{	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
10	2	67	1	G	0	3	2	1	2	True	3.0	0	2	2	2	2a	10	1/2	False	4	True				False	1	v7(9)	d	i		v7(9)	v		7	9		mm7	True	True	(1, -2, 2, -1)	(-4,)	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor		v7(9), minor		v	2	2	2	-1	-1	-1	True	False	False
10	2	71	5	B	0	3	2	1	1	True	3.0	0	2	2	2	2a	10	1/2	False	4	True				False	1	v7(9)	d	i		v7(9)	v		7	9		mm7	True	True	(1, -2, 2, -1)	(-4,)	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor		v7(9), minor		v	2	2	2	3	3	3	False	False	False
12	6	57	3	A	0	3	2	2	1	False	1.0	0	3	3	3	3a	12	3/2	False	3	True				False	2	v(6)	d	i		v(6)	v			6		m	True	True	(1, -2, -3)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(6), minor		v	2	2	2	1	1	1	True	True	True
12	2	65	-1	F	0	3	2	1	2	True	1.0	0	3	3	3	3a	12	1/2	False	4	True				False	2	v(6)	d	i		v(6)	v			6		m	True	True	(1, -2, -3)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(6), minor		v	2	2	2	-3	-3	-3	True	False	False
12	4	69	3	A	0	3	2	1	1	True	1.0	0	3	3	3	3a	12	1	False	4	True				False	2	v(6)	d	i		v(6)	v			6		m	True	True	(1, -2, -3)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(6), minor		v	2	2	2	1	1	1	True	True	True
14	4	64	4	E	0	3	2	1	2	True	2.0	0	3	3	3	3a	14	1	False	4	True				False	3	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	2	2	2	True	False	False
16	2	67	1	G	0	3	2	1	1	True	3.0	0	3	3	3	3a	16	1/2	False	4	True				False	4	v7	d	i		v7	v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor		v7, minor		v	2	2	2	-1	-1	-1	True	False	False
18	6	57	3	A	0	3	2	2	1	False	1.0	0	4	4	4	4a	18	3/2	False	3	True				False	5	v(13)	d	i		v(13)	v			13		m	True	True	(1, -2, 2)	(-3,)	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(13), minor		v	2	2	2	1	1	1	True	True	True
18	2	64	4	E	0	3	2	1	2	False	1.0	0	4	4	4	4a	18	1/2	False	4	True				False	5	v(13)	d	i		v(13)	v			13		m	True	True	(1, -2, 2)	(-3,)	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(13), minor		v	2	2	2	2	2	2	True	False	False
18	3	65	-1	F	0	3	2	1	1	True	1.0	0	4	4	4	4a	18	3/4	False	4	True				False	5	v(13)	d	i		v(13)	v			13		m	True	True	(1, -2, 2)	(-3,)	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(13), minor		v	2	2	2	-3	-3	-3	False	False	False
20	4	62	2	D	0	3	2	1	2	True	2.0	0	4	4	4	4a	20	1	False	4	True				False	6	v(64)	d	i		v(64)	v			64		m	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(64), minor		v	2	2	2	0	0	0	True	False	False
21	1	64	4	E	0	3	2	1	1	True	2.5	0	4	4	4	4a	21	1/4	False	4	False				False	6	v(64)	d	i		v(64)	v			64		m	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(64), minor		v	2	2	2	2	2	2	False	False	False
22	1	65	-1	F	0	3	2	1	1	True	3.0	0	4	4	4	4a	22	1/4	False	4	False				False	6	v(64)	d	i		v(64)	v			64		m	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(64), minor		v	2	2	2	-3	-3	-3	True	False	False
23	1	67	1	G	0	3	2	1	1	True	3.5	0	4	4	4	4a	23	1/4	False	4	False				False	6	v(64)	d	i		v(64)	v			64		m	True	True	(1, 0, -3)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(64), minor		v	2	2	2	-1	-1	-1	False	False	False
24	6	57	3	A	0	3	2	2	1	False	1.0	0	5	5	5	5a	24	3/2	False	3	True				False	7	v(4)	d	i		v(4)	v			4		m	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(4), minor		v	2	2	2	1	1	1	True	True	True
24	2	62	2	D	0	3	2	1	2	False	1.0	0	5	5	5	5a	24	1/2	False	4	True				False	7	v(4)	d	i		v(4)	v			4		m	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(4), minor		v	2	2	2	0	0	0	True	False	False
24	6	64	4	E	0	3	2	1	1	True	1.0	0	5	5	5	5a	24	3/2	False	4	True				False	7	v(4)	d	i		v(4)	v			4		m	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v(4), minor		v	2	2	2	2	2	2	True	False	False
26	2	45	3	A	0	3	2	2	2	True	2.0	0	5	5	5	5a	26	1/2	False	2	True				False	8	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
26	2	60	0	C	0	3	2	1	2	True	2.0	0	5	5	5	5a	26	1/2	False	4	True				False	8	v	d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	-2	-2	-2	True	False	False
