onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
216	2	54	6	F	1	4	4	2	1	True	3.0	-1	14	14	14	14a	54	1/8	False	3	True				False	42	V6		g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	5	5	5	True	False	True
216	8	62	2	D	0	4	4	1	2	True	3.0	-1	14	14	14	14a	54	1/2	False	4	True				False	42	V6		g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	1	1	1	True	True	False
218	4	55	1	G	0	4	4	2	1	True	3.5	-1	14	14	14	14a	109/2	1/4	False	3	True				False	43	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
218	2	70	-2	B	-1	4	4	1	1	True	3.5	-1	14	14	14	14a	109/2	1/8	False	4	True				False	43	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
220	4	69	3	A	0	4	4	1	1	True	4.0	-1	14	14	14	14a	55	1/4	False	4	True				False	44	V6(4)		g	i		V6(4)	V		6	4		M	True	True	(0, 2, 1)	()	1	0	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6(4), minor		V	1	1	1	2	2	2	True	False	False
222	2	54	6	F	1	4	4	2	1	True	4.5	-1	14	14	14	14a	111/2	1/8	False	3	True				False	45	V6		g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	5	5	5	True	False	True
224	4	43	1	G	0	4	4	2	2	True	1.0	-1	15	15	15	15a	56	1/4	False	2	True			}{	True	46	i}{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
224	8	55	1	G	0	4	4	2	1	True	1.0	-1	15	15	15	15a	56	1/2	False	3	True			}{	True	46	i}{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
224	2	62	2	D	0	4	4	1	2	True	1.0	-1	15	15	15	15a	56	1/8	False	4	True			}{	True	46	i}{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
224	8	70	-2	B	-1	4	4	1	1	True	1.0	-1	15	15	15	15a	56	1/2	False	4	True			}{	True	46	i}{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
226	2	67	1	G	0	4	4	1	2	True	1.5	-1	15	15	15	15a	113/2	1/8	False	4	False				False	46	i}{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
228	4	43	1	G	0	4	4	2	2	True	2.0	-1	15	15	15	15a	57	1/4	False	2	False				False	46	i}{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
228	2	62	2	D	0	4	4	1	2	True	2.0	-1	15	15	15	15a	57	1/8	False	4	False				False	46	i}{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
230	2	64	4	E	0	4	4	1	2	True	2.5	-1	15	15	15	15a	115/2	1/8	False	4	False				False	46	i}{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	3	3	3	False	False	False
232	4	50	2	D	0	4	4	2	2	True	3.0	-1	15	15	15	15a	58	1/4	False	3	True				False	47	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	1	1	1	True	True	True
232	8	57	3	A	0	4	4	2	1	True	3.0	-1	15	15	15	15a	58	1/2	False	3	True				False	47	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	2	2	2	True	False	False
232	8	65	-1	F	0	4	4	1	2	True	3.0	-1	15	15	15	15a	58	1/2	False	4	True				False	47	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	-2	-2	-2	True	False	False
234	2	74	2	D	0	4	4	1	1	True	3.5	-1	15	15	15	15a	117/2	1/8	False	5	False				False	47	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	1	1	1	True	True	True
236	2	50	2	D	0	4	4	2	2	True	4.0	-1	15	15	15	15a	59	1/8	False	3	False				False	47	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	1	1	1	True	True	True
236	2	74	2	D	0	4	4	1	1	True	4.0	-1	15	15	15	15a	59	1/8	False	5	False				False	47	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	1	1	1	True	True	True
238	2	50	2	D	0	4	4	2	2	True	4.5	-1	15	15	15	15a	119/2	1/8	False	3	False				False	47	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	1	1	1	True	True	True
238	2	74	2	D	0	4	4	1	1	True	4.5	-1	15	15	15	15a	119/2	1/8	False	5	False				False	47	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	1	1	1	True	True	True
240	6	51	-3	E	-1	4	4	2	2	True	1.0	-1	16	16	16	16a	60	3/8	False	3	True				False	48	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	-4	-4	-4	True	True	True
240	8	55	1	G	0	4	4	2	1	True	1.0	-1	16	16	16	16a	60	1/2	False	3	True				False	48	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	0	0	0	True	False	False
240	8	67	1	G	0	4	4	1	2	True	1.0	-1	16	16	16	16a	60	1/2	False	4	True				False	48	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	0	0	0	True	False	False
240	3	70	-2	B	-1	4	4	1	1	True	1.0	-1	16	16	16	16a	60	3/16	False	4	True				False	48	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	-3	-3	-3	True	False	False
243	1	69	3	A	0	4	4	1	1	True	1.75	-1	16	16	16	16a	243/4	1/16	False	4	False				False	48	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	2	2	2	False	False	False
244	2	67	1	G	0	4	4	1	1	True	2.0	-1	16	16	16	16a	61	1/8	False	4	False				False	48	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	0	0	0	True	False	False
246	2	50	2	D	0	4	4	2	2	True	2.5	-1	16	16	16	16a	123/2	1/8	False	3	False				False	48	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	1	1	1	False	False	False
246	2	70	-2	B	-1	4	4	1	1	True	2.5	-1	16	16	16	16a	123/2	1/8	False	4	False				False	48	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	-3	-3	-3	True	False	False
248	2	48	0	C	0	4	4	2	2	True	3.0	-1	16	16	16	16a	62	1/8	False	3	True				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-1	-1	-1	True	True	True
248	6	55	1	G	0	4	4	2	1	True	3.0	-1	16	16	16	16a	62	3/8	False	3	True				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	0	0	0	True	False	False
248	2	72	0	C	0	4	4	1	1	True	3.0	-1	16	16	16	16a	62	1/8	False	5	True				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-1	-1	-1	True	True	True
250	2	47	5	B	0	4	4	2	2	True	3.5	-1	16	16	16	16a	125/2	1/8	False	2	False				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	4	4	4	False	False	False
250	2	74	2	D	0	4	4	1	1	True	3.5	-1	16	16	16	16a	125/2	1/8	False	5	False				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	1	1	1	False	False	False
252	4	48	0	C	0	4	4	2	2	True	4.0	-1	16	16	16	16a	63	1/4	False	3	False				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-1	-1	-1	True	True	True
252	2	75	-3	E	-1	4	4	1	1	True	4.0	-1	16	16	16	16a	63	1/8	False	5	False				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-4	-4	-4	True	False	False
254	2	57	3	A	0	4	4	2	1	True	4.5	-1	16	16	16	16a	127/2	1/8	False	3	False				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	2	2	2	False	False	False
254	2	72	0	C	0	4	4	1	1	True	4.5	-1	16	16	16	16a	127/2	1/8	False	5	False				False	49	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-1	-1	-1	True	True	True
