onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	8	74	2	D	0	4	4	1	1	True	1.0	0	1	1	1	1a	0	1/2	True	5	True			{	False	0	d.i{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
8	6	62	2	D	0	4	4	2	1	True	3.0	0	1	1	1	1a	2	3/8	False	4	False				False	0	d.i{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
8	2	74	2	D	0	4	4	1	1	False	3.0	0	1	1	1	1a	2	1/8	False	5	False				False	0	d.i{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
10	2	69	3	A	0	4	4	1	1	True	3.5	0	1	1	1	1a	5/2	1/8	False	4	False				False	0	d.i{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
12	2	70	-2	B	-1	4	4	1	1	True	4.0	0	1	1	1	1a	3	1/8	False	4	True				False	1	VI6	d	i		VI6	VI		6			M	True	True	(0, -3, -4)	()	-4	0	minor	minor	i	i, minor	VI		i	i	True	VI6	VI6, minor		VI6, minor		VI	2	2	2	-4	-4	-4	True	True	False
14	2	57	3	A	0	4	4	2	1	True	4.5	0	1	1	1	1a	7/2	1/8	False	3	True				False	2	#viio6/iv	d	i		#viio6/iv	#vii	o	6		iv	o	True	True	(1, -2, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio6/iv	#viio6/iv, minor		#viio6/iv, minor	iv	iv	2	2	1	1	1	2	True	False	True
14	2	66	6	F	1	4	4	1	1	True	4.5	0	1	1	1	1a	7/2	1/8	False	4	True				False	2	#viio6/iv	d	i		#viio6/iv	#vii	o	6		iv	o	True	True	(1, -2, 4)	()	4	1	minor	minor	i	i, minor	#vii/iv	iv	iv/i	iv	True	#viio6/iv	#viio6/iv, minor		#viio6/iv, minor	iv	iv	2	2	1	4	4	5	True	True	False
16	2	58	-2	B	-1	4	4	2	1	True	1.0	0	2	2	2	2a	4	1/8	False	3	True				False	3	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	2	2	2	-4	-4	-4	True	False	True
16	8	62	2	D	0	4	4	1	2	True	1.0	0	2	2	2	2a	4	1/2	False	4	True				False	3	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	2	2	2	0	0	0	True	False	False
16	2	67	1	G	0	4	4	1	1	True	1.0	0	2	2	2	2a	4	1/8	False	4	True				False	3	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	2	2	2	-1	-1	-1	True	True	False
18	2	54	6	F	1	4	4	2	1	True	1.5	0	2	2	2	2a	9/2	1/8	False	3	True				False	4	V6/iv	d	i		V6/iv	V		6		iv	M	True	True	(4, 1, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V6/iv	V6/iv, minor		V6/iv, minor	iv	iv	2	2	1	4	4	5	True	False	True
18	2	69	3	A	0	4	4	1	1	True	1.5	0	2	2	2	2a	9/2	1/8	False	4	True				False	4	V6/iv	d	i		V6/iv	V		6		iv	M	True	True	(4, 1, 0)	()	0	4	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V6/iv	V6/iv, minor		V6/iv, minor	iv	iv	2	2	1	1	1	2	True	False	False
20	2	55	1	G	0	4	4	2	1	True	2.0	0	2	2	2	2a	5	1/8	False	3	True				False	5	iv	d	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	2	2	2	-1	-1	-1	True	True	True
20	2	70	-2	B	-1	4	4	1	1	True	2.0	0	2	2	2	2a	5	1/8	False	4	True				False	5	iv	d	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	2	2	2	-4	-4	-4	True	False	False
22	2	57	3	A	0	4	4	2	1	True	2.5	0	2	2	2	2a	11/2	1/8	False	3	True				False	6	V43/iv	d	i		V43/iv	V		43		iv	Mm7	True	True	(1, -2, 0, 4)	()	0	1	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V43/iv	V43/iv, minor		V43/iv, minor	iv	iv	2	2	1	1	1	2	True	False	True
22	2	72	0	C	0	4	4	1	1	True	2.5	0	2	2	2	2a	11/2	1/8	False	5	True				False	6	V43/iv	d	i		V43/iv	V		43		iv	Mm7	True	True	(1, -2, 0, 4)	()	0	1	minor	minor	i	i, minor	V/iv	iv	iv/i	iv	True	V43/iv	V43/iv, minor		V43/iv, minor	iv	iv	2	2	1	-2	-2	-1	True	False	False
24	8	58	-2	B	-1	4	4	2	1	True	3.0	0	2	2	2	2a	6	1/2	False	3	True				False	7	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	2	2	2	-4	-4	-4	True	False	True
24	2	62	2	D	0	4	4	1	2	False	3.0	0	2	2	2	2a	6	1/8	False	4	True				False	7	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	2	2	2	0	0	0	True	False	False
24	6	74	2	D	0	4	4	1	1	True	3.0	0	2	2	2	2a	6	3/8	False	5	True				False	7	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	2	2	2	0	0	0	True	False	False
26	2	64	4	E	0	4	4	1	2	True	3.5	0	2	2	2	2a	13/2	1/8	False	4	False				False	7	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	2	2	2	2	2	2	False	False	False
28	2	65	-1	F	0	4	4	1	2	True	4.0	0	2	2	2	2a	7	1/8	False	4	True				False	8	VI	d	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	2	2	2	-3	-3	-3	True	False	False
30	2	67	1	G	0	4	4	1	2	True	4.5	0	2	2	2	2a	15/2	1/8	False	4	True				False	9	iio64	d	i		iio64	ii	o	64			o	True	True	(-4, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	iio64	iio64, minor		iio64, minor		ii	2	2	2	-1	-1	-1	True	False	False
30	2	76	4	E	0	4	4	1	1	True	4.5	0	2	2	2	2a	15/2	1/8	False	5	True				False	9	iio64	d	i		iio64	ii	o	64			o	True	True	(-4, 2, -1)	()	2	-4	minor	minor	i	i, minor	ii		i	i	True	iio64	iio64, minor		iio64, minor		ii	2	2	2	2	2	2	True	True	False
32	8	57	3	A	0	4	4	2	1	True	1.0	0	3	3	3	3a	8	1/2	False	3	True				False	10	V7	d	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	2	2	2	1	1	1	True	True	True
32	4	67	1	G	0	4	4	1	2	False	1.0	0	3	3	3	3a	8	1/4	False	4	True				False	10	V7	d	i		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	2	2	2	-1	-1	-1	True	False	False
